regime,split_seed,arm,n_rows,n_groups,macro_mae,pooled_mae,pooled_r2,within_ligand_r2,within_ligand_r2_shape,pooled_rmse,prediction_dispersion_ratio,median_abs_error,frac_within_0_5_log,frac_within_1_log,delta_macro_vs_baseline
unseen_chemotype,104729,A_metal,4881,74,1.3565258445609334,1.4165151858175955,-0.12832426668752106,-1.1299244352882103,-0.0043558129548360025,1.744610478386749,0.1895967121914667,1.235625057848791,0.22741241548862937,0.422659291128867,-0.3388663026778813
unseen_chemotype,104729,A_cond,4881,74,1.2286154945793426,1.3144607853313044,0.013374042388271556,-0.8624422053565781,0.001773504666586767,1.631389944083543,0.49058113325148234,1.1551508297504316,0.2538414259373079,0.44970292972751486,-0.21095595269629053
unseen_chemotype,104729,MC,4881,74,1.176792305265584,1.2779879917383044,0.05781483595990389,-0.7785518425004252,0.050168800656885115,1.5942251018210876,0.5090106573113458,1.1156831292189153,0.26306084818684694,0.4578979717271051,-0.1591327633825319
unseen_chemotype,104729,MC_ecfp,4881,74,1.017659541883052,1.026622220247474,0.39326710886866234,-0.14532253596526323,0.23136636079645423,1.2793232176626528,0.5720927434965585,0.9093932807001647,0.297480024585126,0.5414874001229256,0.0
unseen_chemotype,104729,MC_lig2d_ext,4881,74,1.0478240628215174,1.090314346963226,0.31563251592670416,-0.2918724431264148,0.1992771452603641,1.358708198027926,0.5285457770031017,0.9154056542398912,0.2860069657856997,0.53779963122311,-0.030164520938465333
unseen_chemotype,104729,MC_all2d,4881,74,1.0322375238838577,1.0830617760656307,0.3309853234178626,-0.2628911291627487,0.22389566650442394,1.3433814124606636,0.5124846596762435,0.9400987156157505,0.2843679573857816,0.5269412005736529,-0.014577982000805623
unseen_chemotype,104729,MC_everything,4881,74,1.0504322079015573,1.1201403304169497,0.28014022026237495,-0.35887083182708435,0.20714721756144228,1.393495167315164,0.5706271518365001,0.967847191756668,0.2743290309362835,0.5179266543741037,-0.03277266601850526
unseen_chemotype,104729,MC_massaction,4881,74,1.1544911238975806,1.2352357217265904,0.11453954869262994,-0.6714732700534876,0.14224240533621257,1.5454896340880966,0.5264990674889473,1.0891326568382722,0.2843679573857816,0.4718295431264085,-0.1368315820145285
unseen_chemotype,104729,MC_ecfp_massaction,4881,74,1.0285462874663496,1.0283013660317737,0.38042397799504213,-0.16956636292259297,0.2232409143262133,1.2927924683123553,0.5899796705468349,0.892423583162617,0.305060438434747,0.5543945912722803,-0.010886745583297497
unseen_chemotype,104729,MC_lig2d_ext_massaction,4881,74,1.0314103663603746,1.103276351761197,0.2810359002269406,-0.3571800673021601,0.17538770858322517,1.3926279746884633,0.572611029244737,0.903167641188496,0.2952263880352387,0.5459946732227002,-0.013750824477322565
