regime,comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_worse_one_sided,groups_improved,groups_total,bootstrap_unit,bootstrap_resample_unit,bootstrap_blocks,bootstrap_replicates
unseen_chemotype,MC_ecfp_vs_A_metal,MC_ecfp,A_metal,-0.31664738675135434,-0.4575429560502606,-0.10184837709475734,0.9976004799040192,20,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_A_cond,MC_ecfp,A_cond,-0.13808398458311977,-0.2684468560270346,0.05894266573995394,0.8980203959208158,27,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC,MC_ecfp,MC,-0.09272476574373241,-0.1844345558994684,0.056636028526514504,0.8894221155768847,27,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_lig2d_ext,MC_ecfp,MC_lig2d_ext,0.016900207765711373,-0.07365260578798824,0.15141859542977562,0.35892821435712857,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_all2d,MC_ecfp,MC_all2d,-0.016058073135390455,-0.07736972427782003,0.07756984136296372,0.6090781843631273,38,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_everything,MC_ecfp,MC_everything,-0.018233311664396932,-0.09666794759179197,0.10584916530640244,0.6066786642671466,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_massaction,MC_ecfp,MC_massaction,-0.07706815134470775,-0.16446218289990727,0.06693975511892414,0.8524295140971806,34,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_ecfp_massaction,MC_ecfp,MC_ecfp_massaction,0.0016540545180799581,-0.025238316175213424,0.04187426000757546,0.4595080983803239,35,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_lig2d_ext_massaction,MC_ecfp,MC_lig2d_ext_massaction,0.02044291766879881,-0.07542510279680976,0.16549491644872746,0.3437312537492502,40,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_all2d_massaction,MC_ecfp,MC_all2d_massaction,-0.011141695164395043,-0.08657996743758001,0.10267771102840871,0.5536892621475705,37,74,ecfp_cluster,tanimoto_cluster,40,5000
unseen_chemotype,MC_ecfp_vs_MC_everything_massaction,MC_ecfp,MC_everything_massaction,-0.020028413979660698,-0.10909347065390101,0.1169758171214813,0.5922815436912617,34,74,ecfp_cluster,tanimoto_cluster,40,5000
