regime,family,alone_arm,alone_mae,reference_arm,reference_mae,with_family_arm,with_family_mae,gain,ci95_low,ci95_high,seeds_pos,seeds_total
unseen_chemotype,physchem,A_physchem,,MC,1.145941776848719,MC_physchem,,,,,,5
unseen_chemotype,ecfp,A_ecfp,,MC,1.145941776848719,MC_ecfp,1.0532170111049868,0.09272476574373223,-0.05663602852651466,0.1844345558994684,4.0,5
unseen_chemotype,lig2d_ext,A_lig2d_ext,,MC,1.145941776848719,MC_lig2d_ext,1.0363168033392753,0.10962497350944367,0.005737389476938346,0.22470555151787555,5.0,5
unseen_chemotype,donors,A_donors,,MC,1.145941776848719,MC_donors,,,,,,5
unseen_chemotype,complex_phys,A_complex_phys,,MC,1.145941776848719,MC_complex_phys,,,,,,5
unseen_chemotype,polyhedron,A_polyhedron,,MC,1.145941776848719,MC_polyhedron,,,,,,5
unseen_chemotype,cond (added to metal),A_cond,1.1913009956881064,A_metal,1.369864397856341,MC,1.145941776848719,0.22392262100762195,0.07513593428444013,0.3648123544940412,5.0,5
unseen_chemotype,massaction (log-conc law),,,MC,1.145941776848719,MC_massaction,1.1302851624496943,0.01565661439902466,-0.02270015917032422,0.05527566150028155,4.0,5
unseen_chemotype,massaction on ecfp,,,MC_ecfp,1.0532170111049868,MC_ecfp_massaction,1.0515629565869067,0.0016540545180800947,-0.025238316175213424,0.04187426000757546,4.0,5
unseen_chemotype,massaction on lig2d_ext,,,MC_lig2d_ext,1.0363168033392753,MC_lig2d_ext_massaction,1.0327740934361878,0.003542709903087582,-0.017220875256846548,0.026625334232700398,3.0,5
unseen_chemotype,massaction on all2d,,,MC_all2d,1.069275084240377,MC_all2d_massaction,1.0643587062693818,0.0049163779709953115,-0.018235292508874505,0.03974073677968056,4.0,5
unseen_chemotype,all2d,,,MC,1.145941776848719,MC_all2d,1.069275084240377,0.07666669260834191,-0.03364377869333812,0.16888733533829978,4.0,5
unseen_chemotype,all3d,,,MC,1.145941776848719,MC_all3d,,,,,,5
unseen_chemotype,everything,,,MC,1.145941776848719,MC_everything,1.0714503227693837,0.07449145407933533,-0.041457661526189925,0.18051664880223356,5.0,5
unseen_chemotype,all3d vs all2d,,,MC_all2d,1.069275084240377,MC_all3d,,,,,,5
unseen_chemotype,everything vs all2d,,,MC_all2d,1.069275084240377,MC_everything,1.0714503227693837,-0.0021752385290065845,-0.03629711475131207,0.04601652260642382,1.0,5
unseen_conditions,physchem,A_physchem,,MC,1.0251852784324929,MC_physchem,,,,,,5
unseen_conditions,ecfp,A_ecfp,,MC,1.0251852784324929,MC_ecfp,0.7991648332975119,0.22602044513498099,0.10494453950844825,0.3436526017186906,5.0,5
unseen_conditions,lig2d_ext,A_lig2d_ext,,MC,1.0251852784324929,MC_lig2d_ext,0.7875095554129823,0.23767572301951057,0.1283683587317317,0.35050660696678565,5.0,5
unseen_conditions,donors,A_donors,,MC,1.0251852784324929,MC_donors,,,,,,5
unseen_conditions,complex_phys,A_complex_phys,,MC,1.0251852784324929,MC_complex_phys,,,,,,5
unseen_conditions,polyhedron,A_polyhedron,,MC,1.0251852784324929,MC_polyhedron,,,,,,5
unseen_conditions,cond (added to metal),A_cond,1.0383347520059343,A_metal,1.3206057209980653,MC,1.0251852784324929,0.2954204425655724,0.11924129947044905,0.47440782590969216,5.0,5
unseen_conditions,massaction (log-conc law),,,MC,1.0251852784324929,MC_massaction,0.9666429449272437,0.05854233350524918,0.019777825333939902,0.09907921275910031,5.0,5
unseen_conditions,massaction on ecfp,,,MC_ecfp,0.7991648332975119,MC_ecfp_massaction,0.7372541535571968,0.061910679740315055,0.031611990053601456,0.09235829183414108,5.0,5
unseen_conditions,massaction on lig2d_ext,,,MC_lig2d_ext,0.7875095554129823,MC_lig2d_ext_massaction,0.7295232135269825,0.057986341885999826,0.0315227668278765,0.08611245819427973,5.0,5
unseen_conditions,massaction on all2d,,,MC_all2d,0.7936398729840988,MC_all2d_massaction,0.7336795290513456,0.05996034393275318,0.03191564262697112,0.08901233655259906,5.0,5
unseen_conditions,all2d,,,MC,1.0251852784324929,MC_all2d,0.7936398729840988,0.23154540544839408,0.12249419075247582,0.3421597715229728,5.0,5
unseen_conditions,all3d,,,MC,1.0251852784324929,MC_all3d,,,,,,5
unseen_conditions,everything,,,MC,1.0251852784324929,MC_everything,0.7639071413725892,0.26127813705990366,0.14887294513293078,0.3751886063751613,5.0,5
unseen_conditions,all3d vs all2d,,,MC_all2d,0.7936398729840988,MC_all3d,,,,,,5
unseen_conditions,everything vs all2d,,,MC_all2d,0.7936398729840988,MC_everything,0.7639071413725892,0.029732731611509577,-0.010859881369351235,0.07525408722664297,4.0,5
unseen_ligand,physchem,A_physchem,,MC,0.9588966183912249,MC_physchem,,,,,,5
unseen_ligand,ecfp,A_ecfp,,MC,0.9588966183912249,MC_ecfp,0.9106223053058361,0.048274313085388765,-0.04556999037940435,0.14340022204690814,4.0,5
unseen_ligand,lig2d_ext,A_lig2d_ext,,MC,0.9588966183912249,MC_lig2d_ext,0.8358155616842726,0.12308105670695224,0.022752685589485885,0.2291460592849515,5.0,5
unseen_ligand,donors,A_donors,,MC,0.9588966183912249,MC_donors,,,,,,5
unseen_ligand,complex_phys,A_complex_phys,,MC,0.9588966183912249,MC_complex_phys,,,,,,5
unseen_ligand,polyhedron,A_polyhedron,,MC,0.9588966183912249,MC_polyhedron,,,,,,5
unseen_ligand,cond (added to metal),A_cond,1.0016954807454517,A_metal,1.2929371416293882,MC,0.9588966183912249,0.33404052323816336,0.1671139276073565,0.5018895688219943,5.0,5
unseen_ligand,massaction (log-conc law),,,MC,0.9588966183912249,MC_massaction,0.9141872866384055,0.044709331752819326,0.010908855371046198,0.08287513151939145,5.0,5
unseen_ligand,massaction on ecfp,,,MC_ecfp,0.9106223053058361,MC_ecfp_massaction,0.8747872280937091,0.035835077212126976,0.010851085101152342,0.06371128016703873,5.0,5
unseen_ligand,massaction on lig2d_ext,,,MC_lig2d_ext,0.8358155616842726,MC_lig2d_ext_massaction,0.8078798489691168,0.027935712715155825,0.00965760676186634,0.04731839978659363,5.0,5
unseen_ligand,massaction on all2d,,,MC_all2d,0.8748221019323988,MC_all2d_massaction,0.8456358347744022,0.02918626715799666,0.009104123791182642,0.05028585701181,5.0,5
