adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
CNPRES_shrinkage,1,143,0.697469975754493,0.7123587784068167,-0.014888802652323875,-0.020409263322697012,-0.009558965647026726,0.7832167832167832,True,OFFSET_K1
OFFSET_K1,1,143,0.7123587784068167,0.7123587784068167,0.0,0.0,0.0,0.0,False,OFFSET_K1
OFFSET_K3,1,143,0.7123587784068167,0.7123587784068167,1.046899552285304e-18,-1.034920255554345e-18,3.225979118646935e-18,0.42657342657342656,False,OFFSET_K1
OFFSET_K2,1,143,0.7123587784068167,0.7123587784068167,1.2798134735353368e-18,-1.3803991296307281e-19,2.719795704374732e-18,0.20279720279720279,False,OFFSET_K1
CNPRES_absolute_x,1,143,0.7157258829770564,0.7123587784068167,0.0033671045702396533,-0.0008078921086349291,0.009044509730248547,0.4825174825174825,False,OFFSET_K1
CNPRES_ligand_recovered,1,143,0.7172491283724788,0.7123587784068167,0.004890349965662116,-0.001691160203225306,0.012443261406397855,0.44755244755244755,False,OFFSET_K1
CNPRES_conditions_only,1,143,0.7242205817859357,0.7123587784068167,0.011861803379118947,-0.006750998480409482,0.03483278966671513,0.5104895104895105,False,OFFSET_K1
CNPRES_ligand,1,143,0.7396416689869594,0.7123587784068167,0.02728289058014273,0.014530044669030058,0.040956311473107035,0.3706293706293706,False,OFFSET_K1
CNPRES_attentive,1,143,0.7455195701071654,0.7123587784068167,0.0331607917003487,0.017128511982465438,0.052063115265959595,0.4405594405594406,False,OFFSET_K1
NEAREST_OBSERVED,1,143,0.8409960177308846,0.7123587784068167,0.12863723932406787,0.07587572106597112,0.18084434686108913,0.3356643356643357,False,OFFSET_K1
NO_MODEL,1,143,0.8409960177308846,0.7123587784068167,0.12863723932406787,0.07533988419363855,0.18242095951791365,0.3356643356643357,False,OFFSET_K1
CNP_conditions_only,1,143,0.8816681800026274,0.7123587784068167,0.16930940159581076,0.1160001100863983,0.22927711897762573,0.3356643356643357,False,OFFSET_K1
ZERO_SHOT,1,143,0.9953088082511604,0.7123587784068167,0.28295002984434353,0.1783954401011458,0.3939428899555618,0.38461538461538464,False,OFFSET_K1
