arm,seed,n_cells,n_extractants,macro_mae,macro_mae_oracle_1scalar,macro_mae_oracle_2scalar,frac_error_removed_1scalar,frac_error_removed_2scalar,macro_mean_abs_y
C_DIRECT_ROW,104729,383,89,0.47434,0.20614,0.11705,0.56542,0.75325,0.57062
X_ENS_DIRECT+LOWRANK_K2,104729,383,89,0.45944,0.20396,0.11757,0.55606,0.74411,0.57062
M_SELECTED,104729,383,89,0.47707,0.21376,0.12634,0.55194,0.73517,0.57062
M_LOWRANK_K2,104729,383,89,0.47307,0.21191,0.12428,0.55206,0.73728,0.57062
M_PHYSICS_radius+radius_sq,104729,383,89,0.48128,0.20995,0.12565,0.56376,0.73892,0.57062
B1_MEAN_CURVE,104729,383,89,0.59285,0.21425,0.12063,0.63861,0.79653,0.57062
