arm,n_cells,seed,resid_mae,frac_resid_variance_additive_in_cell,n_loo_pairs,loo_r2_resid_from_other_pairs,loo_mae_resid
C_DIRECT_ROW,321,104729,0.51883,1,13634,1,1.1952e-15
X_ENS_DIRECT+LOWRANK_K2,321,104729,0.50073,1,13634,1,1.1334e-15
M_LOWRANK_K2,321,104729,0.50677,1,13634,1,1.1205e-15
M_SELECTED,321,104729,0.50165,1,13634,1,1.1064e-15
