arm,n_metals_band,n_cells,n_extractants,macro_mae,oracle_1scalar,oracle_2scalar,heldout_1scalar,heldout_2scalar,frac_removed_oracle1,frac_removed_heldout1
C_DIRECT_ROW,3-5,115,21,0.51431,0.25994,0.045746,0.33106,0.05879,0.49459,0.3563
C_DIRECT_ROW,6-9,148,31,0.31888,0.16517,0.12113,0.17232,0.13095,0.48201,0.45961
C_DIRECT_ROW,10-14,120,51,0.51866,0.19,0.1335,0.1924,0.13671,0.63368,0.62905
C_DIRECT_ROW,all>=3,383,89,0.47434,0.20614,0.11705,0.22495,0.12408,0.56542,0.52577
C_DIRECT_ROW,>=8,188,72,0.44113,0.17614,0.12873,0.17918,0.13325,0.60072,0.59382
X_ENS_DIRECT+LOWRANK_K2,3-5,115,21,0.49392,0.24525,0.045919,0.31125,0.059002,0.50346,0.36984
X_ENS_DIRECT+LOWRANK_K2,6-9,148,31,0.32616,0.16532,0.12136,0.1725,0.13123,0.49313,0.47111
X_ENS_DIRECT+LOWRANK_K2,10-14,120,51,0.50655,0.19117,0.13413,0.19359,0.13737,0.6226,0.61782
X_ENS_DIRECT+LOWRANK_K2,all>=3,383,89,0.45944,0.20396,0.11757,0.2217,0.12465,0.55606,0.51747
X_ENS_DIRECT+LOWRANK_K2,>=8,188,72,0.43092,0.17581,0.12855,0.17881,0.133,0.59202,0.58505
B1_MEAN_CURVE,3-5,115,21,0.62576,0.25601,0.047488,0.32473,0.061022,0.59088,0.48106
B1_MEAN_CURVE,6-9,148,31,0.40146,0.17983,0.12825,0.18757,0.13853,0.55205,0.53277
B1_MEAN_CURVE,10-14,120,51,0.64768,0.1978,0.13564,0.20024,0.13886,0.6946,0.69083
B1_MEAN_CURVE,all>=3,383,89,0.59285,0.21425,0.12063,0.23294,0.1279,0.63861,0.60709
B1_MEAN_CURVE,>=8,188,72,0.5575,0.18786,0.13368,0.19119,0.13844,0.66304,0.65707
