,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,270,187,170,242,193,220,157,131,151,131,149,98,120,138
Ce,187,213,169,193,181,176,144,128,133,121,127,101,117,118
Pr,170,169,191,172,164,163,133,120,122,111,115,87,104,104
Nd,242,193,172,309,234,222,197,136,190,144,173,101,129,136
Sm,193,181,164,234,268,203,204,144,202,143,176,102,127,133
Eu,220,176,163,222,203,266,177,142,161,126,147,97,121,133
Gd,157,144,133,197,204,177,298,188,237,184,214,134,166,171
Tb,131,128,120,136,144,142,188,213,181,158,162,135,153,155
Dy,151,133,122,190,202,161,237,181,283,185,220,143,176,182
Ho,131,121,111,144,143,126,184,158,185,223,188,143,166,158
Er,149,127,115,173,176,147,214,162,220,188,258,153,174,177
Tm,98,101,87,101,102,97,134,135,143,143,153,165,147,146
Yb,120,117,104,129,127,121,166,153,176,166,174,147,197,164
Lu,138,118,104,136,133,133,171,155,182,158,177,146,164,205
