,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,1,0.974319,0.951343,0.905999,0.442408,-0.245482,-0.645563,-0.877433,-0.938942,-0.924089,-0.909995,-0.884319,-0.870304,-0.817423
Ce,0.974319,1,0.960096,0.922015,0.485764,-0.195569,-0.608613,-0.84209,-0.925918,-0.92565,-0.928276,-0.903395,-0.897362,-0.854288
Pr,0.951343,0.960096,1,0.961204,0.603121,-0.0683712,-0.547817,-0.826559,-0.929448,-0.955014,-0.958463,-0.924035,-0.918531,-0.880742
Nd,0.905999,0.922015,0.961204,1,0.727761,0.075259,-0.45303,-0.753742,-0.893339,-0.940869,-0.96332,-0.941504,-0.945779,-0.908054
Sm,0.442408,0.485764,0.603121,0.727761,1,0.694449,0.142937,-0.206057,-0.448443,-0.611604,-0.711635,-0.724373,-0.762383,-0.773646
Eu,-0.245482,-0.195569,-0.0683712,0.075259,0.694449,1,0.694071,0.475628,0.244018,0.0230151,-0.102495,-0.145778,-0.194223,-0.23815
Gd,-0.645563,-0.608613,-0.547817,-0.45303,0.142937,0.694071,1,0.829499,0.666559,0.481658,0.385632,0.335792,0.29627,0.233235
Tb,-0.877433,-0.84209,-0.826559,-0.753742,-0.206057,0.475628,0.829499,1,0.905759,0.786475,0.719123,0.643682,0.609426,0.549133
Dy,-0.938942,-0.925918,-0.929448,-0.893339,-0.448443,0.244018,0.666559,0.905759,1,0.94122,0.895871,0.801169,0.776824,0.705183
Ho,-0.924089,-0.92565,-0.955014,-0.940869,-0.611604,0.0230151,0.481658,0.786475,0.94122,1,0.961435,0.886956,0.871803,0.810221
Er,-0.909995,-0.928276,-0.958463,-0.96332,-0.711635,-0.102495,0.385632,0.719123,0.895871,0.961435,1,0.933296,0.936737,0.899639
Tm,-0.884319,-0.903395,-0.924035,-0.941504,-0.724373,-0.145778,0.335792,0.643682,0.801169,0.886956,0.933296,1,0.96552,0.927707
Yb,-0.870304,-0.897362,-0.918531,-0.945779,-0.762383,-0.194223,0.29627,0.609426,0.776824,0.871803,0.936737,0.96552,1,0.981943
Lu,-0.817423,-0.854288,-0.880742,-0.908054,-0.773646,-0.23815,0.233235,0.549133,0.705183,0.810221,0.899639,0.927707,0.981943,1
