,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,0.1111,0.0214,0.0059,0.0785,0.0052,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0217
Ce,0.0214,0.0610,0.0000,0.0363,0.0055,0.0000,0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pr,0.0059,0.0000,0.0366,0.0116,0.0061,0.0061,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nd,0.0785,0.0363,0.0116,0.1327,0.0085,0.0270,0.0102,0.0000,0.0053,0.0069,0.0000,0.0000,0.0078,0.0000
Sm,0.0052,0.0055,0.0061,0.0085,0.0634,0.0197,0.0049,0.0000,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000
Eu,0.0091,0.0000,0.0061,0.0270,0.0197,0.0827,0.0395,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gd,0.0000,0.0069,0.0150,0.0102,0.0049,0.0395,0.1174,0.0585,0.0253,0.0109,0.0140,0.0000,0.0000,0.0000
Tb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,0.0585,0.1080,0.0221,0.0190,0.0000,0.0074,0.0000,0.0129
Dy,0.0000,0.0000,0.0000,0.0053,0.0347,0.0000,0.0253,0.0221,0.0919,0.0162,0.0045,0.0000,0.0170,0.0055
Ho,0.0000,0.0000,0.0000,0.0069,0.0000,0.0000,0.0109,0.0190,0.0162,0.0897,0.0266,0.0140,0.0181,0.0063
Er,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0140,0.0000,0.0045,0.0266,0.0581,0.0327,0.0057,0.0000
Tm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0074,0.0000,0.0140,0.0327,0.0485,0.0000,0.0000
Yb,0.0000,0.0000,0.0000,0.0078,0.0000,0.0000,0.0000,0.0000,0.0170,0.0181,0.0057,0.0000,0.0508,0.0122
Lu,0.0217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,0.0055,0.0063,0.0000,0.0000,0.0122,0.0439
