source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.1656,0.1958,0.2024,0.2393,0.2338,0.1885,0.1218,0.1329,0.1750,0.1823,0.1919,0.2431,0.2552
Ce,0.1966,,0.1746,0.1795,0.2419,0.2429,0.1890,0.1382,0.1382,0.1713,0.1832,0.1837,0.2501,0.2925
Pr,0.2748,0.1970,,0.1102,0.2136,0.2536,0.2043,0.1487,0.1375,0.1415,0.1319,0.1574,0.1813,0.2147
Nd,0.3287,0.2383,0.1345,,0.1808,0.2277,0.1903,0.1629,0.1484,0.1604,0.1520,0.1362,0.2058,0.2363
Sm,0.6444,0.5712,0.4816,0.3232,,0.1644,0.1955,0.2385,0.2476,0.3326,0.2813,0.2835,0.3357,0.3379
Eu,0.6693,0.6163,0.5319,0.4120,0.1661,,0.1677,0.2208,0.3008,0.4002,0.4105,0.4231,0.4523,0.4262
Gd,0.6598,0.5873,0.5478,0.4103,0.2227,0.1348,,0.1636,0.2290,0.3354,0.3395,0.3668,0.4345,0.4250
Tb,0.3948,0.3477,0.3427,0.3143,0.2189,0.1493,0.1460,,0.1216,0.2258,0.2868,0.2985,0.3445,0.3725
Dy,0.3431,0.2989,0.2576,0.2322,0.1820,0.1506,0.1810,0.1014,,0.1084,0.1569,0.2118,0.2888,0.2715
Ho,0.3655,0.3033,0.2211,0.1989,0.1794,0.1653,0.2047,0.1470,0.0924,,0.0847,0.1417,0.2083,0.2199
Er,0.3510,0.2858,0.1842,0.1747,0.1500,0.1483,0.2078,0.1690,0.1136,0.0730,,0.0911,0.1605,0.1523
Tm,0.3823,0.3059,0.2119,0.1624,0.1560,0.1625,0.2236,0.1999,0.1592,0.1227,0.0847,,0.0685,0.1221
Yb,0.4367,0.3588,0.2258,0.2199,0.1692,0.1532,0.2306,0.1915,0.1950,0.1630,0.1478,0.0687,,0.0813
Lu,0.4408,0.4136,0.2599,0.2363,0.1593,0.1403,0.2163,0.2021,0.1748,0.1717,0.1355,0.1162,0.0803,
