source,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
La,,0.8889,0.8148,0.6940,0.0535,0.0480,0.1682,0.6987,0.7267,0.7302,0.7378,0.7758,0.7011,0.6357
Ce,0.8880,,0.8213,0.7501,0.0961,0.0042,0.1387,0.6692,0.7335,0.7225,0.7671,0.7883,0.6854,0.6000
Pr,0.8150,0.8213,,0.8671,0.1973,-0.0051,0.0608,0.6087,0.7515,0.7817,0.8512,0.8383,0.8271,0.7667
Nd,0.6926,0.7495,0.8653,,0.3353,-0.0040,0.0548,0.5252,0.6425,0.7577,0.7963,0.8642,0.7414,0.6975
Sm,0.0473,0.0893,0.1845,0.3269,,0.4832,0.0339,0.0341,0.1878,0.1116,0.3672,0.4987,0.3808,0.3533
Eu,0.0515,0.0042,-0.0050,-0.0042,0.4853,,0.4003,0.2215,0.0357,0.0003,-0.0037,0.0135,0.0097,0.0095
Gd,0.1652,0.1300,0.0564,0.0524,0.0275,0.3826,,0.5169,0.2686,0.1314,0.0528,0.0382,-0.0077,0.0036
Tb,0.7004,0.6683,0.6067,0.5253,0.0350,0.2180,0.5190,,0.5862,0.6204,0.4596,0.3568,0.3436,0.3001
Dy,0.7198,0.7264,0.7458,0.6393,0.1868,0.0346,0.2691,0.6057,,0.8697,0.7706,0.6393,0.4291,0.5156
Ho,0.7251,0.7167,0.7770,0.7537,0.1572,-0.0018,0.1348,0.6248,0.8682,,0.8870,0.7859,0.6597,0.7111
Er,0.7361,0.7665,0.8498,0.7966,0.3702,-0.0102,0.0550,0.4616,0.7708,0.8863,,0.7749,0.6395,0.8114
Tm,0.7764,0.7863,0.8398,0.8661,0.4985,0.0153,0.0402,0.3568,0.6397,0.7886,0.7782,,0.9377,0.8613
Yb,0.7008,0.6853,0.8275,0.7436,0.3844,0.0108,-0.0071,0.3464,0.4309,0.6603,0.6387,0.9372,,0.9519
Lu,0.6366,0.5987,0.7678,0.7002,0.3578,0.0092,0.0046,0.3036,0.5176,0.7144,0.8125,0.8582,0.9510,
