extractant_name,n_cells_fitted,amp_mean,amp_sd,amp_min,amp_max,curv_mean,curv_sd,r2_quad_mean,r2_lin_mean,n_publications
TODGA,63,-0.8436260332849757,0.5352424093292334,-2.1765995750530593,0.4387300893461468,-0.14452373628716622,0.32037363263937535,0.9344078846187334,0.8264748487866672,10
DMDODGA,27,-0.5600353838532435,0.7758484035140556,-1.3169577186499157,1.659148555652968,0.4800261096493337,0.9076345397130795,0.9287983833337793,0.7385077922843775,5
TBDGA,5,-0.7111960851002408,0.2733906253134008,-0.903197471211722,-0.23880115774601365,0.023324697474823207,0.06729452787846961,0.9495456309750278,0.9409639382884082,2
TDdDGA,11,-0.8245760274654205,0.921926012179227,-2.299516136084347,0.6083263112895817,-0.12235713021491659,0.4353554110745742,0.8756825936035614,0.7922375161468319,2
DHD2DGA,20,-0.09834256068690372,0.0961102067070656,-0.26338771161462093,0.18023681256662477,-0.015283067754713015,0.12757553509310057,0.7835071366419222,0.7232723567749842,1
DBD1MHDGA,11,-0.5697627729525335,0.19754016448003428,-0.7647728259575238,-0.04737404681909141,0.0576326902431526,0.35753801951155795,0.89222961005604,0.8241307288906231,1
C5BTBP,16,-0.7220850755278131,0.1514813283603892,-0.9241813845874473,-0.3512318797630034,0.01079843117576687,0.16674039971204724,0.9185710289876639,0.8758241590238951,2
TDDGA,1,-0.3329203074515154,,-0.3329203074515154,-0.3329203074515154,0.06294412329109883,,0.828844738229688,0.7929702860432489,1
TEDGA,12,0.08300987437916645,0.6993346829368414,-1.1037142420894108,0.9060667327407225,-0.3495288675831862,0.2076865769343818,0.9442708516441009,0.4552226690476293,1
DMDPDGA,11,-0.6492390217139333,0.8954312982597723,-2.0439363744010275,0.6497457591750273,-0.27598969337329693,0.33510487586332316,0.9618026519066754,0.8610632484487016,3
DMDPhPDA,10,-0.20731440638117832,0.2720416037053897,-0.6981917381679763,0.09973050689605056,0.10937801572246741,0.11015185804588724,0.6105765993885802,0.48410613795337787,1
DOODA (C12),10,0.9010585160193312,0.5548593803167522,0.09617987654867716,1.8966943264846174,-0.16945001565901563,0.35945387374904886,0.9238299263379794,0.7818607003965721,1
