n_metals,n_cells,cells_at_least,entries_at_least
2,138,521,3359
3,62,383,3083
4,32,321,2897
5,21,289,2769
6,72,268,2664
7,8,196,2232
8,57,188,2176
9,11,131,1720
10,4,120,1621
11,2,116,1581
12,1,114,1559
13,35,113,1547
14,78,78,1092
