band,EB_GLOB_LOPO,EB_LIG_LOPO,FLAT,RIDGE_LOPO
2,0.6246208867243326,0.6246208867243326,0.6246208867243326,0.6246208867243326
3-4,0.6479001176597652,0.3132724164911671,0.5735940096351898,0.5232241447165941
5-8,0.21410491580214927,0.16844973089509332,0.422481657448648,0.2161101849542762
9-14,0.18967096205572748,0.17942160583167055,0.6212274125390617,0.2028819233934216
