pair,spearman,pearson
precision weight vs gen14 |a|-confidence weight (rich cells),0.7414632099598112,0.9935652279855811
se(a) vs n_metals (all cells),-0.16711916973221236,-0.12540937354652315
se(a) vs radius span of the measured metals,0.0479681688613616,0.036088852530176525
se(a) vs |a|,0.469823146992744,0.31025772582234307
|a| vs n_metals (the known confound),0.4356928460598954,0.5037079453014863
