sigma_mode,coef,weighting,band,var_observed,var_sampling,var_true,reliability,n
white_0.137,a,unweighted,all,0.1087787795571716,0.002090859692199648,0.10668791986497196,0.9807787906730399,521
white_0.137,a,chemotype_balanced,all,0.17894287816449211,0.001849689060564087,0.17709318910392802,0.9896632429323967,521
white_0.137,a,unweighted,2-2,0.045773953630525055,0.002586953194451273,0.043187000436073784,0.9434841653545495,138
white_0.137,a,unweighted,3-4,0.05846390636403951,0.0023930636469801487,0.05607084271705936,0.9590676744711658,94
white_0.137,a,unweighted,5-8,0.04335837450036613,0.0019597915470712882,0.04139858295329484,0.9548001609918577,158
white_0.137,a,unweighted,9-13,0.1594728293684525,0.0016938290885020494,0.15777900027995045,0.9893785725429843,53
white_0.137,a,unweighted,14-14,0.24513476399501677,0.001384235510996601,0.24375052848402018,0.9943531652204796,78
white_0.137,b,unweighted,all,0.04019544163354784,0.0025550059824389357,0.0376404356511089,0.9364354295262555,521
white_0.137,b,chemotype_balanced,all,0.07080770472116182,0.0020905783782353957,0.06871712634292643,0.9704752697963023,521
white_0.137,b,unweighted,2-2,0.029093472900773194,0.003165152864249234,0.025928320036523962,0.8912074582830186,138
white_0.137,b,unweighted,3-4,0.06396403306831332,0.003880436048878799,0.06008359701943452,0.9393340935094804,94
white_0.137,b,unweighted,5-8,0.047169164201230296,0.0021291193926918223,0.045040044808538474,0.954862049630375,158
white_0.137,b,unweighted,9-13,0.017094223015325538,0.0016060713130071327,0.015488151702318405,0.9060459599967056,53
white_0.137,b,unweighted,14-14,0.030448644033176955,0.001385684478910234,0.029062959554266722,0.9544910940073263,78
resid_const,a,unweighted,all,0.1087787795571716,0.004502861118655091,0.10427591843851651,0.9586053351859083,521
resid_const,a,chemotype_balanced,all,0.17894287816449211,0.003983477697469715,0.1749594004670224,0.9777388307468268,521
resid_const,a,unweighted,2-2,0.045773953630525055,0.0055712446887435305,0.040202708941781524,0.8782878854268716,138
resid_const,a,unweighted,3-4,0.05846390636403951,0.005153685486718419,0.05331022087732109,0.911848423972429,94
resid_const,a,unweighted,5-8,0.04335837450036613,0.004220593658626799,0.03913778084173933,0.9026579361596879,158
resid_const,a,unweighted,9-13,0.1594728293684525,0.0036478187286871247,0.15582501063976537,0.9771257665451019,53
resid_const,a,unweighted,14-14,0.24513476399501677,0.002981080119714265,0.2421536838753025,0.9878390152782456,78
resid_const,b,unweighted,all,0.04019544163354784,0.005502443391671107,0.03469299824187673,0.8631077762041885,521
resid_const,b,chemotype_balanced,all,0.07080770472116182,0.004502255282827613,0.0663054494383342,0.9364157431658415,521
resid_const,b,unweighted,2-2,0.029093472900773194,0.006816451539143634,0.02227702136162956,0.765705126974976,138
resid_const,b,unweighted,3-4,0.06396403306831332,0.008356880508582451,0.055607152559730866,0.8693503191135972,94
resid_const,b,unweighted,5-8,0.047169164201230296,0.004585256947701066,0.04258390725352923,0.9027912191078962,158
resid_const,b,unweighted,9-13,0.017094223015325538,0.003458824184189497,0.013635398831136042,0.7976612226780623,53
resid_const,b,unweighted,14-14,0.030448644033176955,0.002984200607093125,0.02746444342608383,0.9019923316177387,78
resid_cell,a,unweighted,all,0.1087787795571716,0.004674105568550276,0.10410467398862133,0.9570310901852537,521
resid_cell,a,chemotype_balanced,all,0.17894287816449211,0.004125358755814027,0.1748175194086781,0.9769459461134753,521
resid_cell,a,unweighted,2-2,0.045773953630525055,0.0055712446887435305,0.040202708941781524,0.8782878854268716,138
resid_cell,a,unweighted,3-4,0.05846390636403951,0.005153685486718419,0.05331022087732109,0.911848423972429,94
resid_cell,a,unweighted,5-8,0.04335837450036613,0.004787388967011283,0.03857098553335485,0.8895855985797886,158
resid_cell,a,unweighted,9-13,0.1594728293684525,0.004855979972287826,0.15461684939616469,0.9695497973446726,53
resid_cell,a,unweighted,14-14,0.24513476399501677,0.0021558513217630497,0.24297891267325372,0.991205444357917,78
resid_cell,b,unweighted,all,0.04019544163354784,0.005683891238571784,0.034511550394976054,0.8585936363035777,521
