sigma_mode,median_se_a,median_se_a_rich,median_se_b,median_se_b_rich,frac_|a|<se,frac_|a|<se_rich,frac_|b|<se,frac_|b|<se_rich
white_0.137,0.0381293919974622,0.038079317953407965,0.04297309432363761,0.03847643864963088,0.19961612284069097,0.09342560553633218,0.2687140115163148,0.23183391003460208
resid_const,0.05595536218149519,0.055881877892232625,0.06306355624812324,0.05646465750719212,0.2706333973128599,0.1522491349480969,0.3512476007677543,0.31141868512110726
resid_cell,0.053806487630064626,0.04735656970261891,0.06491177586868903,0.05278236544891367,0.2591170825335892,0.1314878892733564,0.33589251439539347,0.2837370242214533
inter_0.334,0.0929577877894334,0.09283570946305299,0.10476652192770045,0.09380387232829715,0.4165067178502879,0.27335640138408307,0.5143953934740882,0.47750865051903113
rep_cell,0.21115346209127014,0.21115346209127014,0.23537215707077713,0.21117499326004055,0.6353166986564299,0.49480968858131485,0.7754318618042226,0.726643598615917
