cell,n_series,n_metals_common,sd_total,sd_series_level,sd_curve,ss_resid,dof_resid,sd_resid,n_metals_cell
35,2,7,0.5861587966575331,0.28316761540676366,0.559495249183784,0.49244339336933834,6,0.2864854252748117,7
36,2,7,0.6137539578577262,0.16976326737175174,0.6343368502658124,0.24337904710137853,6,0.20140301516336945,7
61,2,8,0.16497986067337372,0.1690964117749127,0.10576467367604475,0.050138572274482984,7,0.08463245938804448,8
62,2,6,0.2681150669493639,0.16245752262901514,0.2515332849347877,0.07158365524974954,5,0.11965254301497276,6
63,2,8,0.4827036705197537,0.6763856470996502,0.06089867889639676,0.01614390043401755,7,0.04802365553114356,8
64,2,6,0.5075271309432888,0.6368126608182231,0.23849920686944967,0.0890045570784378,5,0.13342005627223952,6
65,8,8,0.8483618784212996,0.8833449584907305,0.11945572905549826,1.5661368464154535,49,0.17877912757774111,8
66,8,6,0.6050294099968011,0.6176524741814027,0.17247725313569173,0.358199747941221,35,0.1011646109694804,6
78,2,6,0.12169034294914663,0.010758982441908382,0.13224159529623558,0.0021295453209257678,5,0.0206375643956634,14
80,2,6,0.10778396570554276,0.0018869171524162052,0.11802227291192693,9.466738754930563e-05,5,0.0043512615997962165,6
170,2,12,1.0200558263589736,0.018856180831641388,1.0651106074303298,0.009933333333333318,11,0.030050462609256146,14
198,2,13,0.9072828703891288,0.4738638652817583,0.24002733855844346,17.10039190465217,12,1.1937473177858933,14
209,3,8,0.36398005336367134,0.2880334818342637,0.29155013754363635,0.06711177866181911,14,0.06923654003374391,14
210,4,5,0.6684289638062633,0.5061031461807892,0.24578704927805936,4.127259297005853,12,0.5864625092454655,14
315,2,14,1.0411749519712068,0.3873935008357726,1.0418016542572712,0.03311785714285712,13,0.05047303708444214,14
316,4,12,0.886192674646559,0.08682777493406138,0.9208392036697566,0.11521875000000005,33,0.05908872373581337,14
336,2,2,0.09480740906477893,0.03391653420427355,0.05984305402540156,0.026490734439271725,1,0.16275974452938824,3
340,5,2,0.29670624494270564,0.11280008659535577,0.39363302976369124,0.003820270987935665,4,0.03090417038174486,2
344,2,2,0.8487164093038267,0.0008173358101232982,1.2002654854899126,2.3662939993152585e-06,1,0.0015382763078573558,6
377,5,2,0.9060345955189933,0.9807956551981019,0.21789444410217967,0.27591600087588,4,0.26263853528941633,8
378,6,6,0.87576244637962,0.7119834970710177,0.5170383845411539,4.38307931388534,25,0.4187161001865269,6
