min_metals,n_cells,obs_lag1_autocorr,white_lag1_autocorr,sigma_upper_all_noise,sigma_white_part,systematic_var,frac_residual_systematic
8,188,0.15158532343168055,-0.22123280247234067,0.16349652825408822,0.13627412149147414,13.382387828075638,0.30528014408822346
10,120,0.19051571105734438,-0.21610102679206483,0.16741544352601576,0.13658874107626315,11.822866006391566,0.3343609855523414
13,113,0.18547538640421712,-0.21613724537051998,0.1670456373021344,0.13670863572546285,11.135875622218704,0.33023627333474026
14,78,0.2764287676877658,-0.21658466236577845,0.15142438163943123,0.1167791436750513,7.975248012733604,0.405243831608749
