band,FLAT,O_BOTH,O_BOTH_LOO1,O_BOTH_LOPO
2,0.6246208867243326,0.29912291533456536,0.47599671247568814,0.6246208867243326
3-4,0.5735940096351898,0.21250861258126963,0.31379944734755855,0.5232241447165941
5-8,0.422481657448648,0.15993197712922602,0.18515928276909197,0.2161101849542762
9-14,0.6212274125390617,0.16247574982647464,0.18925037898678848,0.2028819233934216
