system_id,metal,n_points,n_rows,n_acid_levels,n_ligand_levels,n_publications,publications,fittable,e1
sys_07ee9637c98c1e20,Ce,41,41,25,10,4,pub_37086f6378;pub_4829d176ba;pub_5a68dc5665;pub_917a4583d4,True,True
sys_07ee9637c98c1e20,Dy,15,15,15,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Er,8,8,8,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Eu,32,34,28,3,5,pub_37086f6378;pub_5a68dc5665;pub_af0c74798c;pub_cdc2243314;pub_f5d1922154,True,True
sys_07ee9637c98c1e20,Gd,38,39,36,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Ho,15,15,15,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,La,21,21,21,3,3,pub_37086f6378;pub_4829d176ba;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Lu,15,15,15,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Nd,6,6,6,2,2,pub_4829d176ba;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Pr,22,22,22,3,3,pub_37086f6378;pub_4829d176ba;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Sm,9,9,9,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Tb,15,15,14,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_07ee9637c98c1e20,Tm,8,8,8,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_120bb57e9148dd0d,Nd,13,13,11,1,2,pub_9a3afbee00;pub_9aa4ce6c0c,True,True
sys_1419f400c83e9ad8,Eu,18,18,12,7,2,pub_19783c039b;pub_5472c4b438,True,True
sys_267144068d8e09d2,Nd,56,67,12,17,2,pub_19783c039b;pub_a6126dc686,True,True
sys_5cb78e5000d40860,Ce,19,25,11,8,7,pub_1605e436d7;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Dy,18,21,11,7,6,pub_1605e436d7;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Er,14,18,10,3,5,pub_1605e436d7;pub_5a68dc5665;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Eu,105,132,43,50,18,pub_0d412f4721;pub_1605e436d7;pub_2e9f2dbea9;pub_457a2adba4;pub_51c0693f9c;pub_5472c4b438;pub_58e30f4932;pub_5a68dc5665;pub_86cd2c5ec0;pub_890299c726;pub_a9266a9412;pub_ad5a7268e5;pub_af0c74798c;pub_bef16e560c;pub_cd72e4a7bb;pub_d68ed8c8cf;pub_f59e3c846a;pub_f5d1922154,True,True
sys_5cb78e5000d40860,Gd,20,24,11,9,7,pub_1605e436d7;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Ho,18,21,11,7,6,pub_1605e436d7;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,La,29,36,13,15,10,pub_1605e436d7;pub_2c76a46f18;pub_2e9f2dbea9;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_b4273fb42a;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Lu,27,32,12,14,8,pub_1605e436d7;pub_2c76a46f18;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_b4273fb42a;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Nd,59,66,13,20,14,pub_04794d6d09;pub_09a5fc4a7d;pub_1605e436d7;pub_227fd56641;pub_328cdbeabc;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_be51bfd47a;pub_bef16e560c;pub_d3c970567f;pub_d68ed8c8cf;pub_e4bbba9576,True,True
sys_5cb78e5000d40860,Pr,23,28,12,11,8,pub_1605e436d7;pub_328cdbeabc;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Sm,20,23,11,9,7,pub_1605e436d7;pub_457a2adba4;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Tb,18,22,11,7,6,pub_1605e436d7;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Tm,18,22,11,7,6,pub_1605e436d7;pub_5a68dc5665;pub_890299c726;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_5cb78e5000d40860,Yb,14,18,10,3,5,pub_1605e436d7;pub_5a68dc5665;pub_af0c74798c;pub_bef16e560c;pub_d68ed8c8cf,True,True
sys_81bcc3c06cbf0b4c,Nd,28,28,3,2,3,pub_0e7f3e0563;pub_735d6b0409;pub_88fa4f0145,True,True
sys_81e3169a7f85c2b9,Dy,22,22,12,12,2,pub_0a8da089ad;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,Er,10,10,6,6,2,pub_0a8da089ad;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,Eu,26,26,16,10,4,pub_0a8da089ad;pub_51c0693f9c;pub_af0c74798c;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,Gd,14,14,9,7,2,pub_0a8da089ad;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,La,24,24,16,10,3,pub_0a8da089ad;pub_51c0693f9c;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,Nd,28,28,18,12,3,pub_0a8da089ad;pub_51c0693f9c;pub_b9dfc468cd,True,True
sys_81e3169a7f85c2b9,Sm,24,24,14,12,2,pub_0a8da089ad;pub_b9dfc468cd,True,True
sys_95746e54b97ae741,Eu,7,7,7,2,2,pub_bef16e560c;pub_e287124c22,True,True
sys_a2a472b5124b09c6,Ce,9,9,8,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a2a472b5124b09c6,Dy,17,17,14,3,3,pub_37086f6378;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Er,16,16,14,3,3,pub_37086f6378;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Eu,69,70,36,21,7,pub_37086f6378;pub_51c0693f9c;pub_5a68dc5665;pub_a9266a9412;pub_af0c74798c;pub_b9dfc468cd;pub_f5d1922154,True,True
sys_a2a472b5124b09c6,Gd,26,26,23,3,3,pub_37086f6378;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Ho,14,14,13,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a2a472b5124b09c6,La,12,12,10,3,4,pub_37086f6378;pub_51c0693f9c;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Lu,16,16,14,3,3,pub_37086f6378;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Nd,19,19,17,4,5,pub_04794d6d09;pub_37086f6378;pub_51c0693f9c;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Pr,9,9,8,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a2a472b5124b09c6,Sm,11,11,9,3,3,pub_37086f6378;pub_5a68dc5665;pub_b9dfc468cd,True,True
sys_a2a472b5124b09c6,Tb,17,17,15,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a2a472b5124b09c6,Tm,14,14,13,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a2a472b5124b09c6,Yb,14,14,13,2,2,pub_37086f6378;pub_5a68dc5665,True,True
sys_a7195d8a9d8696e0,Eu,59,60,39,15,5,pub_0c3788daa5;pub_0d412f4721;pub_357f5739d1;pub_58e30f4932;pub_92d20246e9,True,True
sys_a7195d8a9d8696e0,Nd,10,10,3,2,3,pub_15b174237f;pub_5a68dc5665;pub_88fa4f0145,True,True
sys_a9fea6791c7a14d6,Eu,37,37,15,4,2,pub_40c355ae86;pub_7bbf4ac140,True,True
sys_b06c95ac0efc3d4e,Eu,14,27,2,13,2,pub_2319535dff;pub_723ceb6c2c,True,True
sys_be340fe5092ae17a,Eu,13,14,8,7,3,pub_0af6736cb1;pub_86cd2c5ec0;pub_e287124c22,True,True
sys_ebce91a448faa5c3,Eu,25,25,14,12,5,pub_5a68dc5665;pub_691fc07992;pub_a9266a9412;pub_cd72e4a7bb;pub_f5d1922154,True,True
