model,set,n,spearman,pearson,pearson_log,kendall
NAIVE,S8,62,0.39200725239857975,0.36883301536696833,0.4310121076006963,0.2924378635642517
NAIVE,S14,39,0.6439271255060729,0.6642611356882218,0.7003051590733369,0.46558704453441296
NAIVE,S3,81,0.4665085817524842,0.35760767673113214,0.4406359121464883,0.3259259259259259
ELEM,S8,62,0.31338923723905215,0.29406949303502355,0.32985319494752063,0.20359598096245374
ELEM,S14,39,0.39635627530364376,0.3354855787765891,0.3438679072177006,0.26855600539811064
ELEM,S3,81,0.20282294489611563,0.1326368557413851,0.22991243489187738,0.1345679012345679
SPECIES,S8,62,-0.08367958500163683,-0.15661307982746103,-0.14511038247068964,-0.042834479111581183
SPECIES,S14,39,-0.04817813765182186,-0.20079100975742553,-0.19100216606827758,-0.033738191632928474
SPECIES,S3,81,-0.041666666666666664,-0.05899115531811322,-0.05614316758950763,-0.020987654320987655
SPECIES_CONST,S8,19,0.16666666666666666,-0.007215264621034021,0.0302404317682743,0.12280701754385964
SPECIES_CONST,S14,11,0.15454545454545454,-0.19024733605959057,-0.16133325458678857,0.0909090909090909
SPECIES_CONST,S3,33,0.1985294117647059,0.06705501589890712,0.09248125506511391,0.14393939393939395
SPECIES_NFILLCOL,S8,62,0.3738258920702072,0.3530278097037848,0.3577085724492858,0.2659968270756214
SPECIES_NFILLCOL,S14,39,0.2641700404858299,0.12447870669378341,0.17575908044479874,0.18488529014844804
SPECIES_NFILLCOL,S3,81,0.3785004516711833,-0.04312643784379034,0.1940000322193644,0.25246913580246916
FIXCYC_ALL,S8,62,0.2896678502178238,0.21135002032539377,0.20729456837364688,0.16975145425700688
FIXCYC_ALL,S14,39,0.3937246963562753,0.24873944079553337,0.22697138650783485,0.23346828609986506
FIXCYC_ALL,S3,81,0.1510614272809395,0.044622022160794854,0.1136566858673643,0.08086419753086418
FIXCYC_CONSTCOMP,S8,62,0.3254765682052832,0.28700026162883413,0.2908249614634207,0.19513484928609204
FIXCYC_CONSTCOMP,S14,39,0.4647773279352227,0.3850561021903738,0.3584608897562122,0.2928475033738192
FIXCYC_CONSTCOMP,S3,81,0.22000903342366757,0.10102417497861751,0.19553391916529692,0.13271604938271603
FIXCYC_CONSTNLIGS,S8,62,0.33847044899398154,0.2948992362858705,0.2902058231165435,0.20042305658381812
FIXCYC_CONSTNLIGS,S14,39,0.44777327935222677,0.37329107332322353,0.3462534216336599,0.2739541160593792
FIXCYC_CONSTNLIGS,S3,81,0.22940379403794037,0.09952083985652524,0.19274742863290106,0.1388888888888889
FIXCYC_CONSTNLIGS_GAMMACONST,S8,62,0.23507340535368032,0.0016049358621252193,0.003730428523055904,0.1411951348492861
FIXCYC_CONSTNLIGS_GAMMACONST,S14,39,0.34939271255060733,0.06346683783975907,0.0646580250618061,0.21727395411605938
FIXCYC_CONSTNLIGS_GAMMACONST,S3,81,0.34957091237579047,0.08040752825803317,0.07845083841003055,0.20864197530864198
SPECIES_NODELTA,S8,62,0.034474075193271385,0.0007374411868063791,-0.10616506167405079,0.02379693283976732
SPECIES_NODELTA,S14,39,0.3038461538461539,0.21416075368861728,0.029745826055531773,0.20917678812415658
SPECIES_NODELTA,S3,81,-0.027145438121047877,-0.019311054526026293,-0.10909747538552862,-0.029629629629629627
SPECIES_GLOBALDELTA,S8,62,0.00410465614061595,0.028107147046330144,-0.08927406293887231,0.006874669487043892
SPECIES_GLOBALDELTA,S14,39,0.204251012145749,0.13429848721580276,0.043639196078901196,0.13900134952766532
SPECIES_GLOBALDELTA,S3,81,-0.05426829268292682,0.0007836220560977273,-0.10751866582688202,-0.04567901234567901
SPECIES_LIGDELTA,S8,62,0.00022663745561683158,-0.08482100058836545,-0.070997759159731,0.010047593865679535
SPECIES_LIGDELTA,S14,39,-0.013967611336032389,-0.17200941273508524,-0.16370327265179013,-0.017543859649122806
SPECIES_LIGDELTA,S3,81,0.031210478771454383,-0.06261293442322899,-0.04498866018901851,0.022839506172839506
SPECIES_FIXLIG,S8,62,-0.11117826294981241,-0.08094715527536138,-0.07769032545738162,-0.06187202538339504
SPECIES_FIXLIG,S14,39,-0.0674089068825911,-0.12079293286572543,-0.10165568223384902,-0.04723346828609987
SPECIES_FIXLIG,S3,81,-0.08473351400180669,-0.08267063406602367,-0.07684594586099895,-0.05432098765432099
