target,family_size,n_chemotype_units,perm_reps,null_p95_max_abs_rho,null_p50_max_abs_rho,observed_max_abs_rho,observed_argmax,familywise_p,seed
a,12,40,2000,0.6043956043956044,0.378935702427424,0.6016511867905057,slope__NAIVE__S14,0.054,20260909
abs_a,12,40,2000,0.6099071207430341,0.37425231435586936,0.4238866396761134,slope__NAIVE__S3,0.3545,20260909
b,12,40,2000,0.5913312693498451,0.3766769865841073,0.7502579979360166,slope__NAIVE__S14,0.005,20260909
a,12,40,2000,0.6088299092212136,0.3787409700722394,0.6016511867905057,slope__NAIVE__S14,0.054,991
abs_a,12,40,2000,0.6131868131868132,0.3787409700722394,0.4238866396761134,slope__NAIVE__S3,0.3565,991
b,12,40,2000,0.5956043956043956,0.3765199788769583,0.7502579979360166,slope__NAIVE__S14,0.003,991
a,12,40,2000,0.6058823529411763,0.37089469197289904,0.6016511867905057,slope__NAIVE__S14,0.0535,13577
abs_a,12,40,2000,0.5882318371994895,0.37254901960784315,0.4238866396761134,slope__NAIVE__S3,0.349,13577
b,12,40,2000,0.5956043956043956,0.3716748768472906,0.7502579979360166,slope__NAIVE__S14,0.0045,13577
