extractant,series,a,b,abs_a,n_metals,chemotype,S8,S14,S3,naive_slope,slope_n_ligs_vs_r,range_n_ligs,mean_n_ligs,steppos_n_ligs,slope_n_NO3_vs_r,range_n_NO3,mean_n_NO3,steppos_n_NO3,slope_n_H2O_vs_r,range_n_H2O,mean_n_H2O,steppos_n_H2O,slope_n_fill_vs_r,range_n_fill,mean_n_fill,steppos_n_fill,slope_coreCN_vs_r,range_coreCN,mean_coreCN,steppos_coreCN,n_compositions,is_nitrate
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1||nitrate,0.07601097493086181,0.08206296817636363,0.07601097493086181,5.0,sc000,False,False,True,921.9134125305252,0.0,0.0,1.0,,0.0,0.0,1.0,,0.34895652319742865,1.0,0.75,,0.34895652319742865,1.0,2.75,,0.34895652319742865,1.0,8.75,,2.0,1.0
C1COCCOCCOCCOCCOCCO1,C1COCCOCCOCCOCCOCCO1||nitrate,0.05620718295732292,0.12910069076729588,0.05620718295732292,5.0,sc001,False,False,True,946.1696302459702,0.0,0.0,1.0,,0.0,0.0,1.0,,0.39237797938788377,1.0,0.75,,0.39237797938788377,1.0,2.75,,0.39237797938788377,1.0,8.75,,2.0,1.0
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,14.0,sc007,True,True,True,-480.3619543674249,0.426248757005634,1.0,2.5,1.7049950280225366,0.0,0.0,0.0,,-0.8524975140112686,2.0,1.0,-1.7049950280225366,-0.8524975140112686,2.0,1.0,-1.7049950280225366,0.42624875700563414,1.0,8.5,1.7049950280225366,2.0,0.0
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate,0.049124075720208875,-0.15507499511061024,0.049124075720208875,6.0,sc008,False,False,True,-380.1439062609713,0.0,0.0,4.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,0.0,9.0,,1.0,1.0
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,8.0,sc010,True,False,True,-11.57344252213735,0.4129126205160688,1.0,2.625,,-0.41291262051606825,1.0,0.375,-1.5603734516782621,0.0,0.0,0.0,,-0.8258252410321365,2.0,0.75,-1.5603734516782621,0.4129126205160693,1.0,8.625,,2.0,1.0
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21||nitrate,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,14.0,sc012,True,False,True,931.3323257726748,-1.7531471073377546e-16,0.0,1.0,,-3.506294214675509e-16,0.0,2.0,,0.0,0.0,0.0,,-7.012588429351018e-16,0.0,4.0,,-1.4025176858702037e-15,0.0,8.0,,1.0,1.0
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C||nitrate,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,14.0,sc015,True,False,True,807.7982185496933,-3.066826428473329e-16,0.0,3.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,-6.133652856946658e-16,0.0,9.0,,1.0,1.0
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC||water,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,14.0,sc009,True,True,True,-156.01357956361812,0.426248757005634,1.0,2.5,1.7049950280225366,0.0,0.0,0.0,,-0.8524975140112686,2.0,1.0,-1.7049950280225366,-0.8524975140112686,2.0,1.0,-1.7049950280225366,0.42624875700563414,1.0,8.5,1.7049950280225366,2.0,0.0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC||water,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,11.0,sc009,True,True,True,-723.4999308243146,0.426248757005634,1.0,2.5,1.7049950280225366,0.0,0.0,0.0,,-0.8524975140112686,2.0,1.0,-1.7049950280225366,-0.8524975140112686,2.0,1.0,-1.7049950280225366,0.42624875700563414,1.0,8.5,1.7049950280225366,2.0,0.0
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1||nitrate,0.03929164417066978,-0.11854091718079607,0.03929164417066978,6.0,sc017,False,False,True,-75.63774148236948,0.0,0.0,4.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,0.0,9.0,,1.0,1.0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC||water,-0.46063267360784843,0.1401303860221489,0.46063267360784843,5.7272727272727275,sc018,False,False,True,-485.2687452874666,0.6005511145272978,1.0,2.5,1.289801714282178,0.0,0.0,0.0,,-1.2011022290545965,2.0,1.0,-1.289801714282178,-1.2011022290545965,2.0,1.0,-1.289801714282178,0.6005511145272966,1.0,8.5,1.289801714282178,2.0,0.0
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC||water,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,14.0,sc009,True,True,True,-642.6053628927849,0.426248757005634,1.0,2.5,1.7049950280225366,0.0,0.0,0.0,,-0.8524975140112686,2.0,1.0,-1.7049950280225366,-0.8524975140112686,2.0,1.0,-1.7049950280225366,0.42624875700563414,1.0,8.5,1.7049950280225366,2.0,0.0
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C||water,-0.569600970402105,-0.09861878784918293,0.569600970402105,14.0,sc019,True,True,True,-861.6913456017376,0.426248757005634,1.0,2.5,1.7049950280225366,0.0,0.0,0.0,,-0.8524975140112686,2.0,1.0,-1.7049950280225366,-0.8524975140112686,2.0,1.0,-1.7049950280225366,0.42624875700563414,1.0,8.5,1.7049950280225366,2.0,0.0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1||nitrate,0.029087123427637352,-0.4690365346128549,0.029087123427637352,7.0,sc020,False,False,True,40.58758670534357,0.0,0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,0.0,1.0,,0.0,0.0,9.0,,1.0,1.0
