model,set,rho,n_contributing_chemotypes,loco_chem_min,loco_chem_max,loco_chem_sign_stable,n_pubs,n_lopo_any,lopo_any_min,lopo_any_max,lopo_any_sign_stable,n_modal_pubs,lopo_modal_min,lopo_modal_max,lopo_modal_sign_stable
NAIVE,S8,0.39200725239857975,29,0.21926910299003324,0.5046957488191165,True,46,46,0.2434867564046895,0.52622350733643,True,29,0.26841628959276015,0.52622350733643,True
NAIVE,S14,0.6439271255060729,18,0.5984615384615385,0.7450486924171135,True,32,32,0.558974358974359,0.774537695590327,True,18,0.5931034482758619,0.774537695590327,True
NAIVE,S3,0.4665085817524842,39,0.3041311636777508,0.5584712755598833,True,52,52,0.3566016073478761,0.5679846469320152,True,35,0.3757033248081842,0.5679846469320152,True
ELEM,S8,0.31338923723905215,29,0.03095741467834491,0.37546138072453866,True,46,46,-0.11387320885801129,0.37594816085382116,False,29,-0.042352941176470586,0.3551542095026397,False
ELEM,S14,0.39635627530364376,18,-0.07923076923076922,0.4953496006127585,False,32,32,-0.20683760683760682,0.4751066856330014,False,18,-0.07487684729064037,0.4751066856330014,False
ELEM,S3,0.20282294489611563,39,0.08031622012365806,0.26779516358463723,True,52,52,-0.09975994155098634,0.31883474761613156,False,35,-0.0576543660942638,0.2749944465012958,False
SPECIES,S8,-0.08367958500163683,29,-0.12886913031397612,0.000453035336756267,False,46,46,-0.13726035009724927,-0.03263711587560368,True,29,-0.13726035009724927,-0.03263711587560368,True
SPECIES,S14,-0.04817813765182186,18,-0.12178575336470072,0.03307692307692307,False,32,32,-0.15386439070649593,0.021100047415836886,False,18,-0.15386439070649593,0.021100047415836886,False
SPECIES,S3,-0.041666666666666664,39,-0.0735349273323957,0.04475683656833492,False,52,52,-0.09185551290814448,0.008245485857426158,False,35,-0.09185551290814448,0.004384362440628426,False
SPECIES_CONST,S8,0.16666666666666666,14,0.07327141382868937,0.33529411764705885,True,14,14,0.07327141382868937,0.3137254901960785,True,12,0.07327141382868937,0.3137254901960785,True
SPECIES_CONST,S14,0.15454545454545454,8,0.006060606060606061,0.4047619047619048,True,7,5,0.006060606060606061,0.19999999999999998,True,5,0.006060606060606061,0.19999999999999998,True
SPECIES_CONST,S3,0.1985294117647059,24,0.13343108504398826,0.2562316715542522,True,19,19,0.03937708565072302,0.2685483870967742,True,17,0.03937708565072302,0.2685483870967742,True
SPECIES_NFILLCOL,S8,0.3738258920702072,29,0.316250884370482,0.45922681969193596,True,46,46,0.28413670060598606,0.4562121258728352,True,29,0.28413670060598606,0.4562121258728352,True
SPECIES_NFILLCOL,S14,0.2641700404858299,18,0.13745173745173747,0.36667031403873507,True,32,32,0.15938375350140058,0.374348032242769,True,18,0.15938375350140058,0.374348032242769,True
SPECIES_NFILLCOL,S3,0.3785004516711833,39,0.3394941900205058,0.472515303454428,True,52,52,0.2652916073968705,0.4528754827262291,True,35,0.2652916073968705,0.4459992692729266,True
