kappa,model,set,n,rho_slope_vs_a,p,rho_slope_vs_injected,recovery_coef,slope_sd,rms_median
0.0,NAIVE,S8,62,0.39200725239857975,0.001627107947089192,0.39200725239857975,,818.5247876917615,387.23193539697394
0.0,NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06,0.6439271255060729,,726.9203846990013,387.056447423044
0.0,ELEM,S8,62,0.31338923723905215,0.013129495597396356,0.31338923723905215,,1.6483789856659157,1.0099813412533551
0.0,ELEM,S14,39,0.39635627530364376,0.012490839172481519,0.39635627530364376,,1.2500019294141131,0.9126713552268354
0.0,SPECIES,S8,62,-0.08367958500163683,0.5178778229378215,-0.08367958500163683,,0.25234200240562293,0.5622991017566159
0.0,SPECIES,S14,39,-0.04817813765182186,0.7708582247850755,-0.04817813765182186,,0.2805246057411206,0.6609220074089819
0.0,SPECIES_CONST,S8,19,0.16666666666666666,0.49526609078386524,0.16666666666666666,,0.2826474860441401,0.4709599729845294
0.0,SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799,0.15454545454545454,,0.3207328087438408,0.5538914526949055
0.05,NAIVE,S8,62,0.3934678048903327,0.0015573050135944298,0.3934678048903327,6691.684001232997,818.5478672774718,387.2313825547185
0.05,NAIVE,S14,39,0.6477732793522267,8.279683880157653e-06,0.6477732793522267,9950.334245079934,726.9584679866686,387.0558935229965
0.05,ELEM,S8,62,0.3399813653647604,0.006859632181472076,0.3399813653647604,7.183631754087074,1.6620043339919404,1.0119784976051278
0.05,ELEM,S14,39,0.4402834008097166,0.005032102126632325,0.4402834008097166,8.52502983029888,1.2626901901996637,0.9222318978125562
0.05,SPECIES,S8,62,-0.011256326962302636,0.9308055566297174,-0.011256326962302636,-0.6063447458825927,0.2524826165319354,0.5620609558591627
0.05,SPECIES,S14,39,0.03461538461538462,0.834290331665916,0.03461538461538462,-0.7775757595587336,0.2790829167317159,0.6616266557345715
0.05,SPECIES_CONST,S8,19,0.28947368421052627,0.22933513423022364,0.28947368421052627,0.6187161251234574,0.28706515800521637,0.47210539791732664
0.05,SPECIES_CONST,S14,11,0.23636363636363636,0.4840911622253965,0.23636363636363636,-0.19905911413000374,0.3209206562772218,0.5547559645728138
0.1,NAIVE,S8,62,0.3943743547128,0.001515342552182406,0.3943743547128,3346.3398774462976,818.5709496665177,387.2308297211638
0.1,NAIVE,S14,39,0.6506072874493928,7.3319156420337905e-06,0.6506072874493928,4975.66712253997,726.9965531065943,387.05533963165084
0.1,ELEM,S8,62,0.3638034801440407,0.003653706937228282,0.3638034801440407,3.994860137522083,1.6767748095980337,1.0140043949211583
0.1,ELEM,S14,39,0.4633603238866397,0.002971226493878492,0.4633603238866397,4.641436240862252,1.276594849358042,0.93180800863361
0.1,SPECIES,S8,62,0.06751277983430283,0.6021068603296685,0.06751277983430283,-0.11910423235033471,0.25514230085581213,0.5637473136521265
0.1,SPECIES,S14,39,0.09554655870445346,0.5628585068615813,0.09554655870445346,-0.19540612964763193,0.2800552613269716,0.6597997707318142
0.1,SPECIES_CONST,S8,19,0.3350877192982456,0.16079938595747956,0.3350877192982456,0.6992895562318856,0.29657811982678,0.46962248686244634
0.1,SPECIES_CONST,S14,11,0.3181818181818182,0.34029761418190335,0.3181818181818182,0.46300059047698533,0.3253939283003134,0.5556966328057188
0.25,NAIVE,S8,62,0.39573417944650097,0.0014543005559061932,0.39573417944650097,1339.133403174279,818.6402136512949,387.22917127270256
0.25,NAIVE,S14,39,0.6542510121457491,6.259398702973638e-06,0.6542510121457491,1990.8668490159862,727.1108194570436,387.0536780098218
