subset,target,n,rho,p
all82,a,80,-0.5299729567002173,4.2928974221560643e-07
all82,abs_a,80,0.36556053234808156,0.0008547825560714172
all82,b,80,-0.11304065738329493,0.3181057234913699
S8,a,61,-0.4157773988772158,0.0008610089471607595
S8,abs_a,61,0.2467756290242005,0.05520325557850497
S8,b,61,-0.15259726844968496,0.24037197916164157
S14,a,39,-0.45714618649016936,0.0034363310545745844
S14,abs_a,39,0.3802766601081136,0.016938028952999076
S14,b,39,-0.38123453582627004,0.016640143065362708
S3,a,79,-0.52216492831038,7.995339739905229e-07
S3,abs_a,79,0.3511761100778589,0.0015072302033657095
S3,b,79,-0.10323902905846394,0.3652508375148016
