model,set,n,rho,partial_n_metals,partial_n_computed,partial_n_cells,rho_slope_vs_nmetals,rho_slope_vs_ncomputed,rho_a_vs_nmetals,rho_absa_vs_nmetals
NAIVE,S8,62,0.39200725239857975,0.3847158447130995,0.38245111342333943,0.38827169359943375,-0.1216753122153797,-0.1756501461219208,-0.09876003171180643,0.3184854846692412
NAIVE,S14,39,0.6439271255060729,0.645329623563704,0.6439271255060729,0.6276461025915893,-0.12845656542319317,,-0.033498940059025734,0.3547722392077922
NAIVE,S3,81,0.4665085817524842,0.4446307016464597,0.4368726175506453,0.46516178316190926,-0.20749974809897034,-0.2622147901874777,-0.1904329807707908,0.4813715906421752
ELEM,S8,62,0.31338923723905215,0.2989058994577892,0.2999942034901364,0.30612826203277105,-0.3264362635304562,-0.23574328412882356,-0.09876003171180643,0.3184854846692412
ELEM,S14,39,0.39635627530364376,0.3963006897254866,0.39635627530364376,0.37970353988003297,-0.15931779366654758,,-0.033498940059025734,0.3547722392077922
ELEM,S3,81,0.20282294489611563,0.18066888571922843,0.20535944305266393,0.21463652524259977,-0.14331047280703985,-0.00905885268562028,-0.1904329807707908,0.4813715906421752
SPECIES,S8,62,-0.08367958500163683,-0.0808874825693345,-0.08921298755544038,-0.08822951425240769,0.03271177588614175,-0.050485223499985195,-0.09876003171180643,0.3184854846692412
SPECIES,S14,39,-0.04817813765182186,-0.04615172679370831,-0.04817813765182186,-0.030529122665197764,0.06409639712081303,,-0.033498940059025734,0.3547722392077922
SPECIES,S3,81,-0.041666666666666664,-0.03773168993089577,-0.030777559350489866,-0.03746307873235627,0.0243468290064684,0.056368860817276926,-0.1904329807707908,0.4813715906421752
SPECIES_CONST,S8,19,0.16666666666666666,0.15606411973695308,0.13797718784640914,0.15920206505541892,0.16413538835005026,0.20073062781371623,0.08053848248232279,0.33234867454730677
SPECIES_CONST,S14,11,0.15454545454545454,0.16200765658429647,0.15454545454545454,0.15584965871860693,0.0,,0.30000000000000004,0.5
SPECIES_CONST,S3,33,0.1985294117647059,0.2070534172235985,0.19093066221109517,0.21727630002299134,-0.08126879176344685,0.05550607093732844,0.08686148280953351,0.6627338889612698
SPECIES_NFILLCOL,S8,62,0.3738258920702072,0.37033996426599664,0.37206885772958204,0.38738965668663927,-0.06045431498402413,-0.03907218566146489,-0.09876003171180643,0.3184854846692412
SPECIES_NFILLCOL,S14,39,0.2641700404858299,0.270913750438335,0.2641700404858299,0.31497756360647794,0.129115993377111,,-0.033498940059025734,0.3547722392077922
SPECIES_NFILLCOL,S3,81,0.3785004516711833,0.3788238997284074,0.40153525627477765,0.3764284932712142,-0.03596854196571366,0.06606363296294737,-0.1904329807707908,0.4813715906421752
