model,subset,n,rho,p
NAIVE,S8 all 62,62,0.39200725239857975,0.001627107947089192
NAIVE,S8 minus S14 (23),23,0.15118577075098816,0.4910738624547539
NAIVE,S14 (39),39,0.6439271255060729,9.745568326920046e-06
ELEM,S8 all 62,62,0.31338923723905215,0.013129495597396356
ELEM,S8 minus S14 (23),23,0.10375494071146245,0.637556964162966
ELEM,S14 (39),39,0.39635627530364376,0.012490839172481519
SPECIES,S8 all 62,62,-0.08367958500163683,0.5178778229378215
SPECIES,S8 minus S14 (23),23,-0.15711462450592886,0.47402784223966754
SPECIES,S14 (39),39,-0.04817813765182186,0.7708582247850755
SPECIES_CONST,S8 all 62,19,0.16666666666666666,0.49526609078386524
SPECIES_CONST,S8 minus S14 (23),8,0.2142857142857143,0.6103444156452669
SPECIES_CONST,S14 (39),11,0.15454545454545454,0.6500339654975799
SPECIES_NFILLCOL,S8 all 62,62,0.3738258920702072,0.00276312036116654
SPECIES_NFILLCOL,S8 minus S14 (23),23,0.4930830039525692,0.016815756649947236
SPECIES_NFILLCOL,S14 (39),39,0.2641700404858299,0.10414515607681155
FIXCYC_ALL,S8 all 62,62,0.2896678502178238,0.022393376486587034
FIXCYC_ALL,S8 minus S14 (23),23,-0.0790513833992095,0.719941518440136
FIXCYC_ALL,S14 (39),39,0.3937246963562753,0.01314221168319848
FIXCYC_CONSTCOMP,S8 all 62,62,0.3254765682052832,0.009841425247900423
FIXCYC_CONSTCOMP,S8 minus S14 (23),23,-0.09387351778656126,0.6700798788152733
FIXCYC_CONSTCOMP,S14 (39),39,0.4647773279352227,0.002873226738820732
FIXCYC_CONSTNLIGS,S8 all 62,62,0.33847044899398154,0.007128019674438108
FIXCYC_CONSTNLIGS,S8 minus S14 (23),23,0.017786561264822136,0.9357994824312978
FIXCYC_CONSTNLIGS,S14 (39),39,0.44777327935222677,0.004257832144848311
FIXCYC_CONSTNLIGS_GAMMACONST,S8 all 62,62,0.23507340535368032,0.06589077954645456
FIXCYC_CONSTNLIGS_GAMMACONST,S8 minus S14 (23),23,0.19071146245059292,0.38339659231487283
FIXCYC_CONSTNLIGS_GAMMACONST,S14 (39),39,0.34939271255060733,0.0292430543240482
SPECIES_NODELTA,S8 all 62,62,0.034474075193271385,0.7902361821136845
SPECIES_NODELTA,S8 minus S14 (23),23,-0.34980237154150196,0.10179594567782946
SPECIES_NODELTA,S14 (39),39,0.3038461538461539,0.060037953959115944
SPECIES_GLOBALDELTA,S8 all 62,62,0.00410465614061595,0.974741226218071
SPECIES_GLOBALDELTA,S8 minus S14 (23),23,-0.2707509881422925,0.21145886194855515
SPECIES_GLOBALDELTA,S14 (39),39,0.204251012145749,0.21230758096949237
SPECIES_LIGDELTA,S8 all 62,62,0.00022663745561683158,0.9986051173246434
SPECIES_LIGDELTA,S8 minus S14 (23),23,0.05731225296442688,0.795060350014236
SPECIES_LIGDELTA,S14 (39),39,-0.013967611336032389,0.932743393988814
SPECIES_FIXLIG,S8 all 62,62,-0.11117826294981241,0.3896378842155492
SPECIES_FIXLIG,S8 minus S14 (23),23,-0.13932806324110672,0.5260576523058188
SPECIES_FIXLIG,S14 (39),39,-0.0674089068825911,0.6834671993813861
