# regime: cohort=Pr/Nd case: literature placeholder entries PC88A and Cyanex 272 (no corpus rows), feed_status assumed (U1); holdout=none (computed regimes, consistency checks are not validation); averaging_unit=draw (parameter draw, seed 18); status_of_parameters=PLACEHOLDER_PARAMETERS (assumed with ranges, --allow-placeholders), feed_status assumed, spec_status assumed
draw,log_k_Nd,sf_nd_pr,sf_mode,log_k_Pr,log_k_Pr_clipped,a_dimer,b_proton
0,-3.661457884643097,1.1,"assumed sweep, assigned in turn",-3.702850569801322,False,2.717414679288216,2.2808233280360035
1,-4.326277672203956,1.2,"assumed sweep, assigned in turn",-4.405458918251581,False,2.96977131929286,2.563926745367952
2,-3.1469259794823823,1.3,"assumed sweep, assigned in turn",-3.2608693317892192,False,2.5768714635026093,2.475360969729936
3,-4.242955821319501,1.4,"assumed sweep, assigned in turn",-4.389083856997739,False,2.313596121223218,2.7362085826849922
4,-2.5944830305985036,1.1,"assumed sweep, assigned in turn",-2.6358757157567285,False,2.888601945176388,2.948320881869942
5,-4.446651765119548,1.2,"assumed sweep, assigned in turn",-4.525833011167173,False,2.738038585199121,2.672600076568488
6,-3.1871059549730543,1.3,"assumed sweep, assigned in turn",-3.301049307279891,False,2.6376241879130657,2.1262708915318673
7,-3.18505116686547,1.4,"assumed sweep, assigned in turn",-3.331179202543708,False,2.7870918106860967,2.00740103932456
8,-2.5658079628498127,1.1,"assumed sweep, assigned in turn",-2.6072006480080376,False,2.1306311774130613,2.3757060727228545
9,-3.343533051541696,1.2,"assumed sweep, assigned in turn",-3.4227142975893208,False,2.6082554438218213,2.5494286088431224
10,-3.6857882591141973,1.3,"assumed sweep, assigned in turn",-3.799731611421034,False,2.8803162171689394,2.396622600630863
11,-2.6656171176993655,1.4,"assumed sweep, assigned in turn",-2.8117451533776037,False,2.329883372394726,2.625719523368554
12,-2.7153825739277067,1.1,"assumed sweep, assigned in turn",-2.7567752590859316,False,2.1198276290061577,2.170897997484897
13,-2.9706466442450497,1.2,"assumed sweep, assigned in turn",-3.0498278902926743,False,2.125681224389382,2.0170306795873234
14,-4.099617875752334,1.3,"assumed sweep, assigned in turn",-4.213561228059171,False,2.3947450036018294,2.702652232808359
15,-3.029512680908398,1.4,"assumed sweep, assigned in turn",-3.1756407165866363,False,2.214242164829413,2.2245050194569247
16,-4.391046646157431,1.1,"assumed sweep, assigned in turn",-4.432439331315656,False,2.0225022784143403,2.1347939213021148
