step,NO_MODEL@RANDOM,OFFSET_K1@MEDOID,OFFSET_K1@ORACLE[OFFSET_K1],OFFSET_K1@RANDOM,OFFSET_K3@MEDOID,OFFSET_K3@RANDOM
0->1,0.1145528743717995,0.36894780888727496,0.527967800246504,0.26779784342478963,0.36894780888727496,0.26779784342478963
1->2,0.0993646432552695,0.02762733137819362,0.002776915348043918,0.09093405466239479,0.03183638513693643,0.13538044218992418
2->3,0.04513068131247833,0.020941114453451704,-0.0027757593381637635,0.03899345876483784,0.03460179526892382,0.06855478480131383
3->5,0.03277818976231195,0.01766391636813114,-0.020129884627125394,0.034575509291518314,0.05865962996166363,0.07523583084166552
