k,statistic,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
1,mae,CENTRAL vs RANDOM,0.09633390934762094,0.0347085529233344,0.13669249311018541,0.046608288602772045,0.14922778962672226,0.06148677491886508,99,75,5,5
1,mae,MEDOID vs RANDOM,0.10114996546248543,0.037149153459321564,0.14634268578740092,0.047441722478875195,0.15962640713284024,0.07045474216546076,99,77,5,5
1,mae,MAX_ENSEMBLE_SD vs RANDOM,0.025055550218415126,-0.017609038306383978,0.051775329277764445,-0.00823277937488962,0.05842969064939013,0.0027280477727194405,99,48,5,5
1,mae,FARTHEST vs RANDOM,-0.12103799038887493,-0.1705758951909621,-0.0723439405941649,-0.17654029278940908,-0.07647014546517131,-0.13160131789829563,99,32,0,5
1,mae,ORACLE vs RANDOM,0.2601699568217144,0.1863913408394164,0.31032503922847365,0.19913212448130402,0.3268002343597017,0.21769695796348443,99,99,5,5
1,mae,ORACLE vs CENTRAL,0.16383604747409353,0.12265626912817036,0.19451898721942693,0.12604246806743657,0.19698092164531839,0.15621018304461934,99,99,5,5
1,mae,one measurement vs zero,0.2677978434247897,0.14001532828299626,0.4615502586012668,0.14204747238859425,0.4662753210455575,0.27772937386191,99,52,5,5
1,mae,offset vs no model,0.15324496905299018,0.06918839981027505,0.22061289585593982,0.07533652974983929,0.2271885454508203,0.17783122596104575,99,69,5,5
1,mae,slope repair + medoid vs random offset,0.11754966705509527,0.04713904737580542,0.1655247730104549,0.059421089464101386,0.17942446692219857,0.08082355694078382,99,78,5,5
1,mae,"slope repair vs offset, both at medoid",0.016399701592609856,0.0007478823271498267,0.029180243519756385,0.004195107686910469,0.034419980449236325,0.010368814775323044,99,17,5,5
1,mae,"physics-latent residual vs offset, both at CENTRAL",0.028950400857351892,-0.001108982389644838,0.04767143697798973,-0.0002052307674694423,0.048258660699187654,0.021501791145967696,99,74,5,5
1,mae,"physics-latent residual vs slope repair, both at CENTRAL",0.0077346431498775525,-0.02452654057975104,0.04027736376293032,-0.021888961827629637,0.04347312858819349,0.002165009124048968,99,59,4,5
1,mae,physics law on the absolute value vs offset (RANDOM),-0.05488500519492819,-0.13033500292171446,-0.009006548477382973,-0.12133424140724229,-0.003942910645331859,-0.1043802477139185,99,41,0,5
1,mae,residual CNP vs offset (RANDOM),0.027839840754761383,-0.012647072594258438,0.05440516464984429,-0.004941373029688717,0.06127272633475838,0.004401625901292193,99,56,5,5
1,mae,absolute CNP vs offset (RANDOM),-0.14477580943848134,-0.28170411467182976,-0.060183628476941364,-0.25427163512826995,-0.04028795086678111,-0.1994860355641249,99,41,0,5
1,mae,CNP: adding a ligand representation (RANDOM),-0.01243241526065648,-0.030175389624142596,0.020088181774246077,-0.03415815928271079,0.012554875963296162,0.008048712260694276,99,33,2,5
1,mae,absolute CNP: adding a ligand representation (RANDOM),-0.12451483959336469,-0.18823536812649352,-0.018252790702238435,-0.2090745782395637,-0.04142249821816892,-0.06418842501457071,99,39,0,5
1,mae,mass-action curve baseline vs offset (RANDOM),0.018501110577934337,-0.01883298251771052,0.04456983209738856,-0.011742200821206005,0.05286662746084685,-0.009986870611757757,99,30,5,5
1,mae,spline residual baseline vs offset (RANDOM),0.020276031175445585,-0.008181552953358847,0.040768797202817425,-0.0031223532506437332,0.04707700484528927,-0.0013810975386432836,99,31,5,5
1,mae,local GP curve vs offset (RANDOM),3.6627133130795884e-05,2.3026292297710307e-05,4.475462224379355e-05,2.5775304668664e-05,4.661552682286583e-05,3.3068904200168775e-05,99,88,5,5
1,shape_mae,CENTRAL vs RANDOM,4.2053902447922597e-19,-1.2212453270876721e-18,3.52451753849256e-18,-1.4053456007913374e-18,2.8912057932946786e-18,1.0136849580149027e-18,99,7,0,5
1,shape_mae,MEDOID vs RANDOM,3.5745817080734206e-18,-2.1478952989496084e-18,1.0191537807645551e-17,-7.95703888021834e-19,1.3199898037337372e-17,3.49589090738009e-18,99,6,0,5
1,shape_mae,MAX_ENSEMBLE_SD vs RANDOM,-1.051347561198065e-18,-4.9460709928268806e-18,1.6681758943552806e-18,-6.813237998826081e-18,1.1564823173178713e-18,-3.062210038385888e-18,99,5,0,5
1,shape_mae,FARTHEST vs RANDOM,-1.6120662605036995e-18,-8.940497914649699e-18,1.1363167643058136e-17,-1.0594750294858555e-17,8.540177112501205e-18,4.67916976619679e-18,99,7,0,5
1,shape_mae,ORACLE vs RANDOM,-9.812577237848605e-19,-6.010374851871982e-18,7.022573411340265e-18,-4.8699557138569185e-18,9.526278071465855e-18,2.00797768205039e-18,99,3,0,5
1,shape_mae,ORACLE vs CENTRAL,-1.4017967482640865e-18,-8.034773372102493e-18,6.0855261300324575e-18,-7.03662480396226e-18,7.750238651819108e-18,9.94292724035487e-19,99,2,0,5
1,shape_mae,one measurement vs zero,4.2053902447922597e-19,-3.598111867776425e-18,3.550131764789745e-18,-2.8543074583008496e-18,4.403694363217037e-18,-8.1658934356957e-19,99,4,0,5
1,shape_mae,offset vs no model,0.12217383077134832,0.05711304522400381,0.16839134362140198,0.06465946443322919,0.1759125616148508,0.1353659044227699,99,71,5,5
1,shape_mae,slope repair + medoid vs random offset,0.016202604819733814,0.0038412355230570717,0.02750536169636963,0.006302547775188375,0.03324651495603388,0.009531452047582236,99,25,5,5
1,shape_mae,"slope repair vs offset, both at medoid",0.01620260481973381,0.0038412355230570696,0.02750536169636963,0.006302547775188365,0.03324651495603387,0.009531452047582233,99,21,5,5
1,shape_mae,"physics-latent residual vs offset, both at CENTRAL",0.014978051930223607,-0.008276129797300979,0.029866066077134826,-0.007853906526693266,0.030220631485236193,0.007382874775078129,99,70,5,5
1,shape_mae,"physics-latent residual vs slope repair, both at CENTRAL",-0.001224552889510211,-0.024304478872977944,0.016184610960965285,-0.027181335516394727,0.014584054646447199,-0.0021485772725041044,99,62,3,5
1,shape_mae,physics law on the absolute value vs offset (RANDOM),-0.06832401418314368,-0.10964985818011207,-0.028618806277579713,-0.10743604977845034,-0.02614313689532936,-0.09227588604680934,99,33,0,5
1,shape_mae,residual CNP vs offset (RANDOM),0.00668687363838157,0.0004297534328797594,0.015451046590748868,0.0008949314409492519,0.01623539054977347,0.008627176811852225,99,52,5,5
1,shape_mae,absolute CNP vs offset (RANDOM),-0.06952412213006597,-0.1068783177840954,-0.04206388271900048,-0.10628114642642153,-0.04180055430804881,-0.0840742852517994,99,26,0,5
1,shape_mae,CNP: adding a ligand representation (RANDOM),0.006335484973397658,-0.0033494798012854445,0.023656434376940115,-0.004279523178670026,0.02199174668574225,0.015367658634849497,99,50,4,5
