arm,k,mae,offset,shape_mae,spearman,sign_accuracy,within_0_5,within_1_0,n_ligands,worst_quartile_mae,hard_mae,n_hard
ZERO_SHOT,0,0.994987794041208,0.8325950251901757,0.47207874317198284,0.43026582846849104,0.6881965607697544,0.3774867635603285,0.6002520712272948,143,1.3403049723392537,0.7794028109574157,23
OFFSET_K1@ORACLE[OFFSET_K1],1,0.4836906798403177,0.21717899839966265,0.47207874317198284,0.43026582846849104,0.6881965607697544,0.6831230855289541,0.8508839952006158,143,0.7419679634098801,0.3891923889757612,23
OFFSET_K2@ORACLE[OFFSET_K1],1,0.4836906798403177,0.21717899839966265,0.47207874317198284,0.43027884647268644,0.6882023538412408,0.6831230855289541,0.8508839952006158,143,0.7419679634098801,0.3891923889757612,23
OFFSET_K3@ORACLE[OFFSET_K1],1,0.4836906798403177,0.21717899839966265,0.47207874317198284,0.43027883855255966,0.6882023368027953,0.6831230855289541,0.8508839952006158,143,0.7419679634098801,0.3891923889757612,23
PHYS_residual_gbm@CENTRAL,1,0.626211373585586,0.4252663078232897,0.45988616204604255,0.4377631996203876,0.6972576055897493,0.5820149462300332,0.7923733725640396,143,0.9099590213046579,0.5432049968110093,23
NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,0.6267084823655763,0.36508599624241395,0.5658756496902655,,0.5,0.613910470401604,0.7845814538230108,143,0.9646597645488197,0.3983436101456758,23
NO_MODEL@ORACLE[OFFSET_K1],1,0.6267084823655763,0.36508599624241395,0.5658756496902655,,0.5,0.613910470401604,0.7845814538230108,143,0.9646597645488197,0.3983436101456758,23
PHYS_residual@CENTRAL,1,0.6279762137599633,0.4255268322963534,0.4626141272457638,0.42072359288784117,0.6884953779414242,0.581829431791219,0.791112322277427,143,0.9259349660792534,0.5495221016576451,23
PHYS_residual_hypernet@CENTRAL,1,0.6287889599273196,0.4279626422929901,0.46129104228425244,0.4366932653363167,0.6954652925482033,0.5802538968392307,0.7903667219145423,143,0.92044107674173,0.5572706513529758,23
PHYS_residual_metalcat@CENTRAL,1,0.6301090581801176,0.4278985924524375,0.46097124901384395,0.4178973674143276,0.6871954030999675,0.5809154931248836,0.793500070972892,143,0.9299354259274881,0.552656365753308,23
SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.6329026202836592,0.4618068091765062,0.45919223533044995,0.45198178432816805,0.69619139215669,0.5918833218990642,0.7923964732275592,143,0.8827907789747964,0.5463004177629418,23
SLOPE_L_s1_K1@MEDOID,1,0.6329026202836592,0.4618068091765062,0.45919223533044995,0.45198178432816805,0.69619139215669,0.5918833218990642,0.7923964732275592,143,0.8827907789747964,0.5463004177629418,23
