arm,k,split_seed,mae,offset,shape_mae,spearman,sign_accuracy,within_0_5,within_1_0
CNPRES_absolute_x@RANDOM,1,104729,0.7030833642244755,0.5631229987108278,0.46517795017131214,0.4508232760602166,0.6990198807686325,0.5700445391946503,0.7615249754796258
CNPRES_absolute_x@RANDOM,1,130363,0.7246841843749413,0.579593421204782,0.4843532460370566,0.4204605750301095,0.6852273929296597,0.5496480308194265,0.7457422064290422
CNPRES_absolute_x@RANDOM,1,155921,0.6750384324039264,0.5299821560874637,0.461770039863449,0.4476717773885037,0.6781939499136334,0.5786979583736586,0.7734214521946784
CNPRES_absolute_x@RANDOM,1,196613,0.7358840412491379,0.5900856901443117,0.47541171858824216,0.4201248691227228,0.6682289745065915,0.5496714840327824,0.7478027085994684
CNPRES_absolute_x@RANDOM,1,262147,0.739939392632801,0.5897352621434211,0.4789956327332521,0.3986153848845969,0.6761652878803736,0.5426757548345713,0.7399916610811607
CNPRES_absolute_x@RANDOM,2,104729,0.611506059933405,0.40154523282434884,0.46517795017131214,0.4508232760602166,0.6990198807686325,0.5940967070818275,0.8035132114331075
CNPRES_absolute_x@RANDOM,2,130363,0.6375357297196936,0.42431961802995316,0.4843532460370566,0.4204605750301095,0.6852273929296597,0.5739287568613671,0.789461444717289
CNPRES_absolute_x@RANDOM,2,155921,0.600068369892647,0.3974740282851803,0.461770039863449,0.4476717773885037,0.6781939499136334,0.6030346979541142,0.799922292383847
CNPRES_absolute_x@RANDOM,2,196613,0.636326031276886,0.4330173197308056,0.47541171858824216,0.4201248691227228,0.6682289745065915,0.5778872659042654,0.7854388149997159
CNPRES_absolute_x@RANDOM,2,262147,0.6576435565810496,0.45286003381044465,0.47907639786644657,0.40037580624837804,0.6772099112381105,0.5725178552214276,0.7718774988099445
CNPRES_absolute_x@RANDOM,3,104729,0.5910327842072114,0.346120139442125,0.47264399104644245,0.4508232760602166,0.7013433535790177,0.5912666660858754,0.8065823447128139
CNPRES_absolute_x@RANDOM,3,130363,0.6146798453273236,0.3626864360691587,0.49050576552333214,0.4204605750301095,0.697967671514019,0.5726960487922316,0.7971533590185982
CNPRES_absolute_x@RANDOM,3,155921,0.579565627862277,0.3395213749688557,0.46914813029397007,0.4476717773885037,0.6838535870296812,0.6073729398081776,0.8106532590852784
CNPRES_absolute_x@RANDOM,3,196613,0.6137963500265605,0.370843290289004,0.48410940416945547,0.4201248691227228,0.6656520112492764,0.5755258689012489,0.7949426767401906
CNPRES_absolute_x@RANDOM,3,262147,0.6307745337964045,0.38966965316666907,0.4872789514149625,0.39961962171301074,0.6775296235899879,0.5769279348781057,0.7848855379470091
CNPRES_absolute_x@RANDOM,5,104729,0.6108073456740192,0.29772542829990306,0.5309741721744687,0.4169002999382597,0.6804327036607742,0.5773280679516795,0.798871473134798
CNPRES_absolute_x@RANDOM,5,130363,0.6499068131552073,0.32188211309856285,0.5617708799532742,0.37727475997416665,0.6622964699248594,0.5406418225012027,0.7874589376523783
CNPRES_absolute_x@RANDOM,5,155921,0.6022825171146815,0.29489538686802325,0.524259417150859,0.4170089071959514,0.6800251694251354,0.5842253708375702,0.7977075905753646
CNPRES_absolute_x@RANDOM,5,196613,0.6217001152403944,0.31562043068584067,0.5333606133711889,0.39863755464593564,0.675783113510725,0.566415436026052,0.7869057408545127
