extractant,extractant_family,arm,n_rows,mae,r2,bias_mean_residual,sign_accuracy,baseline_mae,delta_mae_baseline_minus_candidate,improved_vs_baseline,split_seed
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,SCALE_s100_lig2d_TP,1,0.611717201791453,,0.611717201791453,1.0,0.604354042750342,-0.007363159041110956,False,104729
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,PRIOR_TP,1,0.616252157410684,,0.616252157410684,1.0,0.604354042750342,-0.011898114660341963,False,104729
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,A2_run,1,0.6192054357474572,,0.6192054357474572,1.0,0.604354042750342,-0.014851392997115243,False,104729
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,A2_run_TP,1,0.6192054357474572,,0.6192054357474572,1.0,0.604354042750342,-0.014851392997115243,False,104729
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,PAIRMEAN_baseline,1,0.7746820602650909,,0.7746820602650909,0.0,0.604354042750342,-0.1703280175147489,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_refit,140,0.16201747777838651,0.47161910506044724,0.0917684085934752,0.9357142857142857,0.16201747777838651,0.0,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_lig2d,140,0.1721325396719498,0.4135241042033445,0.11786656629329832,0.9571428571428572,0.16201747777838651,-0.010115061893563287,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s75,140,0.2169723679977323,0.05120824227196474,0.1734785742307762,0.9571428571428572,0.16201747777838651,-0.0549548902193458,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s100,140,0.2336612117001198,-0.10213095199532973,0.19279257752387002,0.9571428571428572,0.16201747777838651,-0.07164373392173329,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s50_lig2d,140,0.4220757155435148,-2.4770354085548445,0.39452231915994523,0.9571428571428572,0.16201747777838651,-0.26005823776512826,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s100_lig2d,140,0.2461602180442437,-0.20255157871097818,0.21266214161496522,0.9571428571428572,0.16201747777838651,-0.08414274026585719,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,PRIOR,140,0.11147013373931493,0.7612879946257303,0.021350968197408685,0.9571428571428572,0.16201747777838651,0.05054734403907159,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_refit_TP,140,0.15969555437260635,0.5111387624856145,0.11272471760736343,0.9571428571428572,0.16201747777838651,0.002321923405780163,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_lig2d_TP,140,0.17193850681516157,0.4283682920799511,0.12575682380183853,0.9571428571428572,0.16201747777838651,-0.009921029036775053,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s75_TP,140,0.2206189532187638,0.07431756198476636,0.18857663630283836,0.9571428571428572,0.16201747777838651,-0.058601475440377276,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s100_TP,140,0.23863823241284565,-0.07995879924692084,0.20529523339665942,0.9571428571428572,0.16201747777838651,-0.07662075463445914,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s50_lig2d_TP,140,0.4301383644429742,-2.4587672365084856,0.40365043855535054,0.9571428571428572,0.16201747777838651,-0.26812088666458767,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,SCALE_s100_lig2d_TP,140,0.24951689776763927,-0.18980856901627785,0.2168469409508567,0.95,0.16201747777838651,-0.08749941998925276,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,PRIOR_TP,140,0.10767935474857508,0.7731073490773525,0.028776739151364562,0.9571428571428572,0.16201747777838651,0.05433812302981143,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_run,140,0.12550469240052345,0.6902182714197399,0.04541685546758853,0.9357142857142857,0.16201747777838651,0.036512785377863066,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,A2_run_TP,140,0.11852583257931824,0.7182883669591844,0.06316939027806162,0.9571428571428572,0.16201747777838651,0.04349164519906827,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,PAIRMEAN_baseline,140,0.2892546157806958,-0.7524940528304807,0.25975565289830554,0.9571428571428572,0.16201747777838651,-0.12723713800230926,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_refit,298,0.6360504491665478,-19.4633927667484,0.6317869900580524,0.7785234899328859,0.6360504491665478,0.0,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_lig2d,298,0.6274242908252603,-19.222578729936476,0.6237539529561841,0.785234899328859,0.6360504491665478,0.008626158341287549,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s75,298,0.6935339325308097,-23.900965226819196,0.6896561507353461,0.785234899328859,0.6360504491665478,-0.0574834833642619,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s100,298,0.6325330285237053,-19.472029267410516,0.6284321936300941,0.785234899328859,0.6360504491665478,0.0035174206428425503,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s50_lig2d,298,0.7462017862604983,-28.98504526183833,0.7423000927719168,0.785234899328859,0.6360504491665478,-0.11015133709395042,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s100_lig2d,298,0.6223234578991227,-19.243592739748717,0.61830700333792,0.785234899328859,0.6360504491665478,0.01372699126742516,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,PRIOR,298,0.5983022473526487,-16.746086692557423,0.5935988058897085,0.7751677852348994,0.6360504491665478,0.03774820181389915,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_refit_TP,298,0.6281295576888859,-19.40969960044023,0.6244477061254544,0.785234899328859,0.6360504491665478,0.007920891477661951,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_lig2d_TP,298,0.6199366269410994,-19.1887168245335,0.6160706670579168,0.785234899328859,0.6360504491665478,0.016113822225448438,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s75_TP,298,0.6888445236676245,-23.849777473213855,0.684507038912909,0.7684563758389261,0.6360504491665478,-0.05279407450107665,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s100_TP,298,0.6266090851325025,-19.422656228782664,0.6220508324802456,0.7684563758389261,0.6360504491665478,0.009441364034045385,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s50_lig2d_TP,298,0.7465434021431643,-28.943638320073532,0.7424056709822578,0.785234899328859,0.6360504491665478,-0.11049295297661643,False,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,SCALE_s100_lig2d_TP,298,0.6191106739637252,-19.214933757310273,0.6144447970691779,0.7718120805369127,0.6360504491665478,0.016939775202822638,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,PRIOR_TP,298,0.5821939905163531,-16.632724104926684,0.5773234310394713,0.7684563758389261,0.6360504491665478,0.05385645865019473,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_run,298,0.6348884849301766,-19.494211079460925,0.6307811805128454,0.785234899328859,0.6360504491665478,0.0011619642363712712,True,104729
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,A2_run_TP,298,0.6281383827782134,-19.444367024811974,0.6242518866740464,0.785234899328859,0.6360504491665478,0.007912066388334416,True,104729
