run_dir,model_seed,split_seed,ablation,n_samples,mae,rmse,r2,pearson,spearman,fold_mae_mean,fold_mae_sample_std,fold_rmse_mean,fold_rmse_sample_std,fold_r2_mean,fold_r2_sample_std,fold_pearson_mean,fold_pearson_sample_std,fold_spearman_mean,fold_spearman_sample_std
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526446,0.006120517137368624,-0.049587073356353775,0.6283638275465184,0.2398745167316354,0.9104516021064306,0.2658233691181214,-0.6697151491077744,0.2677817859270727,0.12686566970439178,0.24750108723254896,0.0373690112851562,0.22109761543191822
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526446,-0.14041154685862386,-0.15132965741216012,0.6283638275465184,0.2398745167316354,0.9104516021064306,0.2658233691181214,-0.6697151491077744,0.2677817859270727,-0.05408843028359548,0.27965919610073603,-0.125136939426792,0.23403885517673367
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526446,-0.079460802633245,-0.029946606464518806,0.6283638275465184,0.2398745167316354,0.9104516021064306,0.2658233691181214,-0.6697151491077744,0.2677817859270727,-0.05783258665763562,0.24235597132716719,0.005689600708979269,0.1974043240151779
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526446,-0.0489984053808795,-0.06084425306101628,0.6283638275465184,0.2398745167316354,0.9104516021064306,0.2658233691181214,-0.6697151491077744,0.2677817859270727,-0.06549558712695769,0.2576716155524826,-0.10372649171823038,0.2024200462399985
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,A0,6699,0.6574165635685693,0.9586085633964003,-0.6810092419526446,-0.047891476476819364,-0.06614697352954742,0.6283638275465184,0.2398745167316354,0.9104516021064306,0.2658233691181214,-0.6697151491077744,0.2677817859270727,-0.1494302999212941,0.34111896890096255,-0.07960654676233442,0.2816129842676722
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A1,6699,0.4847497763794679,0.7206472778702254,0.0499794633948093,0.47630686207588463,0.2961080821441218,0.417323857712637,0.138805028847856,0.5907280519707034,0.19788488795630446,0.20035463218679866,0.5149765258158789,0.6437753531308015,0.21968200666219959,0.5355421449824049,0.25961340324508364
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A1,6699,0.47892823145393393,0.7110100261650817,0.07521890647982599,0.48781856482815833,0.3187357926908939,0.4148822934134901,0.13282171249149669,0.588445445732926,0.18867780886027424,0.20874414050318055,0.4881120008937819,0.6479507027593636,0.2054396876042672,0.5440251534437307,0.23300968230586072
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A1,6699,0.486225883527709,0.7288724967081971,0.02816929099512855,0.46462973913335975,0.287282541941677,0.4177717933447602,0.14015365327390214,0.5956202717311355,0.20066060124493038,0.18425555743625008,0.5303660777165332,0.6325538758502636,0.23755229743262726,0.5202487242464634,0.27171728899252523
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A1,6699,0.4825682159483454,0.7176776362809589,0.057793015858711216,0.4798642668346781,0.3030724542641037,0.41579618264525137,0.1379270090095598,0.5887479368376194,0.19675308125958832,0.2053297981578376,0.5109413583827195,0.6461600723641917,0.2173074731337927,0.5400238874617591,0.25561656861716264
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,A1,6699,0.4904454850301806,0.735085549232546,0.011530523673785154,0.45749005840398005,0.2773804981336224,0.41932735209319594,0.14499413492014315,0.594832243455074,0.20921968068810143,0.18205232801498694,0.5570025021317856,0.6326393393801348,0.2479898562592022,0.5227598358031977,0.28905279832312275
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A2,6699,0.4194475439725999,0.6154888797939159,0.30700848969309324,0.597838570257536,0.5710013653213573,0.38019107366381516,0.10163688137481762,0.5476217694399924,0.1443257195062241,0.3041886167959304,0.4144868920788611,0.6770542942471796,0.15681998406316688,0.6457666130466777,0.1918123588901588
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A2,6699,0.4155549170373346,0.6074581373377612,0.32497446643281624,0.6095560017089268,0.5752317075292901,0.37833350922762177,0.09824893398499725,0.5435232466349775,0.14014075724270694,0.31523151234598934,0.40421123445441015,0.68235936836482,0.14903352910517878,0.6463080841064153,0.1899086408212748
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A2,6699,0.4190203976825295,0.6132732168528972,0.31198882969621533,0.6016693912495099,0.572350292832955,0.38011579795189304,0.10026370012753631,0.5465058911575126,0.1419382846666669,0.3104308962254879,0.39872185139546595,0.6780748464443829,0.15147419263182693,0.6457604104319132,0.18925541277858965
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A2,6699,0.41801154886926417,0.6111152464960586,0.3168222236677861,0.6044254920008638,0.5751666619628747,0.38010965832257354,0.10110105629545107,0.5454732195219395,0.14422125341859793,0.3117556287295817,0.40402858488207244,0.6790873240747028,0.15132543275092863,0.6480051870811194,0.19055510145696897
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,A2,6699,0.42297617256554143,0.6217946169084209,0.2927362354396065,0.5878779922137102,0.5722901214361412,0.3822978828071012,0.10345840294446279,0.5494306542871398,0.14898054421150878,0.3030869813576057,0.4086059938324397,0.6692529911669312,0.1662712393285009,0.6460949286980124,0.18836274955308457
