run_dir,model_seed,split_seed,scope,outer_fold,comparison,reference,candidate,n_samples,delta_mae,delta_rmse,delta_r2,delta_pearson,delta_spearman,candidate_wins_mae
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,complete_oof,,A2_vs_A2+D1,A2,A2+D1,6699,0.004275762203974687,0.00936111013591967,0.020919427281025138,0.010518705931021777,0.014746685209277466,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,complete_oof,,A2_vs_A2+D1,A2,A2+D1,6699,-0.002429329459995244,-0.002972904851606506,-0.006623328176458165,-0.007639869395038246,0.012770039975163572,False
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,complete_oof,,A2_vs_A2+D1,A2,A2+D1,6699,0.003468041554657575,0.008857957659153759,0.019731372184581097,0.00881337769795909,0.011647677362009223,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,complete_oof,,A2_vs_A2+D1,A2,A2+D1,6699,0.002537051191131623,0.005890015579788965,0.013105665995509441,0.004452118311044306,0.01231921140707437,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,complete_oof,,A2_vs_A2+D1,A2,A2+D1,6699,0.009170394229286838,0.01764420836704128,0.0395695094397962,0.02420700134770748,0.019184156821106968,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,outer_fold,0.0,A2_vs_A2+D1,A2,A2+D1,956,0.0049972100743731485,0.014304547903047027,0.060689350937082054,0.0019289590292990155,0.003355109677205259,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,outer_fold,0.0,A2_vs_A2+D1,A2,A2+D1,956,-0.0007666113453863588,0.011285227917632867,0.047770337907206306,-0.0004065061831887151,-0.0016269740151086953,False
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,outer_fold,0.0,A2_vs_A2+D1,A2,A2+D1,956,-0.0029495210100507485,0.003001456448427531,0.012674456070421058,-0.005668200070379603,-0.005072408718986121,False
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,outer_fold,0.0,A2_vs_A2+D1,A2,A2+D1,956,0.0018569451265240122,0.012241840011740446,0.05162850768437721,0.0070136117646733,-2.3622608232465314e-05,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,outer_fold,0.0,A2_vs_A2+D1,A2,A2+D1,956,0.002063748950256017,0.011719947220216298,0.049077887254758146,0.004559653904021688,0.0008214118644677693,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,outer_fold,1.0,A2_vs_A2+D1,A2,A2+D1,916,0.0011256841257581973,0.0011918330975527747,0.0028489922102126197,-0.004789682583508426,-0.015436477870303889,True
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,outer_fold,1.0,A2_vs_A2+D1,A2,A2+D1,916,0.0011971527685481487,-0.0021324151202413155,-0.005136627451014841,-0.009424643992388626,-0.014981619162786064,True
