# regime: cohort=E2 cohort: publication-aware loading series; holdout=tracer point anchors log K, scored on the other points of the same series (oa = 1 primary, other oa secondary); averaging_unit=series; status_of_parameters=n from the in-sample M1 fit or prior n0, log K anchored per series
definition,loading_series_id,system_id,ligand,metal,publication_id,acid_nominal_M,ligand_M,oa,n_points,n_non_tracer,tracer_record_id,tracer_mM,log_d_tracer,mM_min,mM_max,log_d_range,loading_active,n_used,n_source,log_k_anchored,anchor_status,mae_constant,mae_ideal,c1_wins,delta_mae_c0_minus_c1,n_predicted,spearman_logD_vs_logmM,spearman_p,max_loading_fraction_pred,flags,status,phi_loo_n,phi_median,phi_min,phi_max,mae_phi_loo,phi_insample,mae_phi_insample,n_source_file
publication_aware,ls_sys_07ee9637c98c1e20_Ce_pub_917a4583d4_3_0.1,sys_07ee9637c98c1e20,TODGA,Ce,pub_917a4583d4,3.0,0.1,1.0,8,7,Ce_SAFE:3671,0.011,1.0,0.011,52.417,0.6501807773315609,True,1.4080571489953313,m1_in_sample,2.408143259364778,anchored,0.44420479893182213,0.5358371734713429,False,-0.09163237453952072,7,0.2380952380952381,0.5701563208157683,0.5600930831927184,ACID_UPTAKE_UNMODELLED|HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,7,0.9999345541082617,0.9999345541082617,0.9999422339847651,0.535843010206673,0.9999345541082617,0.5358436065983722,results/dmodels/sys_07ee9637c98c1e20.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_5a68dc5665_3_0.1,sys_5cb78e5000d40860,TODGA,Nd,pub_5a68dc5665,3.0,0.1,1.0,6,5,Ca_SAFE:2222,4.9,1.3710678622717365,4.9,12.0,1.5929166118880929,True,2.453221448884056,m1_in_sample,3.954812133954841,anchored,0.8593128190932777,0.7558111812476657,True,0.10350163784561206,5,-0.942857142857143,0.004804664723032055,0.2752786613294527,ACID_UPTAKE_UNMODELLED,scored,5,0.18126207963436966,0.15487155873149655,0.19343658058463578,0.3530551908559346,0.15490690063409393,0.2666929028141131,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.1,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.1,1.0,4,3,Ca_SAFE:2810,4.2,-0.032184683371401,4.2,6.8,0.0125891273080205,False,2.453221448884056,m1_in_sample,2.4752479409980177,anchored,0.009140787671525766,0.029855265264311804,False,-0.020714477592786038,3,1.0,0.0,0.07730414852944682,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.2,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.2,1.0,4,3,Ca_SAFE:2807,9.7,-0.0229839069206894,9.7,13.0,0.007190362990244701,False,2.453221448884056,m1_in_sample,1.7553090784553116,anchored,0.003436419544586733,0.01232588910906296,False,-0.008889469564476227,3,-0.7999999999999999,0.2000000000000001,0.07575384302144038,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.3,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.3,1.0,8,7,Ca_SAFE:2802,20.0,-0.0315170514460648,20.0,30.4,0.034211905167649305,False,2.453221448884056,m1_in_sample,1.338677433051591,anchored,0.018871662359769458,0.039216323303628155,False,-0.020344660943858697,7,0.9285714285714287,0.0008629681828999767,0.11389092794798365,ACID_UPTAKE_UNMODELLED,scored,7,0.999936553560148,0.9999342810647116,0.9999368567883591,0.03921759247595099,0.9999362592688271,0.03921758345358107,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_740f07a521006be1_Nd_pub_5a68dc5665_3_0.1,sys_740f07a521006be1,TDDGA,Nd,pub_5a68dc5665,3.0,0.1,1.0,6,5,Ca_SAFE:2216,20.0,0.9542425094393244,20.0,30.0,0.35218251811136203,True,3.0,prior_n0,4.965969014394001,anchored,0.20078164594866968,0.11408409500435865,True,0.08669755094431103,5,-0.8857142857142858,0.01884548104956266,0.6787007143600111,ACID_UPTAKE_UNMODELLED|HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,5,0.9999345541082617,0.9999345541082617,0.9999345541082617,0.11410281363386321,0.9999345541082617,0.11410281363386321,in-sample fit computed here (no results/dmodels file)
publication_aware,ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_1_0.2,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,1.0,0.2,1.0,18,17,Ca_SAFE:2689,7.34071,0.7134039428374281,7.34071,289.7,2.427598633127965,True,3.0,prior_n0,2.936431737008845,anchored,0.6391954880334695,0.3707997373972077,True,0.2683957506362618,17,-0.9752321981424149,6.588737187082593e-12,0.6975412908917669,HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,17,0.9999345541082617,0.9999345541082617,0.9999345541082617,0.37082503217920487,0.9999345541082617,0.37082503217920487,results/dmodels/sys_81bcc3c06cbf0b4c.json
publication_aware,ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_3_0.2,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,3.0,0.2,1.0,8,7,Ca_SAFE:2682,8.2,1.6020599913279614,8.2,289.3,2.16093717824405,True,3.0,prior_n0,3.865521987885512,anchored,1.2839253776896693,0.11452747535926755,True,1.1693979023304018,7,-1.0,0.0,0.8400795155209364,ACID_UPTAKE_UNMODELLED|HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,7,0.9999345541082617,0.9999345541082617,0.9999345541082617,0.11456261316973813,0.9999345541082617,0.11456261316973813,results/dmodels/sys_81bcc3c06cbf0b4c.json
publication_aware,ls_sys_a7195d8a9d8696e0_Nd_pub_15b174237f_1_0.2,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_15b174237f,1.0,0.2,1.0,3,2,Ca_SAFE:2347,6.93279,1.1723990414341974,6.93279,41.5968,1.0448202086596878,True,3.024366533369695,m1_in_sample,3.4221499503078734,anchored,0.8935472790252235,0.3978273572445945,True,0.49571992178062896,2,-1.0,0.0,0.47059796864249337,PHASE_BEHAVIOUR_UNKNOWN,scored,0,,,,,,,results/dmodels/sys_a7195d8a9d8696e0.json
publication_aware,ls_sys_a7195d8a9d8696e0_Nd_pub_5a68dc5665_3_0.1,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_5a68dc5665,3.0,0.1,1.0,6,5,Ca_SAFE:2204,2.3,0.2730012720637376,2.3,9.7,1.0459513287615727,True,3.024366533369695,m1_in_sample,3.3583477255574414,anchored,0.7848814724231075,0.6772030109539913,True,0.1076784614691162,5,-1.0,0.0,0.16342857815631823,ACID_UPTAKE_UNMODELLED,scored,5,0.04537770776514926,0.04537770776514926,0.04537770776514926,0.014337337375888978,0.04537770776514926,0.014337337375888978,results/dmodels/sys_a7195d8a9d8696e0.json
publication_aware,ls_sys_07ee9637c98c1e20_Ce_pub_917a4583d4_3_0.1,sys_07ee9637c98c1e20,TODGA,Ce,pub_917a4583d4,3.0,0.1,2.0,8,7,Ce_SAFE:3671,0.011,1.0,0.011,52.417,0.6501807773315609,True,1.4080571489953313,m1_in_sample,2.4081022529146687,anchored,0.44420479893182213,0.49060757315424003,False,-0.0464027742224179,7,0.2380952380952381,0.5701563208157683,0.3387152814040243,ACID_UPTAKE_UNMODELLED|PHASE_BEHAVIOUR_UNKNOWN,scored,0,,,,,,,results/dmodels/sys_07ee9637c98c1e20.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_5a68dc5665_3_0.1,sys_5cb78e5000d40860,TODGA,Nd,pub_5a68dc5665,3.0,0.1,2.0,6,5,Ca_SAFE:2222,4.9,1.3710678622717365,4.9,12.0,1.5929166118880929,True,2.453221448884056,m1_in_sample,3.8889119865578583,anchored,0.8593128190932777,0.8065686859470128,True,0.052744133146264915,5,-0.942857142857143,0.004804664723032055,0.1433515137054559,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.1,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.1,2.0,4,3,Ca_SAFE:2810,4.2,-0.032184683371401,4.2,6.8,0.0125891273080205,False,2.453221448884056,m1_in_sample,2.457324972356987,anchored,0.009140787671525766,0.02355820833094993,False,-0.014417420659424165,3,1.0,0.0,0.05324739988658075,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.2,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.2,2.0,4,3,Ca_SAFE:2807,9.7,-0.0229839069206894,9.7,13.0,0.007190362990244701,False,2.453221448884056,m1_in_sample,1.7340774481785362,anchored,0.003436419544586733,0.008008299402487625,False,-0.004571879857900892,3,-0.7999999999999999,0.2000000000000001,0.05161800290580954,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_5cb78e5000d40860_Nd_pub_d3c970567f_3_0.3,sys_5cb78e5000d40860,TODGA,Nd,pub_d3c970567f,3.0,0.3,2.0,8,7,Ca_SAFE:2802,20.0,-0.0315170514460648,20.0,30.4,0.034211905167649305,False,2.453221448884056,m1_in_sample,1.309443507955493,anchored,0.018871662359769458,0.033110094287870956,False,-0.014238431928101498,7,0.9285714285714287,0.0008629681828999767,0.07890731204792778,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_5cb78e5000d40860.json
publication_aware,ls_sys_740f07a521006be1_Nd_pub_5a68dc5665_3_0.1,sys_740f07a521006be1,TDDGA,Nd,pub_5a68dc5665,3.0,0.1,2.0,6,5,Ca_SAFE:2216,20.0,0.9542425094393244,20.0,30.0,0.35218251811136203,True,3.0,prior_n0,4.389886587187122,anchored,0.20078164594866968,0.060754794606158555,True,0.14002685134251114,5,-0.8857142857142858,0.01884548104956266,0.4094840869584936,ACID_UPTAKE_UNMODELLED|PHASE_BEHAVIOUR_UNKNOWN,scored,0,,,,,,,in-sample fit computed here (no results/dmodels file)
publication_aware,ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_1_0.2,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,1.0,0.2,2.0,18,17,Ca_SAFE:2689,7.34071,0.7134039428374281,7.34071,289.7,2.427598633127965,True,3.0,prior_n0,2.8774167403044073,anchored,0.6391954880334695,0.23012772174330637,True,0.4090677662901631,17,-0.9752321981424149,6.588737187082593e-12,0.6675142120973554,HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,0,,,,,,,results/dmodels/sys_81bcc3c06cbf0b4c.json
publication_aware,ls_sys_81bcc3c06cbf0b4c_Nd_pub_0e7f3e0563_3_0.2,sys_81bcc3c06cbf0b4c,D3DODGA,Nd,pub_0e7f3e0563,3.0,0.2,2.0,8,7,Ca_SAFE:2682,8.2,1.6020599913279614,8.2,289.3,2.16093717824405,True,3.0,prior_n0,3.7806135491838972,anchored,1.2839253776896693,0.24918738519551448,True,1.0347379924941549,7,-1.0,0.0,0.815878374165256,ACID_UPTAKE_UNMODELLED|HIGH_LOADING|PHASE_BEHAVIOUR_UNKNOWN,scored,0,,,,,,,results/dmodels/sys_81bcc3c06cbf0b4c.json
publication_aware,ls_sys_a7195d8a9d8696e0_Nd_pub_15b174237f_1_0.2,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_15b174237f,1.0,0.2,2.0,3,2,Ca_SAFE:2347,6.93279,1.1723990414341974,6.93279,41.5968,1.0448202086596878,True,3.024366533369695,m1_in_sample,3.354699181167521,anchored,0.8935472790252235,0.6292801480134527,True,0.2642671310117708,2,-1.0,0.0,0.2908826660881651,,scored,0,,,,,,,results/dmodels/sys_a7195d8a9d8696e0.json
publication_aware,ls_sys_a7195d8a9d8696e0_Nd_pub_5a68dc5665_3_0.1,sys_a7195d8a9d8696e0,TEHDGA,Nd,pub_5a68dc5665,3.0,0.1,2.0,6,5,Ca_SAFE:2204,2.3,0.2730012720637376,2.3,9.7,1.0459513287615727,True,3.024366533369695,m1_in_sample,3.333937426593868,anchored,0.7848814724231075,0.7149633548674735,True,0.06991811755563393,5,-1.0,0.0,0.10886546753042942,ACID_UPTAKE_UNMODELLED,scored,0,,,,,,,results/dmodels/sys_a7195d8a9d8696e0.json
