design,budget,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,p_bh_within_lead_family
BP,6,AOPT_vs_RANDOM_k6_mae_all,mae_all,RANDOM,AOPT,0.06891385095919703,-0.004301703080842581,0.1270604698822147,0.010140064151080926,0.14982263239747223,0.0806,0.03626942673567161,0.10155439485988049,0.046035748484850036,90,66,4,5,0.024085724257668164,0.08206070429489239,True,0.02,False,False,exploratory,budget6_mae_all,L4,0.1612
BP,6,AOPT_vs_MAXMIN_k6_mae_all,mae_all,MAXMIN,AOPT,0.04636260261954638,-0.0466516199120319,0.12010819793676676,-0.028256915656597457,0.14837888162638882,0.497,0.04595279114484482,0.1286678152055655,0.015668041733020006,90,54,4,5,-0.010464326483153161,0.060295142661672886,False,0.02,False,False,exploratory,budget6_mae_all,L4,0.5734615384615385
BP,6,UNCERT_vs_RANDOM_k6_mae_all,mae_all,RANDOM,UNCERT,-0.02425664748035539,-0.06806319910094252,0.036435417891154974,-0.07990476690418484,0.02469737379098359,0.5108,0.027980094725471655,0.07834426523132063,0.0043637634339944486,90,40,2,5,-0.034063657305534636,0.006006880910160943,False,0.02,False,False,exploratory,budget6_mae_all,L4,0.5782641509433963
BP,6,UNCERT_vs_MAXMIN_k6_mae_all,mae_all,MAXMIN,UNCERT,-0.04680789582000604,-0.08530781784210592,0.005929637986699094,-0.08974495507117931,0.0009292440954795048,0.0854,0.023538621327878085,0.06590813971805863,-0.02600394331783556,90,34,2,5,-0.055829218938754165,-0.028543169830660384,True,0.02,False,False,exploratory,budget6_mae_all,L4,0.1652903225806452
BP,6,MAXMIN_vs_RANDOM_k6_mae_all,mae_all,RANDOM,MAXMIN,0.022551248339650647,0.00123350262536817,0.05502088028078857,-0.0018305594221795043,0.04977373521606712,0.0332,0.013940750204798026,0.03903410057343447,0.030367706751830013,90,45,3,5,0.01657966600900288,0.03455005074082133,True,0.02,False,False,exploratory,budget6_mae_all,L4,0.07114285714285715
BP,6,AOPT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.22000106177503104,0.07323288052973959,0.3276583564012747,0.10129555091703867,0.3621453693006708,0.0002,0.06915200399466302,0.19362561118505645,0.17065696172739736,86,69,4,5,0.13669027509542106,0.24759067825537207,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,0.0013333333333333333
BP,6,AOPT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.4893772592398197,0.34423412198233166,0.5870982972656104,0.35386580825147435,0.5945132344646844,0.0,0.06317823559723856,0.17689905967226796,0.45973366458288206,86,76,5,5,0.4454417124324673,0.5227931967302173,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,0.0
BP,6,UNCERT_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.1611647406940352,0.10208029251045436,0.2316937693631635,0.10109674459878668,0.23049744943039913,0.0,0.03278402858693248,0.09179528004341095,0.17495358997442856,86,72,4,5,0.14517591499839494,0.17572462847064607,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,0.0
BP,6,UNCERT_vs_MAXMIN_k6_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.4305409381588236,0.3374669331689235,0.564287981977419,0.3257294370707857,0.5458830388235818,0.0,0.05924311303835146,0.1658807165073841,0.4640302928299133,86,79,5,5,0.39658150852073554,0.4844760658076923,True,0.02,True,True,exploratory,budget6_sign_acc_strong,L4,0.0
BP,6,MAXMIN_vs_RANDOM_k6_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.2693761974647885,-0.36324180145658286,-0.20712953645056156,-0.34944998972974006,-0.19689457024801452,0.0,0.040980918756485456,0.11474657251815927,-0.2890767028554848,86,5,0,5,-0.3087514373370463,-0.2514055935223406,True,0.02,False,False,exploratory,budget6_sign_acc_strong,L4,0.0
BP,9,AOPT_vs_RANDOM_k9_mae_all,mae_all,RANDOM,AOPT,0.08538991606841868,0.021055243108620957,0.1342278308421746,0.03540400373676506,0.1560773042645065,0.0022,0.031256691107191495,0.08751873510013618,0.05133464549254354,90,63,5,5,0.04648311619241983,0.09090100830254143,True,0.02,True,True,exploratory,budget9_mae_all,L4,0.007764705882352942
BP,9,AOPT_vs_MAXMIN_k9_mae_all,mae_all,MAXMIN,AOPT,0.10927879479038673,0.008017478661264983,0.1934075351863918,0.026517611055004556,0.2269536453570537,0.0222,0.05226057471507124,0.14632960920219948,0.07003497751387464,90,60,5,5,0.042151768111782235,0.1204525594468122,True,0.02,True,True,exploratory,budget9_mae_all,L4,0.05123076923076923
BP,9,UNCERT_vs_RANDOM_k9_mae_all,mae_all,RANDOM,UNCERT,-0.02800540040624131,-0.09032498842004305,0.05701966799863585,-0.10859662879155743,0.0402379608716135,0.6194,0.039678939813398206,0.11110103147751497,0.004022048880594267,90,40,2,5,-0.0473048096988533,0.017381047234685747,False,0.02,False,False,exploratory,budget9_mae_all,L4,0.6636428571428571
BP,9,UNCERT_vs_MAXMIN_k9_mae_all,mae_all,MAXMIN,UNCERT,-0.004116521684273243,-0.04585634403482589,0.05178706699704333,-0.0496274239838317,0.047833517981666636,0.8862,0.02524799017015055,0.07069437247642153,0.022722380901925358,90,36,2,5,-0.01654785260799495,0.013049699154048154,False,0.02,False,False,exploratory,budget9_mae_all,L4,0.8862
BP,9,MAXMIN_vs_RANDOM_k9_mae_all,mae_all,RANDOM,MAXMIN,-0.023888878721968067,-0.06480708791725229,0.03274807862980057,-0.07524063224927777,0.021856392479292767,0.4756,0.02608071563847597,0.07302600378773272,-0.018700332021331086,90,35,2,5,-0.03311187473940078,0.004331348080637586,False,0.02,False,False,exploratory,budget9_mae_all,L4,0.5595294117647059
BP,9,AOPT_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.14226895706611425,0.0465168458352266,0.20727781397414724,0.06723333978973817,0.2248921516895641,0.0004,0.04232447341721657,0.11850852556820639,0.10978826267841109,86,64,5,5,0.09813278126504646,0.1517277417581646,True,0.02,True,True,exploratory,budget9_sign_acc_strong,L4,0.002181818181818182
BP,9,AOPT_vs_MAXMIN_k9_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.2086976747750625,0.0633309505612942,0.31469760329403035,0.09407498651061433,0.3522913423334989,0.0008,0.06889862512858533,0.1929161503600389,0.15191197444826748,86,64,4,5,0.12379380634350134,0.22395080728345704,True,0.02,True,True,exploratory,budget9_sign_acc_strong,L4,0.003428571428571429
BP,9,UNCERT_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.031318755294614316,-0.0779021870861231,0.17422450990767455,-0.11674399969623003,0.1452706676278894,0.5778,0.06886721525772013,0.19282820272161635,0.0931736137985418,86,46,3,5,0.0064239546235117795,0.11540629156918397,True,0.02,False,False,exploratory,budget9_sign_acc_strong,L4,0.6418909090909092
BP,9,UNCERT_vs_MAXMIN_k9_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.09774747300356255,0.018886393580685508,0.2059543594824798,0.005846586113482588,0.19041582363628226,0.0112,0.048634460133194175,0.1361764883729437,0.13529732556839824,86,44,3,5,0.07823172653899954,0.14106731664763886,True,0.02,True,False,exploratory,budget9_sign_acc_strong,L4,0.033600000000000005
BP,9,MAXMIN_vs_RANDOM_k9_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.06642871770894825,-0.12367654092394192,0.01683281702722634,-0.14067987598807957,-0.0007378213087712937,0.1372,0.037151673157167345,0.10402468484006856,-0.042123711769856444,86,28,2,5,-0.07826916481607259,-0.025661025078454882,True,0.02,False,False,exploratory,budget9_sign_acc_strong,L4,0.25725
BP,12,AOPT_vs_RANDOM_k12_mae_all,mae_all,RANDOM,AOPT,0.075669353957571,0.02808914966706639,0.10857246250016986,0.03943056873898945,0.11856413102286402,0.0002,0.021458248621919886,0.06008309614137568,0.048732073442899156,90,72,5,5,0.05144733756482992,0.08000879774495039,True,0.02,True,True,exploratory,budget12_mae_all,L4,0.0012000000000000001
BP,12,AOPT_vs_MAXMIN_k12_mae_all,mae_all,MAXMIN,AOPT,0.115228305430359,0.03566614971581697,0.18204617646696342,0.04867959085247306,0.20916685329830106,0.0,0.04130525060370413,0.11565470169037155,0.07806632093493872,90,72,5,5,0.06254248027412254,0.12586402237439853,True,0.02,True,True,exploratory,budget12_mae_all,L4,0.0
BP,12,UNCERT_vs_RANDOM_k12_mae_all,mae_all,RANDOM,UNCERT,-0.021255692350284513,-0.06168222911984316,0.035500560184172,-0.06672213478794664,0.02830050089626052,0.4662,0.02516181183965439,0.07045307315103229,-0.005817618028283992,90,36,3,5,-0.03445680486076555,0.00032630139106808154,False,0.02,False,False,exploratory,budget12_mae_all,L4,0.55944
BP,12,UNCERT_vs_MAXMIN_k12_mae_all,mae_all,MAXMIN,UNCERT,0.018303259122503506,-0.024774850411597035,0.050201025017409084,-0.027782086690649486,0.04843489592042082,0.3414,0.018929219813561018,0.053001815477970844,0.023516629463755538,90,54,2,5,0.011421444100360693,0.02820671822311779,True,0.02,False,False,exploratory,budget12_mae_all,L4,0.4996097560975609
BP,12,MAXMIN_vs_RANDOM_k12_mae_all,mae_all,RANDOM,MAXMIN,-0.03955895147278802,-0.07970799380728114,0.014472659106057032,-0.09140996325371915,0.0034315037374934316,0.1932,0.0251321618744791,0.07037005324854148,-0.029334247492039535,90,31,2,5,-0.0497038960466439,-0.01109514270929261,True,0.02,False,False,exploratory,budget12_mae_all,L4,0.31329729729729733
BP,12,AOPT_vs_RANDOM_k12_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.12478764661143417,0.054626462593703594,0.17075845201949294,0.0658815718181031,0.17801624992950163,0.0006,0.029702869252728355,0.0831680339076394,0.09512765400626927,86,66,5,5,0.10339949875826816,0.13390895272197662,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,0.002769230769230769
BP,12,AOPT_vs_MAXMIN_k12_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.17366456558318363,0.0406018224632051,0.27289425107676385,0.06547957105809711,0.305451179347297,0.0006,0.06393718171718818,0.17902410880812689,0.1191794200895113,86,55,5,5,0.09623418327915827,0.19119868545048954,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,0.002769230769230769
