design,order,budget,k_actual,macro_mae_extractant,draw_sd,macro_mae_far,macro_sign_acc,macro_pair_spearman,n_draws,n_folds_used,n_folds_skipped,n_flat_fallbacks,n_units,n_seeds,arm
BP,AOPT,6,6.0,0.5697893667771213,,0.76145725571518,0.7071612105978108,0.34017902363280494,1,25,0,0,90,5,AOPT@k6
BP,MAXMIN,6,6.0,0.6161519693966677,0.005504061958343084,0.8498466937198734,0.21778395135799117,0.13428229514144185,2,25,0,32,90,5,MAXMIN@k6
BP,RANDOM,6,6.0,0.6387032177363183,0.0006003879818317687,0.8783063203025208,0.4871601488227797,0.15502529807276436,2,25,0,7,90,5,RANDOM@k6
BP,UNCERT,6,6.0,0.6629598652166738,,0.9238463734187328,0.6483248895168149,0.16536389170780622,1,25,0,0,90,5,UNCERT@k6
BP,AOPT,9,9.0,0.5229821977582275,,0.693134934210307,0.7672861410047744,0.442869702751204,1,25,0,0,90,5,AOPT@k9
BP,MAXMIN,9,9.0,0.6322609925486142,0.02289381743916413,0.8715153452003224,0.5585884662297119,0.15122442298448002,2,25,0,3,90,5,MAXMIN@k9
BP,RANDOM,9,9.0,0.6083721138266462,0.022295684503167906,0.8271733645165606,0.6250171839386602,0.2377691433214169,2,25,0,1,90,5,RANDOM@k9
BP,UNCERT,9,9.0,0.6363775142328875,,0.8826708236068186,0.6563359392332744,0.18497517931028823,1,25,0,0,90,5,UNCERT@k9
BP,AOPT,12,12.0,0.5089522778258624,,0.6734219023603877,0.7933251723771103,0.46454578156417503,1,25,0,0,90,5,AOPT@k12
BP,MAXMIN,12,12.0,0.6241805832562215,0.023005753868290287,0.8593481381398844,0.6196606067939265,0.21145004887841612,2,25,0,0,90,5,MAXMIN@k12
BP,RANDOM,12,12.0,0.5846216317834334,0.00896275289635641,0.7911301824368594,0.668537525765676,0.30491175506379686,2,25,0,0,90,5,RANDOM@k12
BP,UNCERT,12,12.0,0.6058773241337179,,0.8341544020981708,0.7042619701072945,0.2913623034694767,1,25,0,0,90,5,UNCERT@k12
BP,AOPT,16,16.0,0.49231860818305995,,0.6460962638524468,0.823862776291205,0.5134561739662742,1,25,0,0,90,5,AOPT@k16
BP,MAXMIN,16,16.0,0.5941630113356552,0.022400830473622395,0.810404659976052,0.6596158625628237,0.27243158231090264,2,25,0,0,90,5,MAXMIN@k16
BP,RANDOM,16,16.0,0.5652870398946669,0.0072341358782625825,0.7622375013117348,0.703393104401017,0.3504103887814815,2,25,0,0,90,5,RANDOM@k16
BP,UNCERT,16,16.0,0.5236403722049726,,0.7016525911040172,0.810263682688149,0.4711193118801303,1,25,0,0,90,5,UNCERT@k16
BP,AOPT,20,20.0,0.5033477155391515,,0.6646891912455091,0.8054208880041056,0.4893170461024837,1,25,0,0,90,5,AOPT@k20
BP,MAXMIN,20,20.0,0.5234773783002185,0.0009006961977087471,0.6940969768918694,0.7801803068679244,0.46570148040694503,2,25,0,0,90,5,MAXMIN@k20
BP,RANDOM,20,20.0,0.5333761707577727,0.015751966948128183,0.710984807097174,0.7615314960404873,0.43261915831844455,2,25,0,0,90,5,RANDOM@k20
BP,UNCERT,20,20.0,0.5199602145674336,,0.694321979594432,0.8043411870510392,0.47130173227940936,1,25,0,0,90,5,UNCERT@k20
BP,AOPT,24,24.0,0.5025663224782961,,0.6653447516914828,0.8102913364151487,0.49556374464577235,1,25,0,0,90,5,AOPT@k24
BP,MAXMIN,24,24.0,0.5120447257801426,0.001885578223082536,0.6748776067653437,0.8003158904182435,0.486288268835826,2,25,0,0,90,5,MAXMIN@k24
BP,RANDOM,24,24.0,0.520053296416205,0.012088875142824874,0.6897911490492088,0.7783620185753786,0.4554209622869008,2,25,0,0,90,5,RANDOM@k24
BP,UNCERT,24,24.0,0.5168960549531443,,0.6855022114466571,0.7957042911123786,0.47168147389042403,1,25,0,0,90,5,UNCERT@k24
BP,FLAT,full,29.36,0.5885062528901843,,0.8071706996999868,0.0,,1,25,0,0,90,5,FLAT@kfull
BP,FULL,full,29.36,0.5000794414203691,,0.6587344933567273,0.8122458223013377,0.5037694544333655,1,25,0,0,90,5,FULL@kfull
