design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,p_bh_within_lead_family
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.058409496975553934,0.023916375315451818,0.08590088091595802,0.030855950811815802,0.0978657588466453,0.0,0.017230304672293948,0.04824485308242305,0.04132201281865986,90,72,5,5,0.03672824154117189,0.061105128567077206,True,0.02,True,True,registered,ABC_mae_all,L4,0.0
BP,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.06705369534263349,0.014633609759341826,0.11133896140556053,0.023630809835458188,0.1296746955718064,0.0002,0.027401020718675236,0.07672285801229066,0.04450925294600002,90,70,5,5,0.031761820316651715,0.0734216461658676,True,0.02,True,True,registered,ABC_mae_all,L4,0.0004
BP,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.002549645815631249,-0.027868435930964195,0.03178495293916453,-0.028403822969498373,0.030966110972959864,0.8726,0.015151666355202284,0.04242466579456639,0.006244488438863934,90,42,3,5,-0.011258788063153986,0.006552623598517863,False,0.02,False,False,registered,ABC_mae_all,L4,0.8726
BP,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,0.006094552551448307,-0.02499644435098154,0.028857074879330175,-0.027810048968387586,0.02769858526844198,0.6334,0.01364391868576814,0.03820297232015079,0.009431728566204087,90,53,3,5,0.0015862023739976912,0.013199923428067452,True,0.02,False,False,registered,ABC_mae_all,L4,0.8445333333333332
BP,MAXMIN_vs_RANDOM,mae_all,RANDOM,MAXMIN,-0.008644198367079556,-0.02912482954742353,0.020457512721375887,-0.034016984185208744,0.01498004252840064,0.6074,0.013060547556328366,0.03656953315771942,-0.003187240127340152,90,36,2,5,-0.013359670196319003,0.00496642122452017,False,0.02,False,False,exploratory,ABC_mae_all,L4,0.7202133333333334
BP,AOPT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.1138910078576926,0.05099291297934867,0.15785461464290124,0.06551983941053532,0.1711979690583159,0.0,0.028503511445065972,0.07980983204618472,0.08946566196262681,86,71,5,5,0.08073319831786589,0.12078353752323856,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,0.0
BP,AOPT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.17853374007658881,0.0930528852638189,0.23941577906101869,0.11104485591493835,0.25619306196050967,0.0,0.03936043750894077,0.11020922502503415,0.1484840288435541,86,73,5,5,0.13314127998320827,0.1901799579108296,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,0.0
BP,UNCERT_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.06587174702749202,0.02322493988319193,0.12178844344198787,0.018550036595519202,0.11639605534980532,0.0022,0.025437966052400996,0.07122630494672279,0.08278032198999236,86,67,3,5,0.055658408200979406,0.08364956895941734,True,0.02,True,False,exploratory,ABC_sign_acc_strong,L4,0.0044
BP,UNCERT_vs_MAXMIN_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.13051447924638823,0.08170016060367229,0.18398045046446662,0.0838234700310657,0.18627553609271416,0.0002,0.025311233690352476,0.07087145433298693,0.14179868887091965,86,74,5,5,0.11532031863517311,0.14234420339068382,True,0.02,True,True,exploratory,ABC_sign_acc_strong,L4,0.0008
BP,MAXMIN_vs_RANDOM_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.06464273221889623,-0.09232283570618967,-0.024291576155795667,-0.09474594742125816,-0.027239975358940686,0.0018,0.017666040039837135,0.049464912111543975,-0.059018366880927306,86,20,2,5,-0.07171808398391481,-0.05240808166534235,True,0.02,False,False,exploratory,ABC_sign_acc_strong,L4,0.004114285714285714
BP,AOPT_vs_RANDOM_mae_far,mae_far,RANDOM,AOPT,0.09257983760645751,0.035426414202085,0.13784575833645457,0.046706493803716775,0.15633984200874282,0.0,0.028562619159063267,0.07997533364537714,0.0636402792653046,88,71,5,5,0.05632707385279604,0.0972557432558818,True,0.02,True,True,exploratory,ABC_mae_far,L4,0.0
BP,AOPT_vs_MAXMIN_mae_far,mae_far,MAXMIN,AOPT,0.10932418693633869,0.02440707897877673,0.17997641100847045,0.03877478626223856,0.20933729718274224,0.0002,0.044215612433518396,0.1238037148138515,0.07252724953596833,88,69,5,5,0.05193211504594457,0.11874153700214878,True,0.02,True,True,exploratory,ABC_mae_far,L4,0.00064
