ablation,estimator_kind,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A0,forest,0,0,3,104729,0.35,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.00939191167800379,0.02349742309387385,True
A0,forest,0,1,3,104729,0.7,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.12478314800721191,0.11743961269603438,False
A0,forest,0,2,3,104729,1.0,4,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.027822661330553895,0.02110768768402774,False
A1,forest,0,0,3,104729,0.35,2,0.37735345921029734,5743,0.4918868044834893,0.7362303467059106,0.04456602660593245,0.47351926007063466,0.45784128886272524,True
A1,forest,0,1,3,104729,0.7,2,0.39721385906486845,5743,0.5322136694016804,0.8154495802338433,-0.17210758813583826,0.37964692755154666,0.32918325547281,False
A1,forest,0,2,3,104729,1.0,4,0.4061530625057474,5743,0.5713448397249395,0.8920404976075783,-0.40262764104143267,0.2926161834426294,0.2667799263297068,False
A2,forest,0,0,3,104729,0.35,2,0.345496131458052,5743,0.3666607461449685,0.5355908228016043,0.49436223347616814,0.7076570929952177,0.7189003861429561,True
A2,forest,0,1,3,104729,0.7,2,0.34968737580478126,5743,0.38478616409855554,0.5617944070470657,0.4436756450264332,0.6742133917792837,0.7052463266517581,False
A2,forest,0,2,3,104729,1.0,4,0.36618190028376346,5743,0.40193674660099415,0.5854312777416584,0.39587738454859434,0.6441907212694683,0.6910006979670289,False
A3,forest,0,0,3,104729,0.35,2,0.3617709057682961,5743,0.4958433175190027,0.7489145994475105,0.011360759410392385,0.4518155321949293,0.38814047032056176,True
A3,forest,0,1,3,104729,0.7,2,0.36406562176706136,5743,0.5022145350856815,0.7677684956704245,-0.03904372874811668,0.42818459840450634,0.3677682273290536,False
A3,forest,0,2,3,104729,1.0,4,0.37238157793452653,5743,0.5430843230824293,0.8531017051790386,-0.2828470226836519,0.3242206738043214,0.303352105069079,False
A4,forest,0,0,3,104729,0.35,2,0.3426746463851568,5743,0.3612769711271373,0.5285590006399182,0.5075522064758226,0.7151938144145954,0.729208250930538,True
A4,forest,0,1,3,104729,0.7,2,0.35038871021346046,5743,0.3847988814537622,0.5638176886733985,0.43966126632735936,0.6713238138215954,0.7158168834414337,False
A4,forest,0,2,3,104729,1.0,4,0.3646114195238153,5743,0.40425928552336154,0.5904133929609944,0.38555126918339566,0.6371943729680123,0.7003232375366188,False
