comparison,reference,candidate,stratum,n_extractants,n_pairs,macro_delta_mae,median_delta_mae,extractants_improved,fraction_improved,ci95_low,ci95_high
A2_vs_A0,A2,A0,all,34,6699,-0.3198775717081542,-0.25417306903627584,7,0.20588235294117646,-0.4888809901009599,-0.1607510210463354
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.9,28,3274,-0.30767704492995096,-0.26354011030607893,6,0.21428571428571427,-0.4704948655085042,-0.15212958480387517
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.9,6,3425,-0.3768133633397692,-0.23443935633748783,1,0.16666666666666666,-0.8364466690028675,0.04387567536416516
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.8,20,2075,-0.24649569952341652,-0.22030225022466363,4,0.2,-0.4277812065690383,-0.07214070767414169
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.8,14,4624,-0.42470881768635066,-0.2839633190296884,3,0.21428571428571427,-0.6945878577285941,-0.1585242447563287
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.7,15,1637,-0.17526017932658283,-0.10058843806205864,4,0.26666666666666666,-0.39643951638701264,0.0433796646332472
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.7,19,5062,-0.43404919727255253,-0.30939864682414825,3,0.15789473684210525,-0.6301338405382493,-0.20262258733719785
A2_vs_A1,A2,A1,all,34,6699,-0.03059060238400199,-0.01089751770431524,13,0.38235294117647056,-0.06516527316681665,0.004525708478761487
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.9,28,3274,-0.02441750318150263,-0.008742876246991008,11,0.39285714285714285,-0.06282195308209013,0.007941522038179149
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.9,6,3425,-0.059398398662332326,-0.06275605917943942,2,0.3333333333333333,-0.13954414826039094,0.026751429801039558
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.8,20,2075,-0.016836840095376615,-0.0025800596954950877,9,0.45,-0.060890013174721,0.03201973837678137
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.8,14,4624,-0.05023883422489539,-0.03461489117688682,4,0.2857142857142857,-0.09844454390284024,-0.005112293758698351
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.7,15,1637,-0.01768923465959856,-0.017572256834078953,6,0.4,-0.07932007288943846,0.0416878569009926
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.7,19,5062,-0.04077589269274155,-0.007174356857029551,7,0.3684210526315789,-0.07793357212367333,-0.0024987125340118375
A2_vs_A3,A2,A3,all,34,6699,-0.045754238337243396,-0.024511292637948393,9,0.2647058823529412,-0.077877153368559,-0.016125304272967995
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.9,28,3274,-0.04047815121673979,-0.024511292637948393,8,0.2857142857142857,-0.07109099056605836,-0.01129748628921009
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.9,6,3425,-0.07037597823292685,-0.07178322640459714,1,0.16666666666666666,-0.15059151591881553,0.017176491193643704
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.8,20,2075,-0.03558907078966783,-0.02225247095691464,7,0.35,-0.07589477741545816,0.002732725343210476
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.8,14,4624,-0.06027590626235134,-0.03214629974165636,2,0.14285714285714285,-0.10722725923719541,-0.01180616552119702
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.7,15,1637,-0.03560141036270186,-0.021237684940080603,5,0.3333333333333333,-0.08741320566253896,0.013688533075362198
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.7,19,5062,-0.05376962884346039,-0.03749394778516926,4,0.21052631578947367,-0.09020179972325686,-0.01688423609218063
A2_vs_A4,A2,A4,all,34,6699,-0.008784494029133377,-0.005472613071473786,14,0.4117647058823529,-0.02048124594767047,0.0027100940464360418
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.9,28,3274,-0.007379842585208458,-0.0032803715258085953,13,0.4642857142857143,-0.021645802505620072,0.006412208809899834
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.9,6,3425,-0.015339534100782986,-0.015846871157988565,1,0.16666666666666666,-0.028933964585399503,-0.0015712477546062087
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.8,20,2075,-0.0031164336646739925,0.0052900579339100195,12,0.6,-0.020954828656764717,0.013768905998016763
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.8,14,4624,-0.016881723121218207,-0.016051785226660155,2,0.14285714285714285,-0.0280884341259962,-0.006601986559163287
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.7,15,1637,-0.00507688896503787,0.007260036905571532,9,0.6,-0.028188034506970196,0.017446956853030396
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.7,19,5062,-0.011711550658682459,-0.010130654891900709,5,0.2631578947368421,-0.020741883884425043,-0.0026483166157133912
A2_vs_A5,A2,A5,all,34,6699,-0.01893046420302937,-0.012121418122480639,13,0.38235294117647056,-0.031424796789729856,-0.009222255426569372
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.9,28,3274,-0.019099171597880733,-0.00941753118634911,11,0.39285714285714285,-0.03189306201032832,-0.006950012425844657
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.9,6,3425,-0.018143163027056337,-0.024201209619234866,2,0.3333333333333333,-0.03836707476525884,0.002560916341131992
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.8,20,2075,-0.01682882461032539,-0.005108395192294973,9,0.45,-0.035549435967155776,-0.0014313966874366043
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.8,14,4624,-0.021932806478320754,-0.03352515116969779,4,0.2857142857142857,-0.03381489530614524,-0.008666668855175183
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.7,15,1637,-0.016413691259696845,0.000932124338878848,8,0.5333333333333333,-0.0390185378677545,0.0038241577111251643
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.7,19,5062,-0.02091739021092346,-0.032233780618374855,5,0.2631578947368421,-0.031605917478120006,-0.010302430328442906
A2_vs_A6,A2,A6,all,34,6699,-0.017253411267618843,-0.012173397043111434,13,0.38235294117647056,-0.031203679107300302,-0.004190410914535137
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.9,28,3274,-0.017896222343664805,-0.0071567966412858786,11,0.39285714285714285,-0.03569158564004299,-0.004379635940835022
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.9,6,3425,-0.01425362624607103,-0.016477360767203103,2,0.3333333333333333,-0.04145934682234911,0.012470856381778146
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.8,20,2075,-0.01373036105637089,0.0006186803109116401,10,0.5,-0.03598010732196423,0.004828539718973694
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.8,14,4624,-0.022286340140830207,-0.023846152881323544,3,0.21428571428571427,-0.036781190637614064,-0.00794949505239807
A2_vs_A6,A2,A6,max_train_tanimoto_lt_0.7,15,1637,-0.013795242571936147,0.0020867976757777407,8,0.5333333333333333,-0.04157989636749135,0.009904388776943945
A2_vs_A6,A2,A6,max_train_tanimoto_ge_0.7,19,5062,-0.019983544448420973,-0.0218726563995415,5,0.2631578947368421,-0.03133915321577137,-0.007252282438786057
A2_vs_A2+D1,A2,A2+D1,all,34,6699,-0.008641891515484383,-0.005344715371314708,16,0.47058823529411764,-0.01599800383373491,-0.0015952295489320989
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.9,28,3274,-0.008091696452217126,-0.0008792348765543911,14,0.5,-0.01670733950173343,-0.0008018469405440947
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.9,6,3425,-0.011209468477398251,-0.01686649186062801,2,0.3333333333333333,-0.024405757210283274,0.003773088692554133
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.8,20,2075,-0.007392250298121669,0.005034297742596283,11,0.55,-0.019310523116986156,0.0038641137790952555
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.8,14,4624,-0.010427093254573975,-0.013802733538068608,5,0.35714285714285715,-0.01804547472525624,-0.0030333328140984763
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_lt_0.7,15,1637,-0.008227703048476904,0.006263850711992924,9,0.6,-0.02240105725940448,0.005862454497266664
A2_vs_A2+D1,A2,A2+D1,max_train_tanimoto_ge_0.7,19,5062,-0.008968882410490287,-0.01125069172660531,7,0.3684210526315789,-0.015439434930463826,-0.0027783492987149988
A2_vs_A2+D2,A2,A2+D2,all,34,6699,-0.006180455344225414,-0.006599212870751672,12,0.35294117647058826,-0.01019229686933571,-0.00243665850170971
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.9,28,3274,-0.005678809125713676,-0.0038920743768893346,10,0.35714285714285715,-0.010419482539507825,-0.0013399714310917544
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.9,6,3425,-0.008521471030613523,-0.010214594696453028,2,0.3333333333333333,-0.014434037981214462,-0.001811333071991254
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.8,20,2075,-0.00586671065535326,-0.0038920743768893346,8,0.4,-0.011554363323605406,-0.000262011348073603
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.8,14,4624,-0.006628662042614206,-0.009035713647622623,4,0.2857142857142857,-0.011551186578209829,-0.0014824614639527423
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_lt_0.7,15,1637,-0.004121569161629468,-0.002158723472647589,7,0.4666666666666667,-0.010492474311992109,0.0027569525840025933
A2_vs_A2+D2,A2,A2+D2,max_train_tanimoto_ge_0.7,19,5062,-0.007805891804169582,-0.010161300481278501,5,0.2631578947368421,-0.012179387079935988,-0.0031978944622169103
A2_vs_A2+D3,A2,A2+D3,all,34,6699,-0.002530556328103578,0.00042954560128954933,17,0.5,-0.009651493322181218,0.003649946587437565
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.9,28,3274,-0.003137259134481495,0.0007428004579202729,14,0.5,-0.0118598200197306,0.004659510435466415
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.9,6,3425,0.00030072343499336585,0.00042954560128954933,3,0.5,-0.0034701328467624084,0.003764555809279742
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.8,20,2075,-0.0038193778049507923,-0.0024953897146178516,9,0.45,-0.013275316346247156,0.005404324882412037
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.8,14,4624,-0.0006893827897504132,0.0023060854118994722,8,0.5714285714285714,-0.010133466362148567,0.006374667119270956
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_lt_0.7,15,1637,-0.002917812010530028,0.0030213183812158317,8,0.5333333333333333,-0.015051481550375409,0.009382731832464589
A2_vs_A2+D3,A2,A2+D3,max_train_tanimoto_ge_0.7,19,5062,-0.0022248281577669058,-0.0005389826306504419,9,0.47368421052631576,-0.009811456454252809,0.004597547157676348
A2_vs_A2+D4,A2,A2+D4,all,34,6699,-0.005978758986406266,-0.003138060601487608,13,0.38235294117647056,-0.010820623426126323,-0.0012333063624447368
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.9,28,3274,-0.00564793471276556,-0.0024594196117989076,11,0.39285714285714285,-0.011963880084680658,0.0003101962627380838
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_ge_0.9,6,3425,-0.007522605596729561,-0.0063381927245451525,2,0.3333333333333333,-0.013661110193886142,-0.0017219474236124567
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.8,20,2075,-0.0056973087338060505,-0.0024594196117989076,9,0.45,-0.013725266812959786,0.001001810236420687
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_ge_0.8,14,4624,-0.006380830775835145,-0.0063381927245451525,4,0.2857142857142857,-0.011045609247508553,-0.001926239619469342
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_lt_0.7,15,1637,-0.006975222100342848,-0.0020081979368020697,7,0.4666666666666667,-0.01674473227756797,0.0020205791068419613
A2_vs_A2+D4,A2,A2+D4,max_train_tanimoto_ge_0.7,19,5062,-0.005192077580666858,-0.005707449549072208,6,0.3157894736842105,-0.009408502773522759,-0.0008291948128875448
A2_vs_A2+D5,A2,A2+D5,all,34,6699,-0.0042008255620795115,-0.003225849073548455,14,0.4117647058823529,-0.009820816687326851,0.001148903612934281
A2_vs_A2+D5,A2,A2+D5,max_train_tanimoto_lt_0.9,28,3274,-0.0038103484777986573,-0.0019111620499922544,13,0.4642857142857143,-0.01007612361618778,0.0018642240017824835
A2_vs_A2+D5,A2,A2+D5,max_train_tanimoto_ge_0.9,6,3425,-0.006023051955390164,-0.004557307983540815,1,0.16666666666666666,-0.011052390219819894,-0.0015071432951258604
A2_vs_A2+D5,A2,A2+D5,max_train_tanimoto_lt_0.8,20,2075,-0.005884148992335041,-0.0034088977524759645,8,0.4,-0.014534171425254778,0.0025225194375159197
A2_vs_A2+D5,A2,A2+D5,max_train_tanimoto_ge_0.8,14,4624,-0.0017960778045716128,-0.003225849073548455,6,0.42857142857142855,-0.005623546449312362,0.0023046006390771913
