structure,aux_rows,n_metals,n_publications,n_series,n_systems,metals,metal_categories,max_tanimoto_to_cohort,nearest_cohort_structure,nearest_cohort_chemotype,in_cohort,rdkit_unparsed,assigned_chemotype,is_new_chemistry,gen10_distance_bucket,new_chemotype_id
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,12,2,1,1,1,Am|Pu,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,True,False,tan069,False,near,
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,44,2,1,1,1,Am|Cm,actinide,1.0,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,tan046,True,False,tan046,False,near,
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1,1,1,1,1,Am,actinide,1.0,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,tan055,True,False,tan055,False,near,
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,1,1,1,1,1,Am,actinide,0.6578947368421053,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,tan055,False,False,NEW,True,near,new030
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,1,1,1,1,1,Am,actinide,0.8085106382978723,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,False,False,tan055,False,near,
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,2,1,0,1,1,Am,actinide,0.88,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,False,False,tan050,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,12,2,1,1,1,Pu|U,actinide,0.6896551724137931,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,False,False,NEW,True,near,new018
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,12,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,tan066,True,False,tan066,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,18,1,2,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,True,False,tan067,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,35,2,1,1,1,Pu|U,actinide,0.5882352941176471,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,False,False,NEW,True,far,new019
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,5,1,1,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,tan044,True,False,tan044,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CCC,10,2,1,1,1,Pu|U,actinide,0.72,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,tan049,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,34,3,1,2,1,Pu|Th|U,actinide,0.72,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,tan049,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,2,1,0,1,1,Am,actinide,0.6774193548387096,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,NEW,True,near,new024
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,25,4,1,1,1,Bi|Pd|Pu|Tc,actinide|post_transition_metal|transition_metal,0.7407407407407407,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,False,False,tan050,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,2,1,0,1,1,Am,actinide,0.7142857142857143,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,False,False,tan050,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,32,2,2,4,1,Am|Cm,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,True,False,tan050,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,2,1,0,1,1,Am,actinide,0.6470588235294118,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,False,False,NEW,True,mid,new027
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,2,1,0,1,1,Am,actinide,0.5714285714285714,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,False,False,NEW,True,far,new028
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,2,1,0,1,1,Am,actinide,0.7307692307692307,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,tan049,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,6,1,0,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,tan051,True,False,tan051,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,6,1,0,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,tan064,True,False,tan064,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)CO,10,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)CO,tan049,True,False,tan049,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,12,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,tan065,True,False,tan065,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,12,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan068,True,False,tan068,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,6,1,1,1,1,Th,actinide,0.9285714285714286,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1307,24,39,57,4,Am|Ba|Bi|Ca|Cd|Cf|Cm|Eu|Gd|Hf|In|Nd|Np|Pb|Pd|Pu|Sc|Sm|Sr|Tc|Th|U|Y|Zr,actinide|alkaline_earth|lanthanide|post_transition_metal|rare_earth_non_lanthanide|transition_metal,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)C(C)C)C(C)C,6,1,1,1,1,Th,actinide,0.8787878787878788,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,1,1,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,1,1,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,24,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,56,4,2,4,1,Am|Eu|Pu|U,actinide|lanthanide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,6,1,1,1,1,Th,actinide,0.9117647058823529,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,56,4,2,4,1,Am|Eu|Pu|U,actinide|lanthanide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCOCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,1,1,1,1,Am,actinide,0.868421052631579,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,55,3,2,4,1,Am|Pu|U,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,9,1,1,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,38,1,1,4,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,True,False,tan055,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,6,1,0,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,tan059,True,False,tan059,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,6,1,0,1,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,tan060,True,False,tan060,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,2,2,1,1,1,Am|Cm,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,True,False,tan067,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,19,3,1,1,1,Am|Cm|Pu,actinide,1.0,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan067,True,False,tan067,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,2,2,1,1,1,Am|Cm,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,True,False,tan067,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,11,2,1,1,1,Am|Pu,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,False,False,tan069,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,38,3,1,1,1,Am|Cm|Pu,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,True,False,tan069,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)o1,2,1,0,1,1,Am,actinide,0.6,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,tan075,False,False,NEW,True,mid,new029
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,4,1,0,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,tan075,True,False,tan075,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,12,1,0,3,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,tan078,True,False,tan078,False,near,
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,1,1,0,1,1,Am,actinide,0.717948717948718,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,tan078,False,False,tan078,False,near,
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,4,1,0,2,1,Am,actinide,1.0,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,tan076,True,False,tan076,False,near,
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,20,2,0,4,2,Am|Eu,actinide|lanthanide,1.0,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,tan079,True,False,tan079,False,near,
CCCCCCCCNC(=O)c1cc(Cl)ccn1,1,1,0,1,1,Am,actinide,0.45652173913043476,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,tan041,False,False,NEW,True,far,new004
CCCCCCCCNC(=O)c1cc(OC)ccn1,2,1,0,2,1,Am,actinide,0.4375,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,tan041,False,False,NEW,True,far,new003
CCCCCCCCNC(=O)c1cnccn1,1,1,0,1,1,Am,actinide,0.45454545454545453,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,tan041,False,False,NEW,True,far,new005
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,3,1,0,2,1,Am,actinide,1.0,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,tan034,True,False,tan034,False,near,
