arm,scope,records,usable_curves,usable_curves_distinct_axis_rule,curves_extractant_titration,curves_acid_titration,curves_metal_series,curves_other_axes,curve_points_median,rows_on_a_usable_curve,curves_on_new_chemistry,curves_cohort,curves_near,curves_mid,curves_far,curves_unclassified_structure
A_GEN10_CONTROL,cohort_plus_auxiliary,5938,1229,1227,244,459,407,119,5.0,5459,0,1229,0,0,0,0
B_LN_EXPANDED,cohort_plus_auxiliary,6024,1235,1233,244,464,407,120,5.0,5504,0,1235,0,0,0,0
C_LN_PLUS_ACTINIDES,cohort_plus_auxiliary,10834,2104,2098,596,775,488,245,5.0,9671,156,1708,259,81,56,0
D_LN_PLUS_NON_ACTINIDE,cohort_plus_auxiliary,6394,1325,1322,291,482,430,122,5.0,5910,2,1320,3,0,2,0
E_LN_PLUS_ALL,cohort_plus_auxiliary,11376,2206,2199,643,803,511,249,5.0,10167,158,1805,262,81,58,0
F_ACTINIDES_ONLY_MATCHED,cohort_plus_auxiliary,6394,1242,1239,249,466,408,119,5.0,5504,2,1237,4,0,1,0
G_RANDOM_AUX_MATCHED,cohort_plus_auxiliary,6394,1243,1241,249,466,409,119,5.0,5504,5,1235,3,2,3,0
A_GEN10_CONTROL,auxiliary_only,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
B_LN_EXPANDED,auxiliary_only,86,6,6,0,5,0,1,6.0,40,0,6,0,0,0,0
C_LN_PLUS_ACTINIDES,auxiliary_only,4896,864,862,352,316,70,126,5.0,4195,156,468,259,81,56,0
D_LN_PLUS_NON_ACTINIDE,auxiliary_only,456,79,79,47,23,6,3,6.0,443,2,74,3,0,2,0
E_LN_PLUS_ALL,auxiliary_only,5438,954,952,399,344,81,130,5.0,4686,158,553,262,81,58,0
F_ACTINIDES_ONLY_MATCHED,auxiliary_only,456,12,12,5,7,0,0,3.0,39,2,7,4,0,1,0
G_RANDOM_AUX_MATCHED,auxiliary_only,456,13,13,5,7,1,0,3.0,40,5,5,3,2,3,0
