arm,scope,rows,largest_publication_share,largest_extractant_system_share,largest_metal_share,largest_structure_share,largest_series_share,effective_publications,effective_structures,effective_chemotypes,effective_metals,effective_series
A_GEN10_CONTROL,aux,0,,,,,,,,,,
B_LN_EXPANDED,aux,86,0.6595744680851063,0.43023255813953487,0.9069767441860465,0.7906976744186046,0.13953488372093023,3.3500120504725777,2.1102491565562906,1.7576395657179444,1.505826230013043,17.21096696606902
C_LN_PLUS_ACTINIDES,aux,4896,0.426497277676951,0.17197712418300654,0.37602124183006536,0.18709150326797386,0.06025326797385621,11.833736682250741,37.411210358072765,9.967761357659427,4.961161885570326,144.88709423699945
D_LN_PLUS_NON_ACTINIDE,aux,456,0.2071269487750557,0.7083333333333334,0.39473684210526316,0.7083333333333334,0.5614035087719298,10.876930208012576,2.5768903308107998,1.3518763808887295,8.395892343630887,6.596804470708895
E_LN_PLUS_ALL,aux,5438,0.3833605220228385,0.2191982346450901,0.338543582199338,0.24034571533652077,0.10150790731886723,15.239090088358951,32.63378627999275,8.921138437799302,7.351148198273469,134.9854349670663
F_ACTINIDES_ONLY_MATCHED,aux,456,0.43028846153846156,0.17543859649122806,0.36622807017543857,0.18421052631578946,0.05921052631578947,11.172766925341046,30.951665906647143,8.951445270231618,4.812525981552626,105.48043612360833
G_RANDOM_AUX_MATCHED,aux,456,0.4023809523809524,0.19736842105263158,0.3223684210526316,0.21271929824561403,0.08114035087719298,12.743813035561876,30.1533547004092,8.65111046450973,7.154951864153655,102.42624399556638
A_GEN10_CONTROL,total,5938,0.08242054228766385,0.28561805321657124,0.25513640956551026,0.2886493768945773,0.04008083529808016,47.378158898700484,33.44485320369117,6.460706597842312,11.527388805894198,161.4345126517989
B_LN_EXPANDED,total,6024,0.08173076923076923,0.2860225763612218,0.2644422310756972,0.2958167330677291,0.039674634794156706,48.158179052679536,32.902765764768056,6.43223439645774,11.377832052747697,166.71455777102634
C_LN_PLUS_ACTINIDES,total,10834,0.18843339681266913,0.2342625069226509,0.16992800443049658,0.24275429204356655,0.04919697249400037,40.72188816898094,48.91707625417737,9.693564982062,15.67772953727225,239.56314124141932
D_LN_PLUS_NON_ACTINIDE,total,6394,0.07627118644067797,0.3157647794807632,0.23694088207694713,0.3185799186737566,0.0772599311854864,52.49420322335969,30.26921785332289,5.984227592948766,14.572724544322243,151.3897258691122
E_LN_PLUS_ALL,total,11376,0.1795092141697699,0.2538677918424754,0.16183192686357242,0.2655590717299578,0.06944444444444445,44.220845288295365,45.19984995138104,9.145384946175026,18.005948015814816,229.71169235851173
F_ACTINIDES_ONLY_MATCHED,total,6394,0.07669172932330827,0.2777604003753519,0.23694088207694713,0.2812011260556772,0.04128870816390366,50.50575189152983,37.93548550566986,7.180383317205275,14.005670825910379,186.8756964639367
G_RANDOM_AUX_MATCHED,total,6394,0.07664050759726164,0.2793243665936816,0.23694088207694713,0.2832342821395058,0.04300907100406631,50.932877244190344,37.6217795193447,7.136353586576295,14.407448521059912,185.56817612992825
