arm,aux_rows,aux_extractant_systems,aux_structures,aux_metals,aux_publications,aux_rows_without_doi,aux_series,aux_cohort_chemotypes_hit,aux_structures_in_no_cohort_chemotype,aux_new_chemotypes,aux_rows_on_new_chemistry,aux_structures_already_in_cohort,aux_rows_near,aux_structures_near,aux_rows_mid,aux_structures_mid,aux_rows_far,aux_structures_far,aux_row_weighted_median_max_tanimoto,aux_rows_fingerprint_identical_to_cohort,aux_structures_fingerprint_identical_to_cohort,total_rows,total_extractant_systems,total_structures,total_metals,total_publications,total_rows_without_doi,total_series,total_chemotypes,total_chemotypes_unresolved_rows,total_rows_delta_vs_control
A_GEN10_CONTROL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5938,153,152,14,100,369,363,79,0,0
B_LN_EXPANDED,86,8,6,5,8,39,23,2,1,1,11,5,75,5,0,0,11,1,1.0,75,5,6024,157,153,15,100,408,372,80,0,86
C_LN_PLUS_ACTINIDES,4896,156,153,8,52,488,343,43,44,37,908,71,4116,119,489,10,291,24,1.0,2779,76,10834,237,234,22,113,857,535,116,0,4896
D_LN_PLUS_NON_ACTINIDE,456,7,7,17,15,7,19,2,1,1,13,5,443,6,0,0,13,1,1.0,424,5,6394,155,154,31,104,376,369,80,0,456
E_LN_PLUS_ALL,5438,159,155,30,59,534,353,43,45,38,932,72,4634,120,489,10,315,25,1.0,3278,77,11376,239,235,40,116,903,541,117,0,5438
F_ACTINIDES_ONLY_MATCHED,456,83,81,6,46,40,172,27,23,19,82,44,385,62,37,4,34,15,1.0,255,46,6394,191,189,20,112,409,451,98,0,456
G_RANDOM_AUX_MATCHED,456,82,81,19,48,36,168,22,25,20,91,41,378,62,41,5,37,14,1.0,266,43,6394,194,192,33,114,405,451,99,0,456
