comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,status
S6a_M_SELECTED_basis_shift_vs_zero_shot,mae_all,M_SELECTED|zero_shot,M_SELECTED|basis_shift,0.03178095990257735,-0.017721841265111036,0.06357426500993887,-0.02823855675305022,0.059752916972276186,0.1634,0.02064720884316145,0.05781218476085206,0.01835011028102755,89,64,4,5,0.024902676773747977,0.0449032867234044,True,0.02,False,False,registered
S6b_M_SELECTED_basis_shift_vs_no_model_linear,mae_all,M_SELECTED|no_model_linear,M_SELECTED|basis_shift,0.030602066602037886,-0.03939780704905528,0.14446598429087754,-0.03586631367548545,0.15360523436430681,0.4728,0.04742161361361671,0.13278051811812677,0.051047669851177764,89,54,4,5,-0.0022183416515154457,0.06009773446952874,False,0.02,False,False,registered
X_M_SELECTED|rescale_vs_zero_shot,mae_all,M_SELECTED|zero_shot,M_SELECTED|rescale,0.04483258875078165,0.019580943601921873,0.0663768802707645,0.024085009753718613,0.07464704990703955,0.0,0.013056674657407317,0.036558689040740486,0.03247309125388622,89,70,5,5,0.02815638712904017,0.04746458845659455,True,0.02,True,True,exploratory
X_M_SELECTED|rescale_vs_no_model_linear,mae_all,M_SELECTED|no_model_linear,M_SELECTED|rescale,0.04365369545024218,-0.02055203105810475,0.14711257438350026,-0.0141993109539371,0.16610949828114568,0.2128,0.04289765630719083,0.12011343766013431,0.06517065082403643,89,55,5,5,0.014534675759015576,0.06335144482482093,True,0.02,False,False,exploratory
X_C_DIRECT_ROW|rescale_vs_zero_shot,mae_all,C_DIRECT_ROW|zero_shot,C_DIRECT_ROW|rescale,0.04293924142248897,0.019040723034333754,0.0617855929406409,0.023411413471326668,0.06842322069795731,0.0,0.011527784356632216,0.032277796198570206,0.035370761516690157,89,67,5,5,0.029906538997120653,0.04601918679271861,True,0.02,True,True,exploratory
X_C_DIRECT_ROW|rescale_vs_no_model_linear,mae_all,C_DIRECT_ROW|no_model_linear,C_DIRECT_ROW|rescale,0.04746262219530437,-0.021029888186074267,0.1537605088337556,-0.015065313419783863,0.16888705719121097,0.208,0.045004281919287015,0.12601198937400362,0.07809318652727565,89,51,5,5,0.017592479805664734,0.06995783199569128,True,0.02,False,False,exploratory
X_B1_MEAN_CURVE|rescale_vs_zero_shot,mae_all,B1_MEAN_CURVE|zero_shot,B1_MEAN_CURVE|rescale,0.04765919109143095,0.03790753917723037,0.05967425676839382,0.038063167337265,0.05984184794166309,0.0,0.00540447031456158,0.015132516880772422,0.05014766805675109,89,80,5,5,0.04549255132608221,0.05013145772863318,True,0.02,True,True,exploratory
X_B1_MEAN_CURVE|rescale_vs_no_model_linear,mae_all,B1_MEAN_CURVE|no_model_linear,B1_MEAN_CURVE|rescale,-0.05713157127400618,-0.13878194344124406,0.07406670154296974,-0.13935666839177765,0.0726075466846001,0.335,0.054695355032409014,0.15314699409074523,-0.02230218854257772,89,38,0,5,-0.09083893690087179,-0.018134306069096325,True,0.02,False,False,exploratory
X_M_PHYSICS_radius+radius_sq|rescale_vs_zero_shot,mae_all,M_PHYSICS_radius+radius_sq|zero_shot,M_PHYSICS_radius+radius_sq|rescale,0.042910487617947524,0.016042686276656906,0.06694089784891614,0.02027285480423116,0.0765041923936187,0.0,0.014520340139515317,0.04065695239064289,0.029758921200934062,89,66,5,5,0.023855897706297455,0.045991065510077214,True,0.02,True,True,exploratory
X_M_PHYSICS_radius+radius_sq|rescale_vs_no_model_linear,mae_all,M_PHYSICS_radius+radius_sq|no_model_linear,M_PHYSICS_radius+radius_sq|rescale,0.04562962660523923,-0.01888704862689262,0.14826233946704817,-0.011593805825079585,0.16999440891410844,0.1878,0.04259421375425726,0.11926379851192032,0.06598882205876276,89,56,5,5,0.01672442658876794,0.0629360027589916,True,0.02,False,False,exploratory
X_M_PHYSICS_radius+radius_sq|basis_shift_vs_zero_shot,mae_all,M_PHYSICS_radius+radius_sq|zero_shot,M_PHYSICS_radius+radius_sq|basis_shift,0.08421289340950791,0.041416657042848665,0.114123793557757,0.0450870946574251,0.11684390572251765,0.0,0.01850855302554679,0.05182394847153101,0.08708525924199224,89,70,5,5,0.07096023020491837,0.09158360807072877,True,0.02,True,True,exploratory
X_M_PHYSICS_radius+radius_sq|basis_shift_vs_no_model_linear,mae_all,M_PHYSICS_radius+radius_sq|no_model_linear,M_PHYSICS_radius+radius_sq|basis_shift,0.08693203239679961,0.03256939162484375,0.191780241423615,0.038308024877972656,0.2204738822598078,0.0002,0.041690411441915515,0.11673315203736344,0.12331516009982098,89,58,5,5,0.055028121611935224,0.11004033525761255,True,0.02,True,True,exploratory
