model,n_params,pooled_R2,median_per_cell_R2,rms_resid,median_abs_resid,median_repsd_of_cell_mean,n_repl_measured_cell_metal
linear,2,0.9013345950105999,0.8928361084829328,0.1950335500265468,0.10143956189133908,0.20500000000000004,207
quadratic,3,0.9560265980558985,0.9609674446406489,0.13020327472581478,0.05625674864710859,0.20500000000000004,207
cubic,4,0.9737387687731041,0.9838013200287772,0.10062002393400804,0.037791631075797374,0.20500000000000004,207
