,C_DIRECT_ROW,M_SELECTED,M_PHYSICS_radius+radius_sq,M_PHYSICS_radius+radius_sq+gd_break,M_PHYSICS_radius+radius_sq+tetrad_e1+tetrad_e3,M_LOWRANK_K2,X_ENS_DIRECT+LOWRANK_K2,X_ENS_DIRECT+PHYSICS,B1_MEAN_CURVE,observed_mean_resid
La,-0.3087053163336935,-0.004083514459184572,-0.04161177475022595,0.04854511637650237,0.022662430298150477,-0.1617942758696506,-0.23524979610167213,-0.1751585455419597,-0.36901210048943345,0.011721892771641856
Ce,-0.3019016885138265,-0.08677182826108794,-0.10802405074545013,-0.03820131306865347,-0.07727539201215311,-0.16697790884797165,-0.23443979868089906,-0.20496286962963814,-0.3821366440476284,0.03323752780115999
Pr,-0.1754124825441084,-0.1374057547074193,-0.13464263393165188,-0.08890539723840801,-0.13126153372551505,-0.1218453110429365,-0.14862889679352242,-0.15502755823788025,-0.23339188372948147,0.0016557293181488988
Nd,-0.13585793235665294,-0.12002076775603684,-0.11613795304722875,-0.05820412717730514,-0.12668316777776378,-0.10803190887071643,-0.12194492061368478,-0.12599794270194084,-0.2688463537538987,-0.0625495041255726
Sm,-0.05957159707620818,-0.039049606673976084,-0.05029989030533316,0.001770399725632993,-0.04116012902970746,-0.04459645736743922,-0.052084027221823724,-0.05493574369077061,-0.10265830364530844,0.011453388288494471
Eu,-0.01751097251704256,-0.05994074807798632,-0.07116070671547742,-0.030211345769046095,-0.05984084145089337,-0.07630707776323029,-0.04690902514013642,-0.04433583961626002,-0.030284570117255914,0.002552911988844421
Gd,-0.07998322393245748,-0.11192393648061943,-0.10986371014619147,-0.17517408035025642,-0.10783572453590937,-0.0738484087213574,-0.07691581632690747,-0.09492346703932447,-0.0411646086358774,-0.07154223452529478
Tb,0.07442491270115885,0.05091706310059051,0.0782407711754967,0.021992076186290795,0.0486443712128921,0.0566682697589816,0.06554659123007023,0.07633284193832776,0.07856608829238043,0.040137762345596927
Dy,0.07703121617287635,0.03418935998336958,0.06507396822046742,0.009961728238566434,0.02926607603513754,0.05448654045579998,0.06575887831433815,0.07105259219667197,0.1186372953651795,0.033119930147256234
Ho,0.16636603870599048,0.10967272669268646,0.12622726185507482,0.0729772005981163,0.10033764291481408,0.11578850191862558,0.14107727031230796,0.14629665028053268,0.17008075111627707,0.05788651261536924
Er,0.1572814337121768,0.08269877626240439,0.08574199199211983,0.03671294652988175,0.07250681938596218,0.06661392352888766,0.11194767862053226,0.1215117128521484,0.308793527553706,0.029376690414576693
Tm,0.17604499682028477,0.08899174885890829,0.08240187056350523,0.05487227721273352,0.0775507614915114,0.14962757689220899,0.16283628685624696,0.129223433691895,0.22391659417516946,0.013044874062151157
Yb,0.2864256024359431,0.17267404444037732,0.17207594255314795,0.14022080897515024,0.1695181393079898,0.23022107965716104,0.25832334104655225,0.2292507724945454,0.3599728416987384,-0.02447415839111409
Lu,0.2613771598593704,0.10543830075034255,0.10488739250350129,0.07458852300782079,0.10866896510153015,0.1911143710563714,0.22624576545787087,0.18313227618143574,0.3111092681094537,-0.057250714543269104
