lam,macro_mae,delta
0.0,0.1406973704601918,0.0
0.1,0.13970698905975903,-0.000990381400432755
0.2,0.13894234986354903,-0.001755020596642759
0.30000000000000004,0.13841481932242714,-0.0022825511377646546
0.4,0.13807592683347122,-0.0026214436267205654
0.5,0.1379096889791489,-0.0027876814810428863
0.6000000000000001,0.13789780092773404,-0.0027995695324577463
0.7000000000000001,0.13802978477903938,-0.0026675856811524123
0.8,0.13834725329986272,-0.0023501171603290683
0.9,0.13884108128763079,-0.0018562891725610042
1.0,0.1395372223137387,-0.0011601481464530994
1.1,0.14041844647035376,-0.00027892398983803135
1.2000000000000002,0.14147919781158305,0.0007818273513912621
1.3,0.14269689344567454,0.0019995229854827545
1.4000000000000001,0.14405546848251732,0.003358098022325534
1.5,0.1455315976849697,0.004834227224777915
1.6,0.14713319296916413,0.006435822508972344
1.7000000000000002,0.14885985816010647,0.008162487699914678
1.8,0.15072741824755798,0.010030047787366186
1.9000000000000001,0.15269034013267796,0.01199296967248617
2.0,0.15475685912227216,0.014059488662080372
