arm,macro_mae,macro_mae_plus_resid_curve,delta_lambda1,lambda_opt,macro_mae_plus_lambda_opt,delta_lambda_opt,pooled_mae
C_DIRECT_ROW,0.49532081290529495,0.500935959831596,0.005615146926301051,0.32850611696832327,0.49620095226326927,0.0008801393579743189,0.5245128768639454
M_SELECTED,0.5014269541262518,0.5048492525043061,0.0034222983780543004,0.42684602789174597,0.5019150870430258,0.00048813291677396453,0.5028568024785267
M_PHYSICS_radius+radius_sq,0.49792999555684175,0.5006741636243135,0.0027441680674717417,0.6242886383749876,0.49867846041115643,0.0007484648543146788,0.4911850928941966
M_PHYSICS_radius+radius_sq+gd_break,0.5017973322780098,0.5039559740063682,0.002158641728358335,0.7496930031085932,0.5026254059734232,0.0008280736954133783,0.4988593283037467
M_PHYSICS_radius+radius_sq+tetrad_e1+tetrad_e3,0.4994308962257995,0.5030001326312582,0.003569236405458698,0.3807747382199448,0.49976942508329775,0.0003385288574982437,0.49667678979087015
M_LOWRANK_K2,0.49549797750991226,0.5002988772438556,0.00480089973394332,0.22773286296478604,0.4959083120487119,0.0004103345387996282,0.489728587124164
X_ENS_DIRECT+LOWRANK_K2,0.48098083670010805,0.4864997134725833,0.005518876772475256,0.27811948996655467,0.48164903038714824,0.0006681936870401861,0.49167836200368936
X_ENS_DIRECT+PHYSICS,0.4847046673896068,0.4892249715840509,0.0045203041944441025,0.4763973776716555,0.48572976254391775,0.0010250951543109288,0.49507310704263835
B1_MEAN_CURVE,0.6032535776161899,0.6094732113161139,0.006219633699923954,0.07148762207445086,0.6034945186580934,0.00024094104190353072,0.5914108306051475
