outer_fold,selected_stage1_arm,inner_macro_mae,weighting_scheme,loss_name,search_phase,selected_candidate_index
0,H1_CATBOOST_NONE_HUBER,0.29992078863295135,none,huber,expanded,0
1,H1_CATBOOST_NONE_RMSE,0.3759462509587153,none,rmse,expanded,0
2,H1_CATBOOST_NONE_RMSE,0.3233791076855395,none,rmse,expanded,1
3,H1_CATBOOST_GROUP_EQUAL_RMSE,0.34060564596317316,group_equal,rmse,expanded,0
4,H1_CATBOOST_NONE_RMSE,0.32040429023422495,none,rmse,screening,1
