outer_fold,inner_fold,arm,search_phase,scope,weighting_scheme,fit_rows_before_swap,fit_groups,mean_weight_before_swap,minimum_weight,maximum_weight,group_counts_sha256,counts_from_fit_subset_only
0,0.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_NONE_RMSE,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,0.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4309,13,1.0,1.0,1.0,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_NONE_RMSE,expanded,inner_training_only,none,4355,13,1.0,1.0,1.0,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_NONE_RMSE,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_NONE_MAE,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_NONE_MAE,screening,outer_training_only,none,5743,25,1.0,1.0,1.0,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,2822,24,1.0,1.0,1.0,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4309,13,1.0,1.0,1.0,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_NONE_HUBER,screening,inner_training_only,none,4355,13,1.0,1.0,1.0,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,0.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,2822,24,1.0,1.0,1.0,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4309,13,1.0,1.0,1.0,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_NONE_HUBER,expanded,inner_training_only,none,4355,13,1.0,1.0,1.0,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_NONE_HUBER,expanded,outer_training_only,none,5743,25,1.0,1.0,1.0,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630439,5.262406579258461,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,0.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630439,5.262406579258461,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_GROUP_SQRT_RMSE,expanded,outer_training_only,group_sqrt,5743,25,1.0,0.35937633906245303,4.23843582075947,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_SQRT_MAE,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630439,5.262406579258461,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_GROUP_SQRT_MAE,screening,outer_training_only,group_sqrt,5743,25,1.0,0.35937633906245303,4.23843582075947,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,2822,24,1.0000000000000002,0.5186728504194601,2.5485188374488046,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4309,13,1.0000000000000002,0.4713804667731019,5.559397318114015,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_SQRT_HUBER,screening,inner_training_only,group_sqrt,4355,13,1.0,0.4461986664630439,5.262406579258461,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_GROUP_SQRT_HUBER,screening,outer_training_only,group_sqrt,5743,25,1.0,0.35937633906245303,4.23843582075947,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4309,13,1.0,0.11347536407447395,15.783882783882781,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,inner_training_only,group_equal,4355,13,1.0,0.11468675111263266,15.95238095238095,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_GROUP_EQUAL_RMSE,screening,outer_training_only,group_equal,5743,25,1.0000000000000002,0.07864429989729545,10.939047619047619,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
0,1.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4309,13,1.0,0.11347536407447395,15.783882783882781,8bbaa9a4a0f275476b0c62cfd36dbf451903313955aefbe9819f7359789d54d4,True
0,2.0,H1_CATBOOST_GROUP_EQUAL_MAE,screening,inner_training_only,group_equal,4355,13,1.0,0.11468675111263266,15.95238095238095,c5619415f51756e3bf88c6a1bf3089c37761c2ce98a2c9b8d0297e94737468b9,True
0,,H1_CATBOOST_GROUP_EQUAL_MAE,screening,outer_training_only,group_equal,5743,25,1.0000000000000002,0.07864429989729545,10.939047619047619,31250a15dafe68af543150490f4289c31bcc51cfd51dffce1324cea9e06292d5,True
0,0.0,H1_CATBOOST_GROUP_EQUAL_HUBER,screening,inner_training_only,group_equal,2822,24,1.0,0.23191978961209733,5.599206349206349,efd2f27218d98289ed34abb152feaf311ab9d81f9eccbb559d38620dcbc71dc8,True
