outer_fold,arm,candidate_index,inner_macro_mae,inner_mae,inner_r2,max_features,min_samples_leaf,selected,search_phase,weighting_scheme,loss_name,loss_function,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bagging_temperature,rsm,phase_selected,correction_kind,correction_parameters,lambda,parameters,mean_epochs_trained
0,A2_current_champion,0,0.3201058890455887,0.3507743510904352,0.5117114633383402,0.35,2.0,True,,,,,,,,,,,,,,,,,
0,A2_current_champion,1,0.3361442162544801,0.3560525158997023,0.49085633094597547,0.7,2.0,False,,,,,,,,,,,,,,,,,
0,A2_current_champion,2,0.3448079730852545,0.36486242740334984,0.4661500594724264,1.0,4.0,False,,,,,,,,,,,,,,,,,
0,H1_CATBOOST_NONE_RMSE,0,0.3547460375045531,,,,,False,screening,none,rmse,RMSE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_RMSE,1,0.31337710099583765,,,,,False,screening,none,rmse,RMSE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_RMSE,0,0.30794314720689275,,,,,False,expanded,none,rmse,RMSE,8.0,0.025,30.0,2000.0,2.0,1.0,0.7,False,,,,,
0,H1_CATBOOST_NONE_RMSE,1,0.3067666144584882,,,,,True,expanded,none,rmse,RMSE,9.0,0.01,30.0,3000.0,2.0,2.0,0.5,True,,,,,
0,H1_CATBOOST_NONE_MAE,0,0.3629741256382191,,,,,False,screening,none,mae,MAE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_MAE,1,0.3338210716609566,,,,,True,screening,none,mae,MAE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_HUBER,0,0.3580682668349724,,,,,False,screening,none,huber,Huber:delta=1.0,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_HUBER,1,0.3153418761384826,,,,,False,screening,none,huber,Huber:delta=1.0,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_HUBER,0,0.29992078863295135,,,,,True,expanded,none,huber,Huber:delta=1.0,8.0,0.025,30.0,2000.0,2.0,1.0,0.7,True,,,,,
