arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted
A2_current_champion,6699,34,0.3156683646262463,0.41750937549837064,0.27616830675302695,0.562324229607458,0.0,0,0.3280161803287064,-0.8127258516405144,0.5382644687345801,31,0.3740434340467787,0.7327823822554466,0.11714194170799275,0.47530524518996875,0.8469920883713987,True
H1_CATBOOST_NONE_RMSE,6699,34,0.32218171008707996,0.42547380797455153,0.2787649373717253,0.59148735727286,0.47058823529411764,16,0.3005117422402771,-0.9170048226422106,0.4638548828739161,31,0.36255067250415274,0.7222076769829117,0.1176661588931845,0.4847013032855088,0.8269891028511718,True
H1_CATBOOST_NONE_MAE,6699,34,0.3217948918869866,0.40984070488377944,0.28609821249801837,0.5696759108905272,0.38235294117647056,13,0.3576806695623098,-0.9053382909910012,0.49965555752760005,31,0.3978901828942022,0.7245415632866518,0.11773892672214226,0.46604612001242474,0.851470368711748,True
H1_CATBOOST_NONE_HUBER,6699,34,0.32951054298676646,0.42490924035085265,0.27051058583999776,0.5911020154531632,0.2647058823529412,9,0.3050601254016151,-0.9922247840711462,0.5402890872862811,31,0.3618352214948924,0.7247295524899369,0.11943289286913698,0.48368815306493856,0.8293775190326914,True
H1_CATBOOST_GROUP_SQRT_RMSE,6699,34,0.333538951721806,0.426393743497696,0.2876359179036061,0.5790878094959274,0.4117647058823529,14,0.3138116936153632,-0.8451843980572222,0.4970327021084259,31,0.3669021457679528,0.7203959370612787,0.1220346445804677,0.48495767833741177,0.8325123152709359,True
H1_CATBOOST_GROUP_SQRT_MAE,6699,34,0.34448077222493184,0.42647469122675463,0.33909647341973614,0.5951077984670685,0.38235294117647056,13,0.32706771166921544,-1.013801810772461,0.44449205229098865,31,0.36909679251186084,0.72989974051981,0.12308941119015908,0.48485124653461503,0.8378862516793552,True
H1_CATBOOST_GROUP_SQRT_HUBER,6699,34,0.32113374417699103,0.4166234107751348,0.2708613258170714,0.5705632384251644,0.4117647058823529,14,0.335600723316253,-0.813395505645499,0.49174869329693316,31,0.38722439716043194,0.7206320929893152,0.12084931905975684,0.47353544230669825,0.8340050753843857,True
H1_CATBOOST_GROUP_EQUAL_RMSE,6699,34,0.32670914409749896,0.4169425195187777,0.3120729019207305,0.5646609513979971,0.4117647058823529,14,0.3440116528442444,-0.708982592984726,0.5037243435378449,31,0.39508165854133076,0.7296540695399096,0.12484163721870266,0.4731477622682225,0.8293775190326914,True
H1_CATBOOST_GROUP_EQUAL_MAE,6699,34,0.33559035016693894,0.42048951801055234,0.298050272660457,0.579312574290709,0.38235294117647056,13,0.3460447471858371,-0.9258851820199224,0.4291269117343527,31,0.38876376177518984,0.7152691616198673,0.12200730611409398,0.477922638526763,0.838781907747425,True
H1_CATBOOST_GROUP_EQUAL_HUBER,6699,34,0.3398560141692022,0.43376056013613884,0.328026726127798,0.5828680269447727,0.3235294117647059,11,0.2895745185314992,-0.8191402580813161,0.44452366494140794,31,0.35292774306043867,0.7188500388435827,0.1225866211665732,0.49363578762387483,0.8214658904314077,True
H2_E3_RAW_REAL,6699,34,0.32258778870300336,0.41922955251761823,0.28093791271721674,0.5921789604029896,0.4117647058823529,14,0.33213233093712513,-0.9677121127432918,0.5387836636030214,31,0.3826536028297176,0.7397065680483725,0.1218093723608005,0.4764583198279636,0.8281833109419316,True
H2_E3_RAW_SHUFFLED,6699,34,0.3250971238012754,0.4202777159508952,0.2794708824287677,0.5927284214237869,0.4411764705882353,15,0.3308710820578279,-0.9197518479279927,0.5314432473220023,31,0.3824308213026582,0.7348819670517743,0.12218402660026596,0.4776360780349163,0.825794894760412,True
H2_E3_COMPACT_REAL,6699,34,0.3224975093521073,0.4184606856719196,0.28093791271721674,0.5913548651564723,0.4117647058823529,14,0.334744402216571,-0.9615931377294665,0.5387836636030214,31,0.38411013450840126,0.7406148704449431,0.1208385116135231,0.47572832008935045,0.8248992386923422,True
H2_E3_COMPACT_SHUFFLED,6699,34,0.32521188591277556,0.4202649384329785,0.2794708824287677,0.5927152304038633,0.4117647058823529,14,0.3309167510008483,-0.9213016751505699,0.5314432473220023,31,0.382479938402071,0.7350771583288788,0.12210784409572181,0.4776355007289156,0.8262427227944469,True
H2_E3_STABLE_REAL,6699,34,0.32249622035547176,0.4189852323253804,0.28135465623526024,0.5922676988751827,0.4117647058823529,14,0.33251186079490846,-0.9679331402357217,0.5387836636030214,31,0.3829035033799265,0.7398530419658215,0.12161914570437408,0.4762035911073861,0.8254963427377221,True
H2_E3_STABLE_SHUFFLED,6699,34,0.3227320275345,0.42019059413391296,0.2815007648429153,0.5913010769296838,0.4117647058823529,14,0.32943044689100986,-0.9609213687955178,0.5339511451350196,31,0.3809439182230338,0.7389049377007036,0.12199279782346678,0.47756898819080007,0.8278847589192416,True
H3_A2,6699,34,0.4634019483130437,0.4895267879696084,0.3561584467001938,0.8656272121295491,0.23529411764705882,8,0.06240543579680291,-2.1545940867232467,-0.05675568373549322,31,0.24465852278699918,0.898449816290306,0.1312432560673195,0.5584667128514835,0.7854903716972682,True
H3_A2_ELEC,6699,34,0.39773791857061785,0.46461248702966,0.34474532493590776,0.696978593039042,0.2647058823529412,9,0.16827776041945808,-1.496444688752955,0.18102731286315799,31,0.2896785763657021,0.8511076591909973,0.13891162811165392,0.5272829442191161,0.8148977459322287,True
H3_A2_LABEL_SHUFFLED,6699,34,0.462735540049922,0.4056019962868163,0.42350756911439136,0.7789097601294043,0.3235294117647059,11,0.4039886819527344,-1.9453701565602477,0.20870191472089927,31,0.40447121605938813,0.6488594944190175,0.12622569451576438,0.45935881049374183,0.8499776085982983,True
