outer_fold,arm,lambda,correction_kind,correction_parameters,inner_macro_mae,selected_feature_count
0,H2_E3_RAW_REAL,0.1,ridge,{'alpha': 0.01},0.30654338041863555,
0,H2_E3_RAW_SHUFFLED,1.0,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.3053638552214795,
0,H2_E3_COMPACT_REAL,0.1,ridge,{'alpha': 0.01},0.30654338041863555,
0,H2_E3_COMPACT_SHUFFLED,1.0,elasticnet,"{'alpha': 0.01, 'l1_ratio': 0.25}",0.3053638552214795,
0,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.30663556270339765,5.0
0,H2_E3_STABLE_SHUFFLED,0.1,catboost,"{'depth': 5, 'learning_rate': 0.02, 'l2_leaf_reg': 30.0, 'iterations': 1000}",0.3065115632116142,3.0
1,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3831817760892433,
1,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3831817760892433,
1,H2_E3_COMPACT_REAL,0.0,ridge,{'alpha': 0.01},0.3831817760892433,
1,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3831817760892433,
1,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3831817760892433,7.0
1,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3831817760892433,6.0
2,H2_E3_RAW_REAL,0.2,ridge,{'alpha': 0.01},0.32571538853418325,
2,H2_E3_RAW_SHUFFLED,0.2,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.32552411145397475,
2,H2_E3_COMPACT_REAL,0.2,ridge,{'alpha': 0.01},0.32571538853418325,
2,H2_E3_COMPACT_SHUFFLED,0.2,catboost,"{'depth': 5, 'learning_rate': 0.02, 'l2_leaf_reg': 30.0, 'iterations': 1000}",0.3254288355394242,
2,H2_E3_STABLE_REAL,0.2,ridge,{'alpha': 0.01},0.3257153885341832,7.0
2,H2_E3_STABLE_SHUFFLED,0.3,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.32499845393906945,1.0
3,H2_E3_RAW_REAL,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3376095665489514,
3,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33777025513905873,
3,H2_E3_COMPACT_REAL,0.3,catboost,"{'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 30.0, 'iterations': 800}",0.3352455117108683,
3,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33777025513905873,
3,H2_E3_STABLE_REAL,0.1,catboost,"{'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0, 'iterations': 500}",0.3373268440103328,5.0
3,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.33777025513905873,7.0
4,H2_E3_RAW_REAL,0.0,ridge,{'alpha': 0.01},0.3337404998537508,
4,H2_E3_RAW_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3337404998537508,
4,H2_E3_COMPACT_REAL,0.1,catboost,"{'depth': 5, 'learning_rate': 0.02, 'l2_leaf_reg': 30.0, 'iterations': 1000}",0.3332458017627218,
4,H2_E3_COMPACT_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3337404998537508,
4,H2_E3_STABLE_REAL,0.0,ridge,{'alpha': 0.01},0.3337404998537508,7.0
4,H2_E3_STABLE_SHUFFLED,0.0,ridge,{'alpha': 0.01},0.3337404998537508,6.0
