arm,outer_fold,inner_fold,scope,shuffle_seed,validation_rows_touched,validation_labels_used,training_rows,shuffle_unit_columns,training_complex_pair_groups,repeated_complex_pair_groups,moved_groups,fixed_groups,moved_rows,fixed_rows,donors_from_training_only,complete_block_moved_together,test_rows_touched,test_labels_used,hyperparameters_selected_on,shuffled_labels_used_for_hyperparameter_selection,moved_label_rows,fixed_label_rows,stratification,training_only,outer_test_labels_touched,outer_test_labels_used_for_selection
H2_E3_RAW_SHUFFLED,0,0.0,correction_inner_training_only,40151,0.0,0.0,2822,"geometry_key_A,geometry_key_B",1607.0,369.0,1607.0,0.0,2822.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,0,1.0,correction_inner_training_only,50160,0.0,0.0,4309,"geometry_key_A,geometry_key_B",1035.0,304.0,1035.0,0.0,4309.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,0,2.0,correction_inner_training_only,60169,0.0,0.0,4355,"geometry_key_A,geometry_key_B",936.0,429.0,936.0,0.0,4355.0,0.0,True,True,,,,,,,,,,
H2_E3_RAW_SHUFFLED,0,,outer_training_only,1040134,,,5743,"geometry_key_A,geometry_key_B",1789.0,551.0,1789.0,0.0,5743.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_COMPACT_SHUFFLED,0,0.0,correction_inner_training_only,40151,0.0,0.0,2822,"geometry_key_A,geometry_key_B",1607.0,369.0,1607.0,0.0,2822.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,0,1.0,correction_inner_training_only,50160,0.0,0.0,4309,"geometry_key_A,geometry_key_B",1035.0,304.0,1035.0,0.0,4309.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,0,2.0,correction_inner_training_only,60169,0.0,0.0,4355,"geometry_key_A,geometry_key_B",936.0,429.0,936.0,0.0,4355.0,0.0,True,True,,,,,,,,,,
H2_E3_COMPACT_SHUFFLED,0,,outer_training_only,1040134,,,5743,"geometry_key_A,geometry_key_B",1789.0,551.0,1789.0,0.0,5743.0,0.0,True,True,0.0,0.0,,,,,,,,
H2_E3_STABLE_SHUFFLED,0,0.0,correction_inner_training_only,40151,0.0,0.0,2822,"geometry_key_A,geometry_key_B",1607.0,369.0,1607.0,0.0,2822.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,0,1.0,correction_inner_training_only,50160,0.0,0.0,4309,"geometry_key_A,geometry_key_B",1035.0,304.0,1035.0,0.0,4309.0,0.0,True,True,,,,,,,,,,
H2_E3_STABLE_SHUFFLED,0,2.0,correction_inner_training_only,60169,0.0,0.0,4355,"geometry_key_A,geometry_key_B",936.0,429.0,936.0,0.0,4355.0,0.0,True,True,,,,,,,,,,
