comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-0.0065133454608336736,-0.025783098476297894,0.013278242307844378,0.254,16,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,-0.006126527260740276,-0.02738743214465106,0.016195338694635148,0.2888,13,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,-0.01384217836052021,-0.03405886826165826,0.008051894155365462,0.0983,9,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.017870587095559685,-0.034482499052534116,-0.0007847739246554238,0.0197,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.028812407598685554,-0.05691938143010008,-0.0004680576849675037,0.022,13,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,-0.005465379550744757,-0.028216324086006248,0.017754829005476116,0.3148,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.011040779471252647,-0.032309070511721376,0.010360806371902986,0.1507,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.019921985540692598,-0.043409940775700886,0.0038304280944189673,0.0521,13,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.02418764954295586,-0.046439867007999146,-0.0015706593839929194,0.0174,11,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.006919424076757147,-0.025986185229464217,0.012747750880325617,0.2437,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.009428759175029161,-0.028557711347298807,0.010317187643986368,0.1742,15,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.006829144725861031,-0.02589363636391483,0.012942653093363092,0.2463,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.009543521286529244,-0.02862016190924407,0.010222052023080979,0.1712,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.006827855729225499,-0.02588517009022135,0.012789471520418845,0.2467,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.007063662908253665,-0.026001476848717592,0.012443462704388248,0.2364,14,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.14773358368679737,-0.23730512457488043,-0.06983862708692239,0.0,8,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.08206955394437158,-0.13786575731972187,-0.031636137985746104,0.0003,9,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H3_A2_LABEL_SHUFFLED,A2_current_champion,H3_A2_LABEL_SHUFFLED,-0.14706717542367576,-0.21348161357262987,-0.07925629590923694,0.0,11,34,10000,8831272,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC_LABEL_SHUFFLED,A2_current_champion,H3_A2_ELEC_LABEL_SHUFFLED,-0.12057539775245181,-0.18138014476365688,-0.059733656455919035,0.0,12,34,10000,8831272,extractant,True,True
H2_E3_RAW_SHUFFLED_vs_H2_E3_RAW_REAL,H2_E3_RAW_SHUFFLED,H2_E3_RAW_REAL,0.0025093350982720117,-0.0009474259693732717,0.006386383153767381,0.9197,9,34,10000,8831272,extractant,True,True
H2_E3_COMPACT_SHUFFLED_vs_H2_E3_COMPACT_REAL,H2_E3_COMPACT_SHUFFLED,H2_E3_COMPACT_REAL,0.0027143765606682116,-0.0007872778106185599,0.00660217799034101,0.935,12,34,10000,8831272,extractant,True,True
H2_E3_STABLE_SHUFFLED_vs_H2_E3_STABLE_REAL,H2_E3_STABLE_SHUFFLED,H2_E3_STABLE_REAL,0.0002358071790281661,-0.0004853844824849963,0.0009529985280672428,0.7443,10,34,10000,8831272,extractant,True,True
H3_A2_LABEL_SHUFFLED_vs_H3_A2,H3_A2_LABEL_SHUFFLED,H3_A2,-0.0006664082631215922,-0.11275494501937298,0.09396666191619996,0.5155,20,34,10000,8831272,extractant,True,True
H3_A2_ELEC_LABEL_SHUFFLED_vs_H3_A2_ELEC,H3_A2_ELEC_LABEL_SHUFFLED,H3_A2_ELEC,0.0385058438080802,-0.03651406269919189,0.10664228669056494,0.8486,20,34,10000,8831272,extractant,True,True
