extractant,grouping,group,level,family_median,family_sd,deviation_decades,n_family,n_rows,reason
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,motif,other,-4.0,-0.7200000000000001,1.3786265743779664,-3.28,84,12,level_outlier_vs_motif
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,motif,thiophosphoryl,2.095081775815345,-2.721848749616356,0.490236556822598,4.816930525431701,6,6,level_outlier_vs_motif
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,doi,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738",0.8015133374843058,-2.297106248532351,1.2597588608465156,3.0986195860166568,31,12,level_outlier_vs_doi
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,doi,"https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738",2.095081775815345,-2.297106248532351,1.1293180644732534,4.392188024347696,31,6,level_outlier_vs_doi
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,doi,"https://doi.org/10.1080/07366299.2017.1415670, https://doi.org/10.1021/jacs.5c19738",0.8647971801505141,-3.3494850021680094,0.4942464299119894,4.214282182318524,3,44,level_outlier_vs_doi
