entity,reason,magnitude,source,status
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,level outlier vs motif (other),-3.28 decades vs peer median,"condition-adjusted level, this script","FLAGGED, retained"
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,level outlier vs motif (thiophosphoryl),+4.82 decades vs peer median,"condition-adjusted level, this script","FLAGGED, retained"
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"level outlier vs doi (https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738)",+3.10 decades vs peer median,"condition-adjusted level, this script","FLAGGED, retained"
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,"level outlier vs doi (https://cordis.europa.eu/project/id/211267, https://doi.org/10.1021/jacs.5c19738)",+4.39 decades vs peer median,"condition-adjusted level, this script","FLAGGED, retained"
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,"level outlier vs doi (https://doi.org/10.1080/07366299.2017.1415670, https://doi.org/10.1021/jacs.5c19738)",+4.21 decades vs peer median,"condition-adjusted level, this script","FLAGGED, retained"
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,duplicate core_cell values differing by exact decades,1 gaps at [1.0] decades,"duplicate cell scan, this script","FLAGGED, retained (DMDPhPDA cohorts already defined)"
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,duplicate core_cell values differing by exact decades,1 gaps at [1.0] decades,"duplicate cell scan, this script","FLAGGED, retained (DMDPhPDA cohorts already defined)"
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,duplicate core_cell values differing by exact decades,"59 gaps at [1.0, 2.0, 3.0, 4.0] decades","duplicate cell scan, this script","FLAGGED, retained (DMDPhPDA cohorts already defined)"
TWE-24,level far above same-campaign siblings,+4.82 decades,"gen8 case study, re-derived here",TWE24_STATUS=UNRESOLVED; primary document not retrievable here
