extractant,names,n_names,n_rows
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine | CyMe4-BTBP,2,19
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Cy5-S-Me4-BTBP | Cy5S-Me4-BTBP,2,11
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,8-11-11-trimethyl-5-[6-(8-11-11-trimethyl-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-trien-5-yl)-2-pyridinyl]-3-4-6-triazatricyclo[6.2.1.02-7]undeca-2(7)-3-5-triene | CA-BTP,2,22
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,18b | TWE-17,2,12
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,T2EHDGA | TEHDGA,2,184
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide | DMDOHEMA,2,52
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,DMDODGA | N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,2,425
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,DODDbDGA | N-(4-butyldecyl)-2-[2-[4-butyldecyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,2,14
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA16 | TWE-15,2,12
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide | Me2-TODGA | NEA14 | TWE-14,4,32
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,NTAamide(C8) | TWE-11,2,26
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,NEA15 | TWE-22,2,12
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,10a | TWE-21,2,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"(PhSO3Na)2-BTBP | CITAM | PHEN-6OH | PHEN-dialcohol | PPA | SO3-Ph-BTBP | SO3-Ph-BTP | TODGA | TODGA,DHOA | TWE-26 | TWE-31 | TWE-32 | TWE-37 | TWE-38 | TWE-39 | TWE-40 | TWE-41 | TWE-42",18,1488
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide | T8-PHEN-CAM,2,35
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,3-[6-[6-(5-6-dipentyl-1-2-4-triazin-3-yl)-2-pyridinyl]-2-pyridinyl]-5-6-dipentyl-1-2-4-triazine | C5BTBP,2,230
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide | DMDPhPDA,2,140
