suspect,n_neighbours_changed,cohort_mean_level_error_with,cohort_mean_level_error_without,cohort_delta,worst_affected,worst_affected_delta
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1,1.0075793087787261,1.0039860777512393,0.003593231027486849,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,0.5425778851505142
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0,1.0057735480495429,1.0057735480495429,0.0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.0
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0,1.0011591242948126,1.0011591242948126,0.0,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.0
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,1,0.9802633414065199,0.9531435945468157,0.02711974685970421,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,4.095081775815336
